t,x,y,z
3.684,1500.0,1500.0,1577.62
3.715,1500.0,1500.0,1574.22
3.755,1500.0,1500.0,1568.06
3.795,1500.0,1500.01,1562.96
3.831,1500.0,1500.01,1559.91
3.874,1500.0,1500.02,1552.58
3.911,1500.0,1500.02,1551.81
3.956,1500.0,1500.04,1541.4
4.003,1500.0,1500.05,1534.64
4.047,1499.99,1500.06,1533.21
4.098,1499.99,1500.08,1521.83
4.140,1499.99,1500.08,1528.31
4.185,1499.99,1500.1,1522.18
4.225,1499.99,1500.1,1525.72
4.268,1499.99,1500.12,1519.55
4.309,1499.99,1500.12,1519.71
4.348,1499.99,1500.13,1520.32
4.388,1499.99,1500.14,1516.97
4.426,1499.99,1500.14,1517.89
4.469,1499.98,1500.17,1508.6
4.511,1499.98,1500.18,1508.0
4.546,1499.99,1500.16,1518.8
4.588,1499.98,1500.2,1501.97
4.621,1499.98,1500.16,1519.28
4.661,1499.98,1500.2,1505.4
4.707,1499.98,1500.23,1493.76
4.748,1499.98,1500.22,1500.32
4.791,1499.98,1500.23,1496.3
4.831,1499.98,1500.23,1500.5
4.874,1499.98,1500.24,1494.82
4.917,1499.98,1500.25,1493.97
4.966,1499.98,1500.27,1483.31
5.010,1499.98,1500.25,1491.09
5.046,1499.98,1500.22,1504.23
5.093,1499.98,1500.26,1486.1
5.141,1499.98,1500.26,1483.38
5.181,1499.98,1500.23,1496.1
5.219,1499.98,1500.22,1499.47
5.257,1499.98,1500.22,1499.13
5.300,1499.98,1500.23,1490.38
5.346,1499.98,1500.23,1484.78
5.387,1499.98,1500.21,1492.53
5.431,1499.98,1500.21,1487.85
5.470,1499.98,1500.19,1495.44
5.510,1499.98,1500.18,1495.24
5.557,1499.98,1500.19,1480.75
5.592,1499.99,1500.16,1500.47
5.633,1499.99,1500.16,1491.33
5.671,1499.99,1500.15,1495.29
5.716,1499.99,1500.14,1484.28
5.761,1499.99,1500.13,1483.92
5.806,1499.99,1500.12,1485.68
5.853,1499.99,1500.11,1480.14
5.892,1499.99,1500.1,1493.56
5.945,1499.99,1500.08,1473.96
5.988,1499.99,1500.08,1489.6
6.030,1499.99,1500.07,1490.33
6.074,1500.0,1500.05,1486.26
6.121,1500.0,1500.04,1483.56
6.165,1500.0,1500.03,1486.55
6.200,1500.0,1500.05,1501.32
6.243,1500.0,1500.02,1489.51
6.284,1500.0,1500.02,1491.47
6.325,1500.0,1500.01,1491.36
6.350,1500.0,1500.04,1510.47
6.397,1500.0,1499.99,1482.98
6.441,1500.0,1500.0,1486.99
6.484,1500.0,1499.99,1487.28
6.522,1500.0,1500.0,1493.77
6.556,1500.0,1500.01,1498.75
6.581,1500.0,1500.03,1509.71
6.619,1500.0,1500.0,1492.85
6.660,1500.0,1499.99,1488.06
6.705,1500.0,1499.98,1482.81
6.753,1500.0,1499.97,1479.36
6.800,1500.0,1499.97,1481.33
6.841,1500.0,1499.99,1489.31
6.879,1500.0,1499.99,1493.25
6.917,1500.0,1499.99,1493.22
6.961,1500.0,1499.98,1486.13
7.000,1500.0,1500.0,1491.77
7.043,1500.0,1499.99,1487.43
7.081,1500.0,1500.0,1492.97
7.119,1500.0,1500.01,1494.1
7.155,1500.0,1500.01,1493.91
7.198,1500.0,1500.0,1487.14
7.230,1500.0,1500.02,1498.91
7.265,1500.0,1500.02,1495.63
7.305,1500.0,1500.02,1489.87
7.350,1500.0,1500.01,1483.25
7.394,1500.0,1500.02,1485.61
7.433,1500.0,1500.03,1492.27
7.469,1500.0,1500.03,1494.44
7.511,1500.0,1500.03,1489.26
7.562,1500.0,1500.03,1478.16
7.608,1500.0,1500.04,1484.7
7.653,1500.0,1500.04,1487.52
7.697,1500.0,1500.04,1487.07
7.743,1500.0,1500.05,1486.53
7.780,1500.0,1500.05,1494.94
7.828,1500.0,1500.05,1485.35
7.870,1500.0,1500.05,1490.63
7.913,1500.0,1500.05,1490.06
7.951,1500.0,1500.05,1494.39
7.988,1500.0,1500.05,1495.21
8.033,1500.0,1500.05,1488.35
8.079,1500.0,1500.05,1487.53
8.125,1500.0,1500.05,1487.91
8.174,1500.0,1500.05,1485.97
8.220,1500.0,1500.04,1488.82
8.253,1500.0,1500.04,1499.07
8.293,1500.0,1500.04,1493.71
8.335,1500.0,1500.04,1491.76
8.383,1500.0,1500.03,1487.01
8.431,1500.0,1500.03,1487.32
8.476,1500.0,1500.02,1490.02
8.517,1500.0,1500.02,1493.26
8.554,1500.0,1500.02,1496.29
8.606,1500.0,1500.01,1486.14
8.653,1500.0,1500.01,1489.43
8.693,1500.0,1500.01,1494.23
8.736,1500.0,1500.0,1492.6
8.782,1500.0,1499.99,1490.77
8.826,1500.0,1499.99,1492.05
8.871,1500.0,1499.99,1491.56
8.915,1500.0,1499.98,1492.34
8.958,1500.0,1499.98,1493.08
9.000,1500.0,1499.98,1493.78
9.049,1500.0,1499.96,1489.69
9.095,1500.0,1499.96,1491.49
9.134,1500.0,1499.97,1495.68
9.175,1500.0,1499.97,1494.72
9.226,1500.0,1499.95,1489.07
9.273,1500.0,1499.95,1491.21
9.315,1500.0,1499.96,1494.12
9.357,1500.0,1499.95,1493.83
9.401,1500.0,1499.95,1493.9
9.443,1500.0,1499.95,1494.42
9.484,1500.0,1499.95,1494.94
9.524,1500.0,1499.95,1495.43
9.567,1500.0,1499.95,1493.83
9.597,1500.0,1499.97,1500.38
9.628,1500.0,1499.96,1499.81
9.670,1500.0,1499.95,1493.97
9.714,1500.0,1499.95,1492.51
9.753,1500.0,1499.95,1494.91
