t,x,y,z
3.565,-0.01,-0.0,79.69
3.598,-0.0,0.0,76.37
3.624,-0.0,-0.0,74.68
3.653,-0.0,-0.0,71.18
3.684,-0.0,-0.0,68.36
3.729,0.0,-0.01,57.63
3.759,0.0,-0.01,61.72
3.789,0.0,-0.01,59.31
3.822,0.0,-0.02,54.47
3.853,0.0,-0.02,53.33
3.876,0.0,-0.02,59.17
3.906,0.0,-0.03,50.07
3.937,0.0,-0.04,45.44
3.962,0.0,-0.04,50.64
3.995,0.0,-0.05,38.57
4.041,0.0,-0.08,22.01
4.075,0.0,-0.07,32.36
4.114,0.0,-0.09,23.67
4.155,0.0,-0.11,18.42
4.189,0.0,-0.1,26.08
4.222,0.0,-0.11,25.99
4.241,0.0,-0.08,42.62
4.288,0.0,-0.16,4.55
4.322,0.0,-0.13,20.37
4.352,0.0,-0.13,22.38
4.393,0.0,-0.18,4.57
4.426,0.0,-0.16,15.91
4.466,0.01,-0.2,2.87
4.504,0.01,-0.2,4.71
4.544,0.01,-0.21,0.02
4.589,0.01,-0.25,-9.91
4.633,0.01,-0.25,-9.25
4.671,0.01,-0.23,0.77
4.694,0.01,-0.17,26.56
4.725,0.01,-0.21,12.11
4.762,0.01,-0.23,1.72
4.805,0.01,-0.28,-14.38
4.840,0.01,-0.24,0.77
4.876,0.01,-0.25,-1.31
4.917,0.01,-0.27,-11.03
4.961,0.02,-0.29,-17.3
5.001,0.02,-0.27,-10.43
5.049,0.02,-0.3,-24.49
5.079,0.01,-0.23,7.11
5.123,0.02,-0.28,-17.02
5.161,0.02,-0.25,-7.45
5.199,0.02,-0.25,-7.62
5.243,0.02,-0.26,-18.24
5.284,0.02,-0.25,-13.46
5.327,0.02,-0.25,-16.65
5.357,0.02,-0.2,6.74
5.381,0.01,-0.19,14.91
5.446,0.03,-0.27,-56.2
5.486,0.02,-0.2,-12.15
5.521,0.02,-0.19,-5.47
5.558,0.02,-0.18,-7.11
5.608,0.02,-0.19,-28.22
5.657,0.02,-0.17,-26.5
5.682,0.01,-0.15,12.94
5.714,0.02,-0.15,0.58
5.751,0.02,-0.14,-9.7
5.792,0.02,-0.13,-14.98
5.821,0.01,-0.12,3.26
5.856,0.02,-0.11,-6.13
5.895,0.02,-0.1,-12.94
5.933,0.01,-0.09,-11.73
5.972,0.01,-0.08,-13.28
6.003,0.01,-0.08,-2.86
6.029,0.01,-0.09,7.39
6.069,0.01,-0.06,-15.54
6.111,0.01,-0.04,-19.43
6.154,0.01,-0.03,-20.62
6.199,0.01,-0.02,-22.89
6.239,0.01,-0.02,-15.05
6.285,0.01,0.0,-22.58
6.328,0.01,-0.0,-17.87
6.367,0.01,-0.01,-12.02
6.410,0.01,0.01,-16.69
6.453,0.0,0.01,-16.39
6.489,0.01,-0.0,-7.3
6.528,0.0,0.01,-10.78
6.569,0.0,0.02,-13.14
6.602,0.0,-0.0,-3.47
6.638,0.0,0.01,-7.1
6.677,0.0,0.02,-10.82
6.720,0.0,0.03,-15.91
6.764,0.0,0.03,-15.97
6.794,0.0,-0.01,-0.58
6.831,0.0,0.01,-8.51
6.876,-0.0,0.03,-19.05
6.922,-0.0,0.03,-19.38
6.963,-0.0,0.01,-13.39
7.006,-0.0,0.02,-14.93
7.041,-0.0,-0.0,-5.89
7.077,-0.0,-0.0,-6.78
7.107,0.0,-0.02,-0.5
7.145,-0.0,-0.01,-9.08
7.183,-0.0,-0.01,-9.48
7.225,-0.0,-0.01,-13.88
7.258,-0.0,-0.02,-4.59
7.299,-0.0,-0.01,-12.65
7.337,-0.0,-0.02,-9.71
7.371,-0.0,-0.03,-6.7
7.413,-0.0,-0.03,-12.62
7.455,-0.0,-0.03,-13.69
7.492,-0.0,-0.03,-8.7
7.534,-0.0,-0.03,-13.26
7.562,0.0,-0.04,0.04
7.611,-0.0,-0.04,-19.44
7.647,0.0,-0.04,-7.65
7.682,0.0,-0.05,-4.68
7.714,0.0,-0.05,-5.52
7.750,0.0,-0.05,-8.42
7.786,0.0,-0.05,-6.83
7.824,0.0,-0.05,-9.57
7.850,0.0,-0.05,0.93
7.886,0.0,-0.05,-7.89
7.925,0.0,-0.05,-10.91
7.966,0.0,-0.05,-12.83
8.002,0.0,-0.05,-7.55
8.033,0.0,-0.05,-5.72
8.063,0.0,-0.05,-3.24
8.099,0.0,-0.05,-7.58
8.132,0.0,-0.05,-6.14
8.170,0.0,-0.05,-10.42
8.203,0.0,-0.05,-5.57
8.241,0.0,-0.04,-11.29
8.280,0.0,-0.04,-11.37
8.321,0.0,-0.03,-12.83
8.360,0.0,-0.03,-11.03
8.398,0.0,-0.03,-10.01
8.439,0.0,-0.02,-12.1
8.482,0.0,-0.02,-13.4
8.517,0.0,-0.02,-7.24
8.547,0.0,-0.02,-3.44
8.588,0.0,-0.01,-10.63
8.620,0.0,-0.01,-5.83
8.664,0.0,0.01,-13.52
