t,x,y,z
1.852,-0.0,-0.0,110.0
1.882,-0.0,0.0,108.64
1.918,-0.0,-0.0,102.52
1.952,-0.0,-0.0,99.87
1.982,-0.0,-0.0,101.23
2.025,0.0,-0.02,82.03
2.071,0.0,-0.04,63.64
2.106,0.0,-0.04,73.71
2.155,0.0,-0.07,53.44
2.192,0.0,-0.04,79.04
2.221,0.0,-0.08,57.22
2.253,0.0,-0.05,78.33
2.281,0.0,-0.11,49.84
2.304,0.0,-0.06,78.62
2.326,0.0,-0.08,72.59
2.362,0.0,-0.15,38.53
2.391,0.0,-0.09,71.45
2.427,0.0,-0.17,34.71
2.455,0.0,-0.19,30.86
2.491,0.0,-0.21,27.16
2.524,0.0,-0.13,63.78
2.553,0.0,-0.24,23.07
2.588,0.0,-0.26,19.3
2.614,0.0,-0.16,58.52
2.647,0.01,-0.3,8.06
2.670,0.0,-0.18,55.64
2.696,0.0,-0.18,56.97
2.724,0.01,-0.32,8.57
2.753,0.0,-0.2,51.4
2.779,0.01,-0.35,2.99
2.813,0.0,-0.24,40.74
2.847,0.01,-0.4,-9.2
2.880,0.01,-0.29,27.24
2.906,0.01,-0.39,-2.87
2.935,0.0,-0.26,43.03
2.959,0.01,-0.29,34.4
2.986,0.01,-0.42,-6.76
3.012,0.0,-0.27,42.16
3.041,0.01,-0.45,-13.17
3.058,0.01,-0.29,37.06
3.088,0.01,-0.3,36.49
3.113,0.01,-0.47,-17.46
3.139,0.01,-0.33,27.88
3.163,0.01,-0.31,32.8
3.190,0.01,-0.48,-22.64
3.224,0.01,-0.37,15.47
3.259,0.01,-0.51,-31.19
3.287,0.01,-0.33,28.25
3.317,0.01,-0.49,-26.93
3.349,0.01,-0.48,-25.69
3.378,0.01,-0.38,14.25
3.404,0.01,-0.35,25.51
3.432,0.01,-0.35,22.21
3.457,0.01,-0.55,-54.14
3.489,0.01,-0.36,19.07
3.513,0.01,-0.35,21.82
3.543,0.01,-0.51,-44.63
3.575,0.01,-0.46,-32.29
3.598,0.01,-0.36,16.74
3.630,0.01,-0.36,13.79
3.667,0.01,-0.45,-35.77
3.697,0.01,-0.44,-37.63
3.737,0.01,-0.44,-45.77
3.771,0.01,-0.42,-36.26
3.805,0.01,-0.33,16.57
3.840,0.01,-0.4,-34.88
3.870,0.01,-0.38,-39.02
3.910,0.01,-0.37,-46.47
3.953,0.01,-0.35,-44.91
3.993,0.01,-0.33,-35.45
4.032,0.01,-0.3,-1.97
4.069,0.01,-0.3,-38.51
4.108,0.0,-0.28,-43.73
4.147,0.0,-0.25,-51.67
4.186,0.0,-0.24,-24.05
4.209,0.0,-0.24,1.84
4.239,0.0,-0.24,15.06
4.277,0.0,-0.19,-37.43
4.316,0.0,-0.18,-29.7
4.354,0.0,-0.15,-39.82
4.391,0.0,-0.14,-27.81
4.421,0.0,-0.19,13.3
4.448,0.0,-0.12,-26.91
4.489,0.0,-0.16,1.7
4.527,0.0,-0.08,-33.63
4.563,0.0,-0.07,-29.07
4.597,0.0,-0.06,-27.56
4.633,0.0,-0.05,-26.8
4.670,0.0,-0.04,-26.08
4.705,0.0,-0.03,-25.42
4.741,0.0,-0.02,-24.79
4.776,0.0,-0.1,7.35
4.811,-0.0,0.0,-25.71
4.836,0.0,-0.0,-21.86
4.870,0.0,-0.07,1.27
4.901,-0.0,0.03,-28.94
4.932,0.0,-0.03,-9.31
4.964,0.0,-0.08,7.96
4.991,-0.0,0.04,-28.43
5.030,-0.0,0.03,-23.97
5.071,-0.0,0.04,-25.84
5.113,-0.0,0.04,-25.1
5.154,-0.0,0.03,-22.79
5.181,0.0,-0.07,8.57
5.209,-0.0,0.04,-25.0
5.245,-0.0,0.04,-25.3
5.267,0.0,-0.05,2.86
5.296,0.0,-0.05,4.51
5.333,-0.0,0.03,-25.35
5.371,-0.0,0.01,-23.21
5.406,-0.0,0.01,-23.36
5.442,-0.0,0.0,-22.72
5.478,0.0,-0.07,6.26
5.516,0.0,-0.01,-21.84
5.541,0.0,-0.01,-23.11
5.578,0.0,-0.02,-20.35
5.619,0.0,-0.01,-28.29
5.647,0.0,-0.06,-2.62
5.680,0.0,-0.08,5.79
5.712,0.0,-0.04,-21.39
5.743,0.0,-0.04,-23.5
5.780,0.0,-0.05,-22.25
5.820,0.0,-0.06,-22.88
5.851,0.0,-0.09,4.9
5.889,0.0,-0.07,-19.27
5.920,0.0,-0.07,-25.8
5.958,0.0,-0.09,-19.49
6.007,0.0,-0.09,-32.06
6.047,0.0,-0.1,3.34
6.075,0.0,-0.1,-26.76
6.111,0.0,-0.1,-17.65
6.156,0.0,-0.11,-19.35
6.196,0.0,-0.11,-17.65
6.241,0.0,-0.11,-21.4
6.276,0.0,-0.11,-16.55
6.311,0.0,-0.11,-15.91
6.349,0.0,-0.11,-2.39
6.389,0.0,-0.11,-16.19
6.427,0.0,-0.11,-14.36
6.454,0.0,-0.11,-14.17
6.487,0.0,-0.11,3.32
6.524,0.0,-0.11,-14.66
6.554,0.0,-0.1,-14.0
6.584,0.0,-0.1,2.83
6.613,0.0,-0.1,-13.85
6.650,0.0,-0.09,-14.17
6.691,0.0,-0.08,-17.65
6.729,0.0,-0.09,-2.11
6.772,0.0,-0.07,-19.5
6.814,0.0,-0.05,-28.94
6.853,0.0,-0.06,-13.68
6.893,0.0,-0.05,-11.81
6.922,0.0,-0.07,3.56
6.959,0.0,-0.04,-11.32
6.996,0.0,-0.03,-11.71
7.027,0.0,-0.02,-13.25
7.062,0.0,-0.05,2.24
7.089,0.0,-0.0,-12.1
7.134,-0.0,0.03,-18.41
7.168,-0.0,0.01,-10.0
7.196,0.0,-0.03,1.24
7.227,0.0,-0.03,2.67
7.255,-0.0,0.04,-12.68
7.286,-0.0,0.04,-11.67
7.312,0.0,-0.01,2.05
7.342,-0.0,0.05,-10.76
7.380,-0.0,0.06,-11.01
7.413,-0.0,0.01,0.29
7.440,-0.0,0.07,-11.52
7.468,-0.0,0.01,0.72
7.499,-0.0,0.09,-13.1
7.528,-0.0,0.02,-0.28
7.557,-0.0,0.1,-11.86
7.584,-0.0,0.02,0.88
7.614,-0.0,0.11,-11.98
7.644,-0.0,0.03,0.58
7.676,-0.0,0.11,-12.16
7.708,-0.0,0.11,-11.03
7.735,-0.0,0.05,-1.04
7.765,-0.0,0.12,-11.51
7.788,-0.0,0.05,-0.61
7.820,-0.0,0.05,0.01
7.849,-0.0,0.15,-15.11
7.882,-0.0,0.05,-0.45
7.918,-0.0,0.16,-15.77
7.954,-0.0,0.14,-12.73
7.994,-0.0,0.14,-12.34
8.033,-0.0,0.14,-12.01
8.071,-0.0,0.14,-11.7
8.107,-0.0,0.14,-11.41
8.139,-0.0,0.14,-11.13
8.175,-0.0,0.14,-300.0
8.196,2.26,-0.0,300.0
8.218,0.05,0.07,1.02
8.248,0.06,0.08,2.72
8.273,0.08,0.13,-13.32
8.313,0.67,0.13,-13.87
8.347,2.67,0.09,-2.43
8.381,3.82,0.15,-13.77
8.414,5.17,0.16,-13.58
8.447,4.1,0.14,-13.55
8.481,4.22,0.14,-12.6
8.501,3.05,0.09,-2.89
8.520,3.1,0.09,-1.75
8.556,5.65,0.14,-11.64
8.592,5.72,0.11,-3.65
8.628,4.64,0.13,-12.97
8.655,4.75,0.13,-12.82
8.700,6.04,0.13,-12.7
8.739,6.1,0.13,-12.32
8.775,6.19,0.12,-11.96
8.809,5.05,0.11,-11.6
8.840,5.12,0.1,-6.61
8.874,6.28,0.11,-14.18
