t,x,y,z,vx,vy,vz
0.040,0.0,0.0,0.09,0.0,0.0,0.0
0.051,0.0,-0.0,0.09,-0.0,-0.0,0.0
0.056,0.0,-0.0,0.08,0.0,-0.0,0.0
0.069,0.0,-0.0,0.08,0.0,-0.0,0.0
0.081,0.0,-0.0,0.07,0.0,-0.0,0.0
0.092,0.0,-0.0,0.06,0.0,-0.0,0.0
0.102,0.0,-0.0,0.05,0.0,-0.0,0.0
0.112,0.0,-0.0,0.04,0.0,-0.0,0.0
0.122,0.0,-0.0,0.03,-0.0,-0.0,0.0
0.132,0.0,-0.0,0.02,-0.0,-0.0,0.0
0.142,0.0,-0.0,0.0,-0.0,-0.0,0.0
0.152,0.0,-0.0,-0.0,-0.0,0.0,0.0
0.162,0.0,-0.0,-0.0,-0.0,0.0,0.0
0.172,0.0,-0.0,-0.0,-0.0,0.0,0.0
0.182,0.0,-0.0,-0.0,-0.0,0.0,0.0
0.192,0.0,-0.0,0.0,-0.0,0.0,0.0
0.200,0.0,-0.0,0.0,-0.0,0.0,0.0
0.211,0.0,-0.0,0.0,-0.0,0.0,0.0
0.221,0.0,-0.0,0.0,-0.0,0.0,0.0
0.231,0.0,-0.0,0.0,-0.0,0.0,0.0
0.241,0.0,-0.0,0.0,-0.0,0.0,0.0
0.251,0.0,-0.0,0.0,-0.0,0.0,0.0
0.261,0.0,-0.0,0.0,0.0,-0.0,0.0
0.271,0.0,-0.0,0.0,0.0,-0.0,0.0
0.281,0.0,-0.0,0.0,0.0,-0.0,0.0
0.291,0.0,-0.0,0.0,0.0,-0.0,0.0
0.301,0.0,-0.0,0.0,0.0,-0.0,0.0
0.311,0.0,-0.0,-0.0,0.0,-0.0,0.0
0.320,0.0,-0.0,-0.0,0.0,-0.0,0.0
0.331,0.0,-0.0,-0.0,0.0,-0.0,0.0
0.339,0.0,-0.0,-0.0,0.0,-0.0,0.0
0.351,0.0,-0.0,-0.0,0.0,-0.0,0.0
0.361,0.0,-0.0,0.0,0.12,-0.01,0.0
0.371,0.0,-0.0,0.0,0.15,-0.01,0.0
0.380,0.0,-0.0,0.0,0.15,0.0,0.0
0.391,0.01,-0.0,-0.0,0.07,-0.0,0.0
0.402,0.01,-0.0,-0.0,0.02,-0.0,0.0
0.411,0.01,-0.0,-0.0,-0.0,-0.0,0.0
0.421,0.01,-0.0,-0.0,-0.0,-0.0,0.0
0.431,0.01,-0.0,-0.0,-0.0,-0.0,0.0
0.441,0.01,-0.0,-0.0,-0.0,-0.0,0.0
0.451,0.01,-0.0,-0.0,-0.0,0.0,0.0
0.461,0.01,-0.0,-0.0,-0.0,0.0,0.0
0.471,0.01,-0.0,-0.0,-0.0,0.0,0.0
0.481,0.01,-0.0,-0.0,-0.0,0.0,0.0
0.491,0.01,-0.0,-0.0,-0.0,0.0,0.0
0.501,0.01,-0.0,-0.0,-0.0,0.0,0.0
0.511,0.01,-0.0,-0.0,-0.0,-0.0,0.0
0.521,0.01,-0.0,-0.0,-0.0,0.0,0.0
0.531,0.01,-0.0,-0.0,-0.0,0.0,0.0
0.541,0.01,-0.0,-0.0,-0.0,-0.0,0.0
0.551,0.01,-0.0,-0.0,-0.0,-0.0,0.0
0.561,0.01,-0.0,-0.0,-0.0,0.0,0.0
0.571,0.01,-0.0,-0.0,-0.0,0.0,0.0
0.581,0.01,-0.0,-0.0,-0.0,0.0,0.0
0.591,0.01,-0.0,-0.0,-0.0,0.0,0.0
0.601,0.01,-0.0,-0.0,-0.0,0.0,0.0
0.611,0.01,-0.0,-0.0,-0.0,0.0,0.0
0.621,0.01,-0.0,-0.0,-0.0,0.0,0.0
0.631,0.01,-0.0,-0.0,-0.0,0.0,0.0
0.641,0.01,-0.0,-0.0,-0.0,0.0,0.0
0.644,0.01,-0.0,-0.0,-0.0,0.0,0.0
0.661,0.01,-0.0,-0.0,-0.0,0.0,0.0
0.671,0.01,-0.0,-0.0,-0.0,0.0,0.0
0.681,0.01,-0.0,-0.0,-0.0,0.0,0.0
0.691,0.01,-0.0,-0.0,-0.0,0.0,0.0
0.701,0.01,-0.0,-0.0,-0.0,0.0,0.0
0.710,0.01,-0.0,-0.0,-0.0,0.0,0.0
0.719,0.01,-0.0,-0.0,-0.0,0.0,0.0
0.731,0.01,-0.0,-0.0,-0.0,0.0,0.0
0.742,0.01,-0.0,-0.0,-0.0,0.0,0.0
0.751,0.01,-0.0,-0.0,-0.0,0.0,0.0
0.761,0.01,-0.0,-0.0,-0.0,0.0,0.0
0.771,0.01,-0.0,-0.0,-0.0,0.0,0.0
0.781,0.01,-0.0,-0.0,-0.0,0.0,0.0
0.791,0.01,-0.0,-0.0,-0.0,0.0,0.0
0.801,0.01,-0.0,-0.0,-0.0,0.0,0.0
0.811,0.01,-0.0,-0.0,-0.0,0.0,0.0
0.821,0.01,-0.0,-0.0,-0.0,0.0,0.0
0.831,0.01,-0.0,-0.0,-0.0,0.0,0.0
0.841,0.01,-0.0,-0.0,-0.0,0.0,0.0
0.851,0.01,-0.0,-0.0,-0.0,0.0,0.0
0.861,0.01,-0.0,-0.0,-0.0,0.0,0.0
0.871,0.01,-0.0,-0.0,-0.0,0.0,0.0
0.880,0.01,-0.0,-0.0,-0.0,0.0,0.0
0.889,0.01,-0.0,-0.0,-0.0,0.0,0.0
0.902,0.01,-0.0,-0.0,-0.0,0.0,0.0
0.911,0.01,-0.0,-0.0,-0.0,0.0,0.0
0.921,0.01,-0.0,-0.0,-0.0,0.0,0.0
0.931,0.01,-0.0,-0.0,-0.0,0.0,0.0
0.940,0.01,-0.0,-0.0,-0.0,0.0,0.0
0.951,0.01,-0.0,-0.0,-0.0,0.0,0.0
0.961,0.01,-0.0,-0.0,-0.0,-0.0,0.0
0.971,0.01,-0.0,-0.0,-0.0,0.0,0.0
0.981,0.01,-0.0,-0.0,-0.0,0.0,0.0
0.991,0.01,-0.0,-0.0,-0.0,0.0,0.0
1.001,0.01,-0.0,-0.0,-0.0,0.0,0.0
1.011,0.01,-0.0,-0.0,-0.0,0.0,0.0
1.021,0.01,-0.0,-0.0,-0.0,0.0,0.0
1.031,0.01,-0.0,-0.0,-0.0,0.0,0.0
1.041,0.01,-0.0,-0.0,-0.0,0.0,0.0
1.051,0.01,-0.0,-0.0,-0.0,0.0,0.0
1.061,0.01,-0.0,-0.0,-0.0,0.0,0.0
1.071,0.01,-0.0,-0.0,-0.0,0.0,0.0
1.081,0.01,-0.0,-0.0,-0.0,0.0,0.0
1.091,0.01,-0.0,-0.0,-0.0,0.0,0.0
1.101,0.01,-0.0,-0.0,-0.0,0.0,0.0
1.110,0.01,-0.0,-0.0,-0.0,0.0,0.0
1.119,0.01,-0.0,-0.0,-0.0,0.0,0.0
1.131,0.01,-0.0,-0.0,-0.0,0.0,0.0
1.141,0.01,-0.0,-0.0,-0.0,0.0,0.0
1.151,0.01,-0.0,-0.0,-0.0,0.0,0.0
1.161,0.01,-0.0,-0.0,-0.0,0.0,0.0
1.171,0.01,-0.0,-0.0,-0.0,0.0,0.0
1.181,0.01,-0.0,-0.0,-0.0,0.0,0.0
1.191,0.01,-0.0,-0.0,-0.0,0.0,0.0
1.201,0.01,-0.0,-0.0,-0.0,0.0,0.0
1.211,0.01,-0.0,-0.0,-0.0,0.0,0.0
1.221,0.01,-0.0,-0.0,-0.0,0.0,0.0
1.231,0.01,-0.0,-0.0,-0.0,0.0,0.0
1.241,0.01,-0.0,-0.0,-0.0,0.0,0.0
1.251,0.01,-0.0,-0.0,-0.0,0.0,0.0
