t,x,y,z
1.852,0.0,0.0,0.0
1.882,0.0,0.0,0.0
1.918,0.0,0.0,0.0
1.952,0.0,0.0,0.0
1.982,0.0,0.0,0.0
2.025,0.0,0.0,0.0
2.071,0.0,0.0,0.0
2.106,0.0,0.0,0.0
2.155,0.0,0.0,0.0
2.192,0.0,0.0,0.0
2.221,0.0,0.0,0.0
2.253,0.0,0.0,0.0
2.281,0.0,0.0,0.0
2.304,0.0,0.0,0.0
2.326,0.0,0.0,0.0
2.362,0.0,0.0,0.0
2.391,0.0,0.0,0.0
2.427,0.0,0.0,0.0
2.455,0.0,0.0,0.0
2.491,0.0,0.0,0.0
2.524,0.0,0.0,0.0
2.553,0.0,0.0,0.0
2.588,0.0,0.0,0.0
2.614,0.0,0.0,0.0
2.647,0.0,0.0,0.0
2.670,0.0,0.0,0.0
2.696,0.0,0.0,0.0
2.724,0.0,0.0,0.0
2.753,0.0,0.0,0.0
2.779,0.0,0.0,0.0
2.813,0.0,0.0,0.0
2.847,0.0,0.0,0.0
2.880,0.0,0.0,0.0
2.906,0.0,0.0,0.0
2.935,0.0,0.0,0.0
2.959,0.0,0.0,0.0
2.986,0.0,0.0,0.0
3.012,0.0,0.0,0.0
3.041,0.0,0.0,0.0
3.058,0.0,0.0,0.0
3.088,0.0,0.0,0.0
3.113,0.0,0.0,0.0
3.139,0.0,0.0,0.0
3.163,0.0,0.0,0.0
3.190,0.0,0.0,0.0
3.224,0.0,0.0,0.0
3.259,0.0,0.0,0.0
3.287,0.0,0.0,0.0
3.317,0.0,0.0,0.0
3.349,0.0,0.0,0.0
3.378,0.0,0.0,0.0
3.404,0.0,0.0,0.0
3.432,0.0,0.0,0.0
3.457,0.0,0.0,0.0
3.489,0.0,0.0,0.0
3.513,0.0,0.0,0.0
3.543,0.0,0.0,0.0
3.575,0.0,0.0,0.0
3.598,0.0,0.0,0.0
3.630,0.0,0.0,0.0
3.667,0.0,0.0,0.0
3.697,0.0,0.0,0.0
3.737,0.0,0.0,0.0
3.771,0.0,0.0,0.0
3.805,0.0,0.0,0.0
3.840,0.0,0.0,0.0
3.870,0.0,0.0,0.0
3.910,0.0,0.0,0.0
3.953,0.0,0.0,0.0
3.993,0.0,0.0,0.0
4.032,0.0,0.0,0.0
4.069,0.0,0.0,0.0
4.108,0.0,0.0,0.0
4.147,0.0,0.0,0.0
4.186,0.0,0.0,0.0
4.209,0.0,0.0,0.0
4.239,0.0,0.0,0.0
4.277,0.0,0.0,0.0
4.316,0.0,0.0,0.0
4.354,0.0,0.0,0.0
4.391,0.0,0.0,0.0
4.421,0.0,0.0,0.0
4.448,0.0,0.0,0.0
4.489,0.0,0.0,0.0
4.527,0.0,0.0,0.0
4.563,0.0,0.0,0.0
4.597,0.0,0.0,0.0
4.633,0.0,0.0,0.0
4.670,0.0,0.0,0.0
4.705,0.0,0.0,0.0
4.741,0.0,0.0,0.0
4.776,0.0,0.0,0.0
4.811,0.0,0.0,0.0
4.836,0.0,0.0,0.0
4.870,0.0,0.0,0.0
4.901,0.0,0.0,0.0
4.932,0.0,0.0,0.0
4.964,0.0,0.0,0.0
4.991,0.0,0.0,0.0
5.030,0.0,0.0,0.0
5.071,0.0,0.0,0.0
5.113,0.0,0.0,0.0
5.154,0.0,0.0,0.0
5.181,0.0,0.0,0.0
5.209,0.0,0.0,0.0
5.245,0.0,0.0,0.0
5.267,0.0,0.0,0.0
5.296,0.0,0.0,0.0
5.333,0.0,0.0,0.0
5.371,0.0,0.0,0.0
5.406,0.0,0.0,0.0
5.442,0.0,0.0,0.0
5.478,0.0,0.0,0.0
5.516,0.0,0.0,0.0
5.541,0.0,0.0,0.0
5.578,0.0,0.0,0.0
5.619,0.0,0.0,0.0
5.647,0.0,0.0,0.0
5.680,0.0,0.0,0.0
5.712,0.0,0.0,0.0
5.743,0.0,0.0,0.0
5.780,0.0,0.0,0.0
5.820,0.0,0.0,0.0
5.851,0.0,0.0,0.0
5.889,0.0,0.0,0.0
5.920,0.0,0.0,0.0
5.958,0.0,0.0,0.0
6.007,0.0,0.0,0.0
6.047,0.0,0.0,0.0
6.075,0.0,0.0,0.0
6.111,0.0,0.0,0.0
6.156,0.0,0.0,0.0
6.196,0.0,0.0,0.0
6.241,0.0,0.0,0.0
6.276,0.0,0.0,0.0
6.311,0.0,0.0,0.0
6.349,0.0,0.0,0.0
6.389,0.0,0.0,0.0
6.427,0.0,0.0,0.0
6.454,0.0,0.0,0.0
6.487,0.0,0.0,0.0
6.524,0.0,0.0,0.0
6.554,0.0,0.0,0.0
6.584,0.0,0.0,0.0
6.613,0.0,0.0,0.0
6.650,0.0,0.0,0.0
6.691,0.0,0.0,0.0
6.729,0.0,0.0,0.0
6.772,0.0,0.0,0.0
6.814,0.0,0.0,0.0
6.853,0.0,0.0,0.0
6.893,0.0,0.0,0.0
6.922,0.0,0.0,0.0
6.959,0.0,0.0,0.0
6.996,0.0,0.0,0.0
7.027,0.0,0.0,0.0
7.062,0.0,0.0,0.0
7.089,0.0,0.0,0.0
7.134,0.0,0.0,0.0
7.168,0.0,0.0,0.0
7.196,0.0,0.0,0.0
7.227,0.0,0.0,0.0
7.255,0.0,0.0,0.0
7.286,0.0,0.0,0.0
7.312,0.0,0.0,0.0
7.342,0.0,0.0,0.0
7.380,0.0,0.0,0.0
7.413,0.0,0.0,0.0
7.440,0.0,0.0,0.0
7.468,0.0,0.0,0.0
7.499,0.0,0.0,0.0
7.528,0.0,0.0,0.0
7.557,0.0,0.0,0.0
7.584,0.0,0.0,0.0
7.614,0.0,0.0,0.0
7.644,0.0,0.0,0.0
7.676,0.0,0.0,0.0
7.708,0.0,0.0,0.0
7.735,0.0,0.0,0.0
7.765,0.0,0.0,0.0
7.788,0.0,0.0,0.0
7.820,0.0,0.0,0.0
7.849,0.0,0.0,0.0
7.882,0.0,0.0,0.0
7.918,0.0,0.0,0.0
7.954,0.0,0.0,0.0
7.994,0.0,0.0,0.0
8.033,0.0,0.0,0.0
8.071,0.0,0.0,0.0
8.107,0.0,0.0,0.0
8.139,0.0,0.0,0.0
8.175,0.0,0.0,0.0
8.196,0.0,0.0,0.0
8.218,0.0,0.0,0.0
8.248,0.0,0.0,0.0
8.273,0.0,0.0,0.0
8.313,0.0,0.0,0.0
8.347,0.0,0.0,0.0
8.381,0.0,0.0,0.0
8.414,0.0,0.0,0.0
8.447,0.0,0.0,0.0
8.481,0.0,0.0,0.0
8.501,0.0,0.0,0.0
8.520,0.0,0.0,0.0
8.556,0.0,0.0,0.0
8.592,0.0,0.0,0.0
8.628,0.0,0.0,0.0
8.655,0.0,0.0,0.0
8.700,0.0,0.0,0.0
8.739,0.0,0.0,0.0
8.775,0.0,0.0,0.0
8.809,0.0,0.0,0.0
8.840,0.0,0.0,0.0
8.874,0.0,0.0,0.0
8.917,0.0,0.0,0.0
8.958,0.0,0.0,0.0
8.986,0.0,0.0,0.0
9.020,0.0,0.0,0.0
9.068,0.0,0.0,0.0
9.108,0.0,0.0,0.0
9.152,0.0,0.0,0.0
9.181,0.0,0.0,0.0
9.223,0.0,0.0,0.0
9.266,0.0,0.0,0.0
9.309,0.0,0.0,0.0
9.352,0.0,0.0,0.0
9.392,0.0,0.0,0.0
9.436,0.0,0.0,0.0
9.477,0.0,0.0,0.0
9.518,0.0,0.0,0.0
9.558,0.0,0.0,0.0
9.588,0.0,0.0,0.0
9.632,0.0,0.0,0.0
9.672,0.0,0.0,0.0
9.711,0.0,0.0,0.0
9.750,0.0,0.0,0.0
9.789,0.0,0.0,0.0
9.825,0.0,0.0,0.0
9.864,0.0,0.0,0.0
9.895,0.0,0.0,0.0
9.934,0.0,0.0,0.0
9.975,0.0,0.0,0.0
10.013,0.0,0.0,0.0
10.046,0.0,0.0,0.0
10.084,0.0,0.0,0.0
10.124,0.0,0.0,0.0
10.160,0.0,0.0,0.0
10.189,0.0,0.0,0.0
10.228,0.0,0.0,0.0
10.267,0.0,0.0,0.0
10.305,0.0,0.0,0.0
10.351,0.0,0.0,0.0
10.400,0.0,0.0,0.0
10.450,0.0,0.0,0.0
10.496,0.0,0.0,0.0
10.541,0.0,0.0,0.0
10.577,0.0,0.0,0.0
10.619,0.0,0.0,0.0
10.670,0.0,0.0,0.0
10.717,0.0,0.0,0.0
10.750,0.0,0.0,0.0
10.781,0.0,0.0,0.0
10.812,0.0,0.0,0.0
10.854,0.0,0.0,0.0
10.907,0.0,0.0,0.0
10.942,0.0,0.0,0.0
10.980,0.0,0.0,0.0
11.021,0.0,0.0,0.0
11.060,0.0,0.0,0.0
11.073,0.0,0.0,0.0
11.109,0.0,0.0,0.0
11.139,0.0,0.0,0.0
11.166,0.0,0.0,0.0
11.211,0.0,0.0,0.0
11.245,0.0,0.0,0.0
11.291,0.0,0.0,0.0
11.329,0.0,0.0,0.0
11.367,0.0,0.0,0.0
11.407,0.0,0.0,0.0
11.442,0.0,0.0,0.0
11.483,0.0,0.0,0.0
11.526,0.0,0.0,0.0
11.571,0.0,0.0,0.0
11.614,0.0,0.0,0.0
11.646,0.0,0.0,0.0
11.689,0.0,0.0,0.0
11.734,0.0,0.0,0.0
11.780,0.0,0.0,0.0
11.820,0.0,0.0,0.0
11.858,0.0,0.0,0.0
11.895,0.0,0.0,0.0
11.932,0.0,0.0,0.0
11.977,0.0,0.0,0.0
12.019,0.0,0.0,0.0
12.063,0.0,0.0,0.0
12.102,0.0,0.0,0.0
12.138,0.0,0.0,0.0
12.178,0.0,0.0,0.0
12.220,0.0,0.0,0.0
12.259,0.0,0.0,0.0
12.301,0.0,0.0,0.0
12.342,0.0,0.0,0.0
12.386,0.0,-0.01,0.0
12.422,0.0,-0.04,0.0
12.459,0.01,-0.08,0.0
12.498,0.02,-0.17,0.0
12.542,0.03,-0.3,0.0
12.585,0.05,-0.48,0.0
12.631,0.07,-0.73,0.0
12.676,0.1,-0.99,0.0
12.719,0.13,-1.26,0.0
12.755,0.16,-1.56,0.0
12.799,0.19,-1.9,0.0
12.836,0.23,-2.24,0.0
12.875,0.27,-2.66,0.0
12.905,0.29,-2.87,0.0
12.939,0.34,-3.3,0.0
12.979,0.4,-3.84,0.0
13.024,0.45,-4.36,0.0
13.066,0.5,-4.86,0.0
13.106,0.56,-5.4,0.0
13.146,0.62,-6.0,0.0
13.190,0.69,-6.6,0.0
13.228,0.73,-7.08,0.0
13.265,0.75,-7.3,0.0
13.304,0.78,-7.7,0.0
13.347,0.79,-7.93,0.0
13.387,0.77,-7.95,0.0
13.428,0.72,-7.77,0.0
13.466,0.67,-7.58,0.0
13.500,0.59,-7.13,0.0
13.537,0.56,-7.01,0.0
13.579,0.42,-6.29,0.0
13.620,0.21,-5.13,0.0
13.670,0.11,-4.6,0.0
13.713,0.05,-4.39,0.0
13.757,-0.08,-3.8,0.0
13.800,-0.18,-3.37,0.0
13.837,-0.26,-3.07,0.0
13.878,-0.34,-2.89,0.0
13.919,-0.38,-2.86,0.0
13.956,-0.43,-2.87,0.0
13.997,-0.47,-2.94,0.0
14.038,-0.49,-3.03,0.0
14.080,-0.52,-3.13,0.0
14.124,-0.58,-3.31,0.0
14.163,-0.61,-3.45,0.0
14.202,-0.63,-3.53,0.0
14.245,-0.68,-3.69,0.0
14.284,-0.73,-3.91,0.0
14.329,-0.75,-3.98,0.0
14.364,-0.81,-4.17,0.0
14.414,-0.86,-4.33,0.0
14.450,-0.9,-4.5,0.0
14.497,-0.95,-4.64,0.0
14.532,-1.0,-4.79,0.0
14.579,-1.06,-4.98,0.0
14.617,-1.1,-5.04,0.0
14.658,-1.16,-5.22,0.0
