t,x,y,z
3.684,0.0,0.0,0.0
3.715,0.0,0.0,0.0
3.755,0.0,0.0,0.0
3.795,0.0,0.0,0.0
3.831,0.0,0.0,0.0
3.874,0.0,0.0,0.0
3.911,0.0,0.0,0.0
3.956,0.0,0.0,0.0
4.003,0.0,0.0,0.0
4.047,0.0,0.0,0.0
4.098,0.0,0.0,0.0
4.140,0.0,0.0,0.0
4.185,0.0,0.0,0.0
4.225,0.0,0.0,0.0
4.268,0.0,0.0,0.0
4.309,0.0,0.0,0.0
4.348,0.0,0.0,0.0
4.388,0.0,0.0,0.0
4.426,0.0,0.0,0.0
4.469,0.0,0.0,0.0
4.511,0.0,0.0,0.0
4.546,0.0,0.0,0.0
4.588,0.0,0.0,0.0
4.621,0.0,0.0,0.0
4.661,0.0,0.0,0.0
4.707,0.0,0.0,0.0
4.748,0.0,0.0,0.0
4.791,0.0,0.0,0.0
4.831,0.0,0.0,0.0
4.874,0.0,0.0,0.0
4.917,0.0,0.0,0.0
4.966,0.0,0.0,0.0
5.010,0.0,0.0,0.0
5.046,0.0,0.0,0.0
5.093,0.0,0.0,0.0
5.141,0.0,0.0,0.0
5.181,0.0,0.0,0.0
5.219,0.0,0.0,0.0
5.257,0.0,0.0,0.0
5.300,0.0,0.0,0.0
5.346,0.0,0.0,0.0
5.387,0.0,0.0,0.0
5.431,0.0,0.0,0.0
5.470,0.0,0.0,0.0
5.510,0.0,0.0,0.0
5.557,0.0,0.0,0.0
5.592,0.0,0.0,0.0
5.633,0.0,0.0,0.0
5.671,0.0,0.0,0.0
5.716,0.0,0.0,0.0
5.761,0.0,0.0,0.0
5.805,0.0,0.0,0.0
5.853,0.0,0.0,0.0
5.892,0.0,0.0,0.0
5.945,0.0,0.0,0.0
5.988,0.0,0.0,0.0
6.030,0.0,0.0,0.0
6.074,0.0,0.0,0.0
6.121,0.0,0.0,0.0
6.165,0.0,0.0,0.0
6.200,0.0,0.0,0.0
6.243,0.0,0.0,0.0
6.284,0.0,0.0,0.0
6.325,0.0,0.0,0.0
6.350,0.0,0.0,0.0
6.397,0.0,0.0,0.0
6.441,0.0,0.0,0.0
6.484,0.0,0.0,0.0
6.522,0.0,0.0,0.0
6.556,0.0,0.0,0.0
6.581,0.0,0.0,0.0
6.619,0.0,0.0,0.0
6.660,0.0,0.0,0.0
6.705,0.0,0.0,0.0
6.753,0.0,0.0,0.0
6.800,0.0,0.0,0.0
6.841,0.0,0.0,0.0
6.879,0.0,0.0,0.0
6.917,0.0,0.0,0.0
6.961,0.0,0.0,0.0
7.000,0.0,0.0,0.0
7.043,0.0,0.0,0.0
7.081,0.0,0.0,0.0
7.119,0.0,0.0,0.0
7.155,0.0,0.0,0.0
7.198,0.0,0.0,0.0
7.230,0.0,0.0,0.0
7.265,0.0,0.0,0.0
7.305,0.0,0.0,0.0
7.350,0.0,0.0,0.0
7.394,0.0,0.0,0.0
7.433,0.0,0.0,0.0
7.469,0.0,0.0,0.0
7.511,0.0,0.0,0.0
7.562,0.0,0.0,0.0
7.608,0.0,0.0,0.0
7.653,0.0,0.0,0.0
7.697,0.0,0.0,0.0
7.743,0.0,0.0,0.0
7.780,0.0,0.0,0.0
7.828,0.0,0.0,0.0
7.870,0.0,0.0,0.0
7.913,0.0,0.0,0.0
7.951,0.0,0.0,0.0
7.988,0.0,0.0,0.0
8.033,0.0,0.0,0.0
8.079,0.0,0.0,0.0
8.125,0.0,0.0,0.0
8.174,0.0,0.0,0.0
8.220,0.0,0.0,0.0
8.253,0.0,0.0,0.0
8.293,0.0,0.0,0.0
8.335,0.0,0.0,0.0
8.383,0.0,0.0,0.0
8.431,0.0,0.0,0.0
8.476,0.0,0.0,0.0
8.517,0.0,0.0,0.0
8.554,0.0,0.0,0.0
8.606,0.0,0.0,0.0
8.653,0.0,0.0,0.0
8.692,0.0,0.0,0.0
8.736,0.0,0.0,0.0
8.782,0.0,0.0,0.0
8.826,0.0,0.0,0.0
8.871,0.0,0.0,0.0
8.915,0.0,0.0,0.0
8.958,0.0,0.0,0.0
9.000,0.0,0.0,0.0
9.049,0.0,0.0,0.0
9.095,0.0,0.0,0.0
9.134,0.0,0.0,0.0
9.175,0.0,0.0,0.0
9.226,0.0,0.0,0.0
9.273,0.0,0.0,0.0
9.315,0.0,0.0,0.0
9.357,0.0,0.0,0.0
9.401,0.0,0.0,0.0
9.443,0.0,0.0,0.0
9.484,0.0,0.0,0.0
9.524,0.0,0.0,0.0
9.567,0.0,0.0,0.0
9.597,0.0,0.0,0.0
9.628,0.0,0.0,0.0
9.670,0.0,0.0,0.0
9.714,0.0,0.0,0.0
9.753,0.0,0.0,0.0
9.801,0.0,0.0,0.0
9.852,0.0,0.0,0.0
9.897,0.0,0.0,0.0
9.934,0.0,0.0,0.0
9.975,0.0,0.0,0.0
10.020,0.0,0.0,0.0
10.067,0.0,0.0,0.0
10.107,0.0,0.0,0.0
10.150,0.0,0.0,0.0
10.186,0.0,0.0,0.0
10.232,0.0,0.0,0.0
10.279,0.0,0.0,0.0
10.323,0.0,0.0,0.0
10.367,0.0,0.0,0.0
10.408,0.0,0.0,0.0
10.451,0.0,0.0,0.0
10.492,0.0,0.0,0.0
10.537,0.0,0.0,0.0
10.584,0.0,0.0,0.0
10.620,0.0,0.0,0.0
10.663,0.0,0.0,0.0
10.701,0.0,0.0,0.0
10.741,0.0,0.0,0.0
10.789,0.0,0.0,0.0
10.838,0.0,0.0,0.0
10.883,0.0,0.0,0.0
10.918,0.0,0.0,0.0
10.957,0.0,0.0,0.0
10.999,0.0,0.0,0.0
11.043,0.0,0.0,0.0
11.093,0.0,0.0,0.0
11.143,0.0,0.0,0.0
11.186,0.0,0.0,0.0
11.229,0.0,0.0,0.0
11.273,0.0,0.0,0.0
11.322,0.0,0.0,0.0
