t,x,y,z,vx,vy,vz
1.858,0.0,0.0,0.0,0.0,-0.0,0.01
1.858,0.0,0.0,0.0,0.0,-0.0,0.01
1.860,0.0,0.0,0.0,0.0,-0.0,0.01
1.877,0.0,0.0,0.0,0.0,-0.0,0.05
1.897,0.0,0.0,0.0,0.0,0.0,0.1
1.918,0.0,0.0,0.0,0.0,0.0,0.13
1.922,0.0,0.0,0.0,0.0,0.0,0.14
1.922,0.0,0.0,0.0,0.0,0.0,0.15
1.922,0.0,0.0,0.01,-0.0,0.0,0.15
1.922,0.0,0.0,0.01,-0.0,0.0,0.15
1.945,0.0,0.0,0.01,-0.0,0.0,0.2
1.946,0.0,0.0,0.01,-0.0,0.0,0.2
1.963,0.0,0.0,0.01,-0.0,0.0,0.22
1.963,0.0,0.0,0.01,-0.0,0.0,0.24
1.982,0.0,0.0,0.02,-0.0,0.0,0.28
2.001,0.0,0.0,0.02,-0.0,0.0,0.31
2.007,0.0,0.0,0.02,-0.0,0.0,0.32
2.007,0.0,0.0,0.03,-0.0,0.0,0.33
2.007,0.0,0.0,0.03,-0.0,0.0,0.33
2.011,0.0,0.0,0.03,-0.0,0.0,0.34
2.012,0.0,0.0,0.03,-0.0,0.0,0.34
2.030,0.0,0.0,0.03,-0.0,0.0,0.37
2.033,0.0,0.0,0.03,-0.0,0.0,0.38
2.049,0.0,0.0,0.04,-0.0,0.0,0.41
2.052,0.0,0.0,0.04,-0.0,0.0,0.42
2.068,0.0,0.0,0.05,-0.0,0.0,0.45
2.068,0.0,0.0,0.05,-0.0,0.0,0.45
2.087,0.0,0.0,0.06,-0.0,0.0,0.48
2.087,0.0,0.0,0.06,-0.0,0.0,0.49
2.106,0.0,0.0,0.07,-0.0,0.0,0.51
2.106,0.0,0.0,0.07,-0.0,0.0,0.51
2.110,0.0,0.0,0.07,-0.0,0.0,0.52
2.127,0.0,0.0,0.08,-0.0,0.0,0.54
2.131,0.0,0.0,0.08,-0.0,0.0,0.54
