t,x,y,z,vx,vy,vz
0.021,10.0,0.0,0.1,10.0,0.0,0.1
0.030,10.0,0.0,0.1,10.0,0.0,0.1
0.040,10.0,0.0,0.09,10.0,0.0,0.09
0.051,10.0,-0.0,0.09,10.0,-0.0,0.09
0.061,10.0,-0.0,0.08,10.0,-0.0,0.08
0.071,10.0,-0.0,0.08,10.0,-0.0,0.08
0.081,10.0,-0.0,0.07,10.0,-0.0,0.07
0.091,10.0,-0.0,0.06,10.0,-0.0,0.06
0.101,10.0,-0.0,0.05,10.0,-0.0,0.05
0.111,10.0,-0.0,0.04,10.0,-0.0,0.04
0.121,10.0,-0.0,0.03,10.0,-0.0,0.03
0.131,10.0,-0.0,0.02,10.0,-0.0,0.02
0.141,10.0,-0.0,0.0,10.0,-0.0,0.0
0.151,10.0,-0.0,-0.0,10.0,-0.0,-0.0
0.160,10.0,-0.0,-0.0,10.0,-0.0,-0.0
0.171,10.0,-0.0,-0.0,10.0,-0.0,-0.0
0.181,10.0,-0.0,-0.0,10.0,-0.0,-0.0
0.191,10.0,-0.0,0.0,10.0,-0.0,0.0
0.196,10.0,-0.0,0.0,10.0,-0.0,0.0
0.211,10.0,-0.0,0.0,10.0,-0.0,0.0
0.221,10.0,-0.0,0.0,10.0,-0.0,0.0
0.231,10.0,-0.0,0.0,10.0,-0.0,0.0
0.241,10.0,-0.0,0.0,10.0,-0.0,0.0
0.252,10.0,-0.0,0.0,10.0,-0.0,0.0
0.261,10.0,-0.0,0.0,10.0,-0.0,0.0
0.271,10.0,-0.0,0.0,10.0,-0.0,0.0
0.281,10.0,-0.0,0.0,10.0,-0.0,0.0
0.291,10.0,-0.0,0.0,10.0,-0.0,0.0
0.302,10.0,-0.0,0.0,10.0,-0.0,0.0
0.311,10.0,-0.0,-0.0,10.0,-0.0,-0.0
0.322,10.0,-0.0,-0.0,10.0,-0.0,-0.0
0.332,10.0,-0.0,-0.0,10.0,-0.0,-0.0
0.342,10.0,-0.0,-0.0,10.0,-0.0,-0.0
0.352,10.0,-0.0,-0.0,10.0,-0.0,-0.0
0.362,10.0,-0.0,0.0,10.0,-0.0,0.0
0.372,10.0,-0.0,0.0,10.0,-0.0,0.0
0.382,10.0,-0.0,0.0,10.0,-0.0,0.0
0.392,10.01,-0.0,-0.0,10.01,-0.0,-0.0
0.402,10.01,-0.0,-0.0,10.01,-0.0,-0.0
0.412,10.01,-0.0,-0.0,10.01,-0.0,-0.0
0.422,10.01,-0.0,-0.0,10.01,-0.0,-0.0
0.432,10.01,-0.0,-0.0,10.01,-0.0,-0.0
0.442,10.01,-0.0,-0.0,10.01,-0.0,-0.0
0.452,10.01,-0.0,-0.0,10.01,-0.0,-0.0
0.461,10.01,-0.0,-0.0,10.01,-0.0,-0.0
0.472,10.01,-0.0,-0.0,10.01,-0.0,-0.0
0.482,10.01,-0.0,-0.0,10.01,-0.0,-0.0
0.492,10.01,-0.0,-0.0,10.01,-0.0,-0.0
0.501,10.01,-0.0,-0.0,10.01,-0.0,-0.0
0.512,10.01,-0.0,-0.0,10.01,-0.0,-0.0
0.522,10.01,-0.0,-0.0,10.01,-0.0,-0.0
0.532,10.01,-0.0,-0.0,10.01,-0.0,-0.0
0.542,10.01,-0.0,-0.0,10.01,-0.0,-0.0
0.552,10.01,-0.0,-0.0,10.01,-0.0,-0.0
0.562,10.01,-0.0,-0.0,10.01,-0.0,-0.0
0.566,10.01,-0.0,-0.0,10.01,-0.0,-0.0
0.581,10.01,-0.0,-0.0,10.01,-0.0,-0.0
0.590,10.01,-0.0,-0.0,10.01,-0.0,-0.0
0.600,10.01,-0.0,-0.0,10.01,-0.0,-0.0
0.612,10.01,-0.0,-0.0,10.01,-0.0,-0.0
0.620,10.01,-0.0,-0.0,10.01,-0.0,-0.0
0.631,10.01,-0.0,-0.0,10.01,-0.0,-0.0
0.642,10.01,-0.0,-0.0,10.01,-0.0,-0.0
0.649,10.01,-0.0,-0.0,10.01,-0.0,-0.0
0.659,10.01,-0.0,-0.0,10.01,-0.0,-0.0
0.671,10.01,-0.0,-0.0,10.01,-0.0,-0.0
0.681,10.01,-0.0,-0.0,10.01,-0.0,-0.0
0.691,10.01,-0.0,-0.0,10.01,-0.0,-0.0
0.702,10.01,-0.0,-0.0,10.01,-0.0,-0.0
0.711,10.01,-0.0,-0.0,10.01,-0.0,-0.0
0.721,10.01,-0.0,-0.0,10.01,-0.0,-0.0
0.731,10.01,-0.0,-0.0,10.01,-0.0,-0.0
0.740,10.01,-0.0,-0.0,10.01,-0.0,-0.0
0.751,10.01,-0.0,-0.0,10.01,-0.0,-0.0
0.761,10.01,-0.0,-0.0,10.01,-0.0,-0.0
0.771,10.01,-0.0,-0.0,10.01,-0.0,-0.0
0.781,10.01,-0.0,-0.0,10.01,-0.0,-0.0
0.791,10.01,-0.0,-0.0,10.01,-0.0,-0.0
0.801,10.01,-0.0,-0.0,10.01,-0.0,-0.0
0.811,10.01,-0.0,-0.0,10.01,-0.0,-0.0
0.820,10.01,-0.0,-0.0,10.01,-0.0,-0.0
0.829,10.01,-0.0,-0.0,10.01,-0.0,-0.0
0.841,10.01,-0.0,-0.0,10.01,-0.0,-0.0
0.846,10.01,-0.0,-0.0,10.01,-0.0,-0.0
