t,x,y,z
2.995,-0.0,-0.0,40.0
3.035,-0.0,-0.0,40.01
3.066,-0.0,0.0,39.74
3.101,-0.0,-0.0,37.9
3.140,-0.0,-0.0,35.35
3.170,-0.0,-0.01,34.42
3.202,0.0,-0.01,32.64
3.236,0.0,-0.02,30.45
3.274,0.0,-0.03,27.66
3.314,0.0,-0.03,26.91
3.355,0.0,-0.06,19.14
3.391,0.0,-0.06,23.26
3.431,0.0,-0.09,17.85
3.471,0.0,-0.1,17.03
3.505,0.0,-0.1,19.02
3.545,0.0,-0.13,14.15
3.588,0.0,-0.16,10.58
3.633,0.0,-0.2,7.66
3.675,0.0,-0.21,8.39
3.716,0.0,-0.22,8.05
3.758,0.0,-0.25,6.26
3.793,0.0,-0.23,10.51
3.822,0.0,-0.21,14.39
3.862,0.01,-0.29,5.02
3.902,0.01,-0.31,3.72
3.943,0.01,-0.33,2.02
3.986,0.01,-0.37,-0.44
4.030,0.01,-0.39,-1.99
4.071,0.01,-0.39,-0.01
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
4.071,0.0,-0.09,34.28
