t,x,y,z,vx,vy,vz
0.011,3.0,0.0,0.1,0.0,0.0,0.0
0.021,3.0,0.0,0.1,0.0,0.0,0.0
0.031,3.0,0.0,0.1,0.0,0.0,0.0
0.041,3.0,0.0,0.09,0.0,0.0,0.0
0.051,3.0,0.0,0.09,0.0,-0.0,0.0
0.061,3.0,0.0,0.08,0.0,-0.0,0.0
0.071,3.0,-0.0,0.08,0.0,-0.0,0.0
0.076,3.0,-0.0,0.07,0.0,-0.0,0.0
0.091,3.0,-0.0,0.06,0.0,-0.0,0.0
0.101,3.0,-0.0,0.05,0.0,-0.0,0.0
0.111,3.0,-0.0,0.04,0.0,-0.0,0.0
0.121,3.0,-0.0,0.03,0.0,-0.0,0.0
0.131,3.0,0.0,0.02,0.01,0.0,0.0
0.141,3.0,0.0,0.0,0.01,0.0,0.0
0.151,3.0,0.0,-0.0,0.22,-0.0,0.0
0.161,3.0,0.0,-0.0,0.27,0.0,0.0
0.171,3.01,0.0,-0.0,0.3,0.0,0.0
0.180,3.01,0.0,-0.0,0.3,0.0,0.0
0.190,3.01,0.0,-0.0,0.3,0.0,0.0
0.194,3.02,0.0,-0.0,0.3,0.0,0.0
0.211,3.02,0.0,-0.0,0.3,0.0,0.0
0.218,3.02,0.0,-0.0,0.3,0.0,0.0
0.231,3.03,0.0,-0.0,0.3,0.0,0.0
0.241,3.03,0.0,-0.0,0.3,0.0,0.0
0.248,3.03,0.0,-0.0,0.31,0.0,0.0
0.262,3.03,0.0,-0.0,0.31,0.0,0.0
0.271,3.04,0.0,-0.0,0.39,-0.0,0.0
0.281,3.04,0.0,-0.0,0.35,-0.0,0.0
0.291,3.04,0.0,-0.0,0.3,0.0,0.0
0.299,3.05,0.0,-0.0,0.3,0.0,0.0
0.309,3.05,0.0,-0.0,0.3,0.0,0.0
0.321,3.05,0.0,-0.0,0.3,0.0,0.0
0.330,3.06,0.0,-0.0,0.3,0.0,0.0
0.341,3.06,0.0,-0.0,0.3,0.0,0.0
0.351,3.06,0.0,-0.0,0.3,0.0,0.0
0.361,3.07,0.0,-0.0,0.3,0.0,0.0
0.367,3.07,0.0,-0.0,0.3,0.0,0.0
0.377,3.07,0.0,-0.0,0.3,0.0,0.0
0.390,3.07,0.0,-0.0,0.3,0.0,0.0
0.400,3.08,0.0,-0.0,0.3,0.0,0.0
0.411,3.08,0.0,-0.0,0.3,0.0,0.0
0.421,3.08,0.0,-0.0,0.3,0.0,0.0
0.431,3.09,0.0,-0.0,0.3,0.0,0.0
0.441,3.09,0.0,-0.0,0.3,0.0,0.0
0.447,3.09,0.0,-0.0,0.3,0.0,0.0
0.458,3.1,0.0,-0.0,0.3,0.0,0.0
0.467,3.1,0.0,-0.0,0.3,0.0,0.0
0.476,3.1,0.0,-0.0,0.3,0.0,0.0
0.491,3.1,0.01,-0.0,0.3,0.0,0.0
0.500,3.11,0.01,-0.0,0.3,0.0,0.0
0.510,3.11,0.01,-0.0,0.3,0.0,0.0
0.521,3.11,0.01,-0.0,0.3,0.0,0.0
0.530,3.12,0.01,-0.0,0.3,0.0,0.0
0.539,3.12,0.01,-0.0,0.3,0.0,0.0
0.546,3.12,0.01,-0.0,0.3,0.0,0.0
0.561,3.13,0.01,-0.0,0.3,0.0,0.0
0.568,3.13,0.01,-0.0,0.3,0.0,0.0
0.580,3.13,0.01,-0.0,0.3,0.0,0.0
0.591,3.13,0.01,-0.0,0.3,0.0,0.0
0.594,3.14,0.01,-0.0,0.3,0.0,0.0
0.607,3.14,0.01,-0.0,0.3,0.0,0.0
0.619,3.14,0.01,-0.0,0.3,0.0,0.0
0.628,3.15,0.01,-0.0,0.3,0.0,0.0
0.641,3.15,0.01,-0.0,0.3,0.0,0.0
0.650,3.15,0.01,-0.0,0.3,0.0,0.0
0.661,3.16,0.01,-0.0,0.3,0.0,0.0
0.671,3.16,0.01,-0.0,0.3,0.0,0.0
0.678,3.16,0.01,-0.0,0.3,0.0,0.0
0.691,3.16,0.01,-0.0,0.3,0.0,0.0
0.701,3.17,0.01,-0.0,0.3,0.0,0.0
0.705,3.17,0.01,-0.0,0.3,0.0,0.0
0.719,3.17,0.01,-0.0,0.3,0.0,0.0
0.728,3.18,0.02,-0.0,0.3,0.0,0.0
0.738,3.18,0.02,-0.0,0.3,0.0,0.0
0.751,3.18,0.02,-0.0,0.3,0.0,0.0
0.761,3.18,0.02,-0.0,0.3,0.0,0.0
0.771,3.19,0.02,-0.0,0.3,0.0,0.0
0.781,3.19,0.02,-0.0,0.3,0.0,0.0
0.791,3.19,0.02,-0.0,0.3,0.0,0.0
0.796,3.2,0.02,-0.0,0.3,0.0,0.0
0.811,3.2,0.02,-0.0,0.3,0.0,0.0
0.821,3.2,0.02,-0.0,0.3,0.0,0.0
0.831,3.21,0.02,-0.0,0.3,0.0,0.0
0.841,3.21,0.02,-0.0,0.3,0.0,0.0
0.851,3.21,0.02,-0.0,0.3,0.0,0.0
