t,rd,pd,yd,r,p,y
0.727,0.0,0.0,0.0,0.0,-0.0,0.0
0.781,0.0,0.0,0.0,0.0,0.0,0.0
0.82,0.0,0.0,0.0,0.0,-0.0,0.0
0.855,0.0,0.0,0.0,0.0,-0.0,0.0
0.881,0.0,0.0,0.0,0.0,0.0,0.0
0.905,0.0,0.0,0.0,0.0,0.0,0.0
0.936,0.0,0.0,0.0,0.0,-0.0,0.0
0.97,0.0,0.0,0.0,0.0,-0.0,0.0
1.0,0.0,0.0,0.0,0.0,-0.0,0.0
1.016,0.0,0.0,0.0,0.0,0.0,0.0
1.031,0.0,0.0,0.0,0.0,-0.0,0.0
1.056,0.0,0.0,0.0,0.0,0.0,0.0
1.079,0.0,0.0,0.0,0.0,0.0,0.0
1.104,0.0,0.0,0.0,0.0,-0.0,0.0
1.138,0.0,0.0,0.0,0.0,-0.0,0.0
1.183,0.0,0.0,0.0,0.0,0.0,0.0
1.226,0.0,0.0,0.0,0.0,0.0,0.0
1.27,0.0,0.0,0.0,0.0,-0.0,0.0
1.31,0.0,0.0,0.0,0.0,-0.0,0.0
1.353,0.0,0.0,0.0,0.0,0.0,0.0
1.397,0.0,0.0,0.0,0.0,0.0,0.0
1.432,0.0,0.0,0.0,0.0,-0.0,0.0
1.465,0.0,0.0,0.0,0.0,0.0,0.0
1.506,0.0,0.0,0.0,0.0,-0.0,0.0
1.552,0.0,0.0,0.0,0.0,0.0,0.0
1.592,0.0,0.0,0.0,0.0,0.0,0.0
1.63,0.0,0.0,0.0,0.0,0.0,0.0
1.659,0.0,0.0,0.0,0.0,0.0,0.0
1.688,0.0,0.0,0.0,0.0,0.0,0.0
1.721,0.0,0.0,0.0,0.0,0.0,0.0
1.7530000000000001,0.0,0.0,0.0,0.0,-0.0,0.0
1.783,0.0,0.0,0.0,0.0,-0.0,0.0
1.8239999999999998,0.0,0.0,0.0,0.0,0.0,0.0
1.863,0.0,0.0,0.0,0.0,0.0,0.0
1.896,0.0,0.0,0.0,0.0,0.0,0.0
1.939,0.0,0.0,0.0,0.0,0.0,0.0
1.9809999999999999,0.0,0.0,0.0,0.0,-0.0,0.0
2.023,0.0,0.0,0.0,0.0,-0.0,0.0
2.057,0.0,0.0,0.0,0.0,-0.0,0.0
2.101,0.0,0.0,0.0,0.0,0.0,0.0
2.148,0.0,0.0,0.0,0.0,-0.0,0.0
2.196,0.0,0.0,0.0,0.0,-0.0,0.0
2.2439999999999998,0.0,0.0,0.0,0.0,0.0,0.0
2.283,0.0,0.0,0.0,0.0,-0.0,0.0
2.324,0.0,0.0,0.0,0.0,-0.0,0.0
2.367,0.0,0.0,0.0,0.0,0.0,0.0
2.407,0.0,0.0,0.0,0.0,0.0,0.0
2.441,0.0,0.0,0.0,0.0,0.0,0.0
2.475,0.0,0.0,0.0,0.0,0.0,0.0
2.5140000000000002,0.0,0.0,0.0,0.0,0.0,0.0
2.557,0.0,0.0,0.0,0.0,-0.0,0.0
