t,x,y,z,vx,vy,vz
4.562,0.0,0.0,0.0,-0.0,0.0,0.0
4.562,0.0,0.0,-0.0,0.0,-0.0,-0.0
4.563,0.0,0.0,-0.0,-0.0,0.0,0.0
4.564,0.0,0.0,-0.0,0.0,0.0,-0.0
4.565,0.0,0.0,0.0,-0.0,0.0,0.0
4.566,0.0,0.0,-0.0,0.0,-0.0,-0.0
4.567,0.0,0.0,-0.0,-0.0,0.0,0.0
4.568,0.0,0.0,-0.0,0.0,0.0,-0.0
4.569,0.0,0.0,0.0,-0.0,0.0,0.0
4.570,0.0,0.0,-0.0,0.0,-0.0,-0.0
4.572,0.0,0.0,0.0,0.0,0.0,0.0
4.572,0.0,0.0,0.0,0.0,0.0,0.0
4.573,0.0,0.0,0.0,0.0,-0.0,0.01
4.575,0.0,0.0,0.0,0.0,-0.0,0.01
4.576,0.0,0.0,0.0,0.0,-0.0,0.01
4.576,0.0,0.0,0.0,0.0,-0.0,0.01
4.578,0.0,0.0,0.0,0.0,-0.0,0.01
4.578,0.0,0.0,0.0,0.0,-0.0,0.01
4.579,0.0,0.0,0.0,0.0,-0.0,0.01
4.580,0.0,0.0,0.0,0.0,-0.0,0.01
4.581,0.0,0.0,0.0,0.0,-0.0,0.01
4.583,0.0,0.0,0.0,0.0,-0.0,0.01
4.584,0.0,0.0,0.0,0.0,-0.0,0.01
4.585,0.0,0.0,0.0,0.0,-0.0,0.02
4.586,0.0,0.0,0.0,0.0,-0.0,0.02
4.587,0.0,0.0,0.0,0.0,-0.0,0.02
4.590,0.0,0.0,0.0,0.0,-0.0,0.02
4.592,0.0,0.0,0.0,0.0,-0.0,0.02
4.592,0.0,0.0,0.0,0.0,-0.0,0.02
4.595,0.0,0.0,0.0,0.0,-0.0,0.02
4.595,0.0,0.0,0.0,0.0,-0.0,0.02
4.597,0.0,0.0,0.0,0.0,-0.0,0.02
4.597,0.0,0.0,0.0,0.0,-0.0,0.03
4.598,0.0,0.0,0.0,0.0,-0.0,0.03
4.599,0.0,0.0,0.0,0.0,-0.0,0.03
4.600,0.0,0.0,0.0,0.0,-0.0,0.03
4.601,0.0,0.0,0.0,0.0,-0.0,0.03
4.602,0.0,0.0,0.0,0.0,-0.0,0.03
4.604,0.0,0.0,0.0,0.0,-0.0,0.03
4.604,0.0,0.0,0.0,0.0,-0.0,0.03
4.605,0.0,0.0,0.0,0.0,-0.0,0.03
4.606,0.0,0.0,0.0,0.0,-0.0,0.03
4.608,0.0,0.0,0.0,0.0,-0.0,0.03
4.608,0.0,0.0,0.0,0.0,0.0,0.03
4.609,0.0,0.0,0.0,0.0,0.0,0.04
4.610,0.0,0.0,0.0,0.0,0.0,0.04
4.611,0.0,0.0,0.0,0.0,0.0,0.04
4.612,0.0,0.0,0.0,0.0,0.0,0.04
4.613,0.0,0.0,0.0,0.0,0.0,0.04
4.614,0.0,0.0,0.0,0.0,0.0,0.04
4.615,0.0,0.0,0.0,0.0,0.0,0.04
4.616,0.0,0.0,0.0,0.0,0.0,0.04
4.618,0.0,0.0,0.0,0.0,0.0,0.04
4.618,0.0,0.0,0.0,0.0,0.0,0.04
4.619,0.0,0.0,0.0,0.0,0.0,0.04
4.621,0.0,0.0,0.0,0.0,0.0,0.04
4.621,0.0,0.0,0.0,0.0,0.0,0.05
4.622,0.0,0.0,0.0,0.0,0.0,0.05
4.623,0.0,0.0,0.0,0.0,0.0,0.05
4.624,0.0,0.0,0.0,0.0,0.0,0.05
4.625,0.0,0.0,0.0,0.0,0.0,0.05
4.629,0.0,0.0,0.0,0.0,0.0,0.05
4.630,0.0,0.0,0.0,0.0,0.0,0.05
4.630,0.0,0.0,0.0,0.0,0.0,0.05
4.631,0.0,0.0,0.0,0.0,0.0,0.05
4.632,0.0,0.0,0.0,0.0,0.0,0.05
4.633,0.0,0.0,0.0,0.0,0.0,0.06
4.634,0.0,0.0,0.0,0.0,0.0,0.06
4.635,0.0,0.0,0.0,0.0,0.0,0.06
4.636,0.0,0.0,0.0,0.0,0.0,0.06
4.637,0.0,0.0,0.0,0.0,0.0,0.06
4.638,0.0,0.0,0.0,0.0,0.0,0.06
4.639,0.0,0.0,0.0,0.0,0.0,0.06
4.640,0.0,0.0,0.0,0.0,0.0,0.06
4.641,0.0,0.0,0.0,0.0,0.0,0.06
4.643,0.0,0.0,0.0,0.0,0.0,0.06
