t,x,y,z
2.995,0.0,0.0,0.0
3.035,0.0,0.0,0.0
3.066,0.0,0.0,0.0
3.101,0.0,0.0,0.0
3.140,0.0,0.0,0.0
3.170,0.0,0.0,0.0
3.202,0.0,0.0,0.0
3.236,0.0,0.0,0.0
3.274,0.0,0.0,0.0
3.314,0.0,0.0,0.0
3.355,0.0,0.0,0.0
3.391,0.0,0.0,0.0
3.431,0.0,0.0,0.0
3.471,0.0,0.0,0.0
3.505,0.0,0.0,0.0
3.545,0.0,0.0,0.0
3.588,0.0,0.0,0.0
3.633,0.0,0.0,0.0
3.675,0.0,0.0,0.0
3.716,0.0,0.0,0.0
3.758,0.0,0.0,0.0
3.793,0.0,0.0,0.0
3.822,0.0,0.0,0.0
3.862,0.0,0.0,0.0
3.902,0.0,0.0,0.0
3.943,0.0,0.0,0.0
3.986,0.0,0.0,0.0
4.030,0.0,0.0,0.0
4.071,0.0,0.0,0.0
4.071,0.0,0.0,0.0
4.071,0.0,0.0,0.0
4.071,0.0,0.0,0.0
4.071,0.0,0.0,0.0
4.071,0.0,0.0,0.0
4.071,0.0,0.0,0.0
4.071,0.0,0.0,0.0
4.071,0.0,0.0,0.0
4.071,0.0,0.0,0.0
4.071,0.0,0.0,0.0
4.071,0.0,0.0,0.0
4.071,0.0,0.0,0.0
4.071,0.0,0.0,0.0
4.071,0.0,0.0,0.0
4.071,0.0,0.0,0.0
4.071,0.0,0.0,0.0
4.071,0.0,0.0,0.0
4.071,0.0,0.0,0.0
4.071,0.0,0.0,0.0
4.071,0.0,0.0,0.0
4.071,0.0,0.0,0.0
4.071,0.0,0.0,0.0
4.071,0.0,0.0,0.0
4.071,0.0,0.0,0.0
4.071,0.0,0.0,0.0
4.071,0.0,0.0,0.0
4.071,0.0,0.0,0.0
4.071,0.0,0.0,0.0
4.071,0.0,0.0,0.0
4.071,0.0,0.0,0.0
4.071,0.0,0.0,0.0
4.071,0.0,0.0,0.0
4.071,0.0,0.0,0.0
4.071,0.0,0.0,0.0
4.071,0.0,0.0,0.0
4.071,0.0,0.0,0.0
4.071,0.0,0.0,0.0
4.071,0.0,0.0,0.0
4.071,0.0,0.0,0.0
4.071,0.0,0.0,0.0
4.071,0.0,0.0,0.0
4.071,0.0,0.0,0.0
4.071,0.0,0.0,0.0
4.071,0.0,0.0,0.0
4.071,0.0,0.0,0.0
4.071,0.0,0.0,0.0
4.071,0.0,0.0,0.0
4.071,0.0,0.0,0.0
4.071,0.0,0.0,0.0
4.071,0.0,0.0,0.0
