t,x,y,z,vx,vy,vz
0.011,3.0,0.0,0.1,0.0,0.0,0.0
0.021,3.0,0.0,0.1,0.0,0.0,0.0
0.031,3.0,0.0,0.1,0.0,0.0,0.0
0.042,3.0,0.0,0.09,0.0,0.0,0.0
0.052,3.0,0.0,0.09,0.0,-0.0,0.0
0.061,3.0,0.0,0.08,0.0,-0.0,0.0
0.070,3.0,-0.0,0.08,0.0,-0.0,0.0
0.081,3.0,-0.0,0.07,0.0,-0.0,0.0
0.092,3.0,-0.0,0.06,0.0,-0.0,0.0
0.102,3.0,-0.0,0.05,0.0,-0.0,0.0
0.112,3.0,-0.0,0.04,0.0,-0.0,0.0
0.122,3.0,-0.0,0.03,-0.0,0.0,0.0
0.132,3.0,-0.0,0.02,-0.0,-0.0,0.0
0.142,3.0,-0.0,0.0,-0.0,-0.0,0.0
0.152,3.0,-0.0,-0.0,-0.0,0.0,0.0
0.162,3.0,-0.0,-0.0,-0.0,0.0,0.0
0.172,3.0,-0.0,-0.0,-0.0,0.0,0.0
0.182,3.0,-0.0,-0.0,-0.0,0.0,0.0
0.191,3.0,-0.0,0.0,-0.0,0.0,0.0
0.201,3.0,-0.0,0.0,-0.0,0.0,0.0
0.211,3.0,-0.0,0.0,0.05,0.0,0.0
0.222,3.0,-0.0,0.0,0.11,-0.0,0.0
0.232,3.0,-0.0,0.0,0.16,-0.0,0.0
0.242,3.01,-0.0,0.0,0.22,-0.0,0.0
0.252,3.01,-0.0,0.0,0.27,-0.0,0.0
0.262,3.01,-0.0,0.0,0.3,0.0,0.0
0.272,3.01,0.0,0.0,0.3,0.0,0.0
0.282,3.02,0.0,0.0,0.3,0.0,0.0
0.292,3.02,0.0,0.0,0.3,0.0,0.0
0.302,3.02,0.0,0.0,0.3,0.0,0.0
0.312,3.03,0.0,0.0,0.3,0.0,0.0
0.322,3.03,0.0,0.0,0.3,0.0,0.0
0.332,3.03,0.0,0.0,0.3,0.0,0.0
0.342,3.03,0.0,0.0,0.31,0.0,0.0
0.352,3.04,0.0,0.0,0.31,0.0,0.0
0.362,3.04,0.0,0.0,0.31,0.0,0.0
0.372,3.04,0.0,0.0,0.31,0.0,0.0
0.382,3.05,0.0,0.0,0.31,0.0,0.0
0.392,3.05,0.0,0.0,0.3,0.0,0.0
0.402,3.05,0.0,0.0,0.3,0.0,0.0
0.412,3.06,0.0,0.0,0.3,0.0,0.0
0.422,3.06,0.0,0.0,0.3,0.0,0.0
0.432,3.06,0.0,-0.0,0.3,0.0,0.0
0.442,3.07,0.0,-0.0,0.3,0.0,0.0
0.452,3.07,0.0,-0.0,0.3,0.0,0.0
0.462,3.07,0.0,0.0,0.46,-0.01,0.0
0.472,3.08,0.0,0.0,0.49,-0.01,0.0
0.482,3.08,0.0,0.0,0.52,-0.01,0.0
0.492,3.09,0.0,0.0,0.49,-0.01,0.0
0.502,3.09,0.0,-0.0,0.38,-0.01,0.0
0.512,3.1,0.0,-0.0,0.33,-0.0,0.0
0.522,3.1,0.0,-0.0,0.3,0.0,0.0
0.532,3.1,0.0,-0.0,0.3,0.0,0.0
0.542,3.1,0.0,-0.0,0.3,0.0,0.0
0.552,3.11,0.01,-0.0,0.3,0.0,0.0
0.562,3.11,0.01,-0.0,0.3,-0.0,0.0
0.572,3.11,0.01,-0.0,0.3,-0.0,0.0
0.582,3.12,0.01,-0.0,0.3,-0.0,0.0
0.592,3.12,0.01,-0.0,0.3,-0.0,0.0
0.602,3.12,0.01,-0.0,0.3,-0.0,0.0
0.612,3.13,0.01,-0.0,0.3,-0.0,0.0
0.622,3.13,0.01,-0.0,0.3,0.0,0.0
0.632,3.13,0.01,-0.0,0.3,-0.0,0.0
0.642,3.13,0.01,-0.0,0.3,-0.0,0.0
0.652,3.14,0.01,-0.0,0.3,0.0,0.0
0.662,3.14,0.01,-0.0,0.3,-0.0,0.0
0.672,3.14,0.01,-0.0,0.3,0.0,0.0
0.682,3.15,0.01,-0.0,0.3,-0.0,0.0
0.692,3.15,0.01,-0.0,0.3,-0.0,0.0
0.702,3.15,0.01,-0.0,0.3,-0.0,0.0
0.711,3.16,0.01,-0.0,0.3,-0.0,0.0
0.722,3.16,0.01,-0.0,0.3,-0.0,0.0
0.731,3.16,0.01,-0.0,0.3,-0.0,0.0
0.741,3.16,0.01,-0.0,0.3,0.0,0.0
0.751,3.17,0.01,-0.0,0.3,-0.0,0.0
0.761,3.17,0.01,-0.0,0.3,0.0,0.0
0.771,3.17,0.01,-0.0,0.3,-0.0,0.0
0.782,3.18,0.02,-0.0,0.3,0.0,0.0
0.783,3.18,0.02,-0.0,0.3,-0.0,0.0
0.801,3.18,0.02,-0.0,0.3,-0.0,0.0
0.811,3.18,0.02,-0.0,0.3,-0.0,0.0
0.813,3.19,0.02,-0.0,0.3,-0.0,0.0
0.831,3.19,0.02,-0.0,0.3,-0.0,0.0
0.841,3.19,0.02,-0.0,0.3,-0.0,0.0
