t,x,y,z,vx,vy,vz
2.310,0.0,0.0,0.0,0.0,-0.0,0.0
2.311,0.0,0.0,0.0,0.0,-0.0,0.01
2.314,0.0,0.0,0.0,0.0,-0.0,0.01
2.315,0.0,0.0,0.0,0.0,-0.0,0.01
2.316,0.0,0.0,0.0,0.0,-0.0,0.01
2.317,0.0,0.0,0.0,0.0,-0.0,0.01
2.318,0.0,0.0,0.0,0.0,-0.0,0.01
2.319,0.0,0.0,0.0,0.0,-0.0,0.01
2.320,0.0,0.0,0.0,0.0,-0.0,0.01
2.321,0.0,0.0,0.0,0.0,-0.0,0.01
2.322,0.0,0.0,0.0,0.0,-0.0,0.01
2.323,0.0,0.0,0.0,0.0,-0.0,0.02
2.324,0.0,0.0,0.0,0.0,-0.0,0.02
2.325,0.0,0.0,0.0,0.0,-0.0,0.02
2.326,0.0,0.0,0.0,0.0,-0.0,0.02
2.327,0.0,0.0,0.0,0.0,-0.0,0.02
2.328,0.0,0.0,0.0,0.0,-0.0,0.02
2.329,0.0,0.0,0.0,0.0,-0.0,0.02
2.341,0.0,0.0,0.0,-0.0,-0.0,0.03
2.343,0.0,0.0,0.0,-0.0,-0.0,0.03
2.344,0.0,0.0,0.0,-0.0,-0.0,0.03
2.345,0.0,-0.0,0.0,-0.0,-0.0,0.03
2.346,0.0,-0.0,0.0,-0.0,-0.0,0.03
2.347,0.0,-0.0,0.0,-0.0,-0.0,0.04
2.348,0.0,-0.0,0.0,-0.0,-0.0,0.04
2.349,0.0,-0.0,0.0,-0.0,-0.0,0.04
2.350,0.0,-0.0,0.0,-0.0,0.0,0.04
2.351,0.0,-0.0,0.0,-0.0,0.0,0.04
2.352,0.0,-0.0,0.0,-0.0,0.0,0.04
2.353,0.0,-0.0,0.0,-0.0,0.0,0.04
2.354,0.0,0.0,0.0,-0.0,0.0,0.04
2.355,0.0,0.0,0.0,-0.0,0.0,0.04
2.360,0.0,0.0,0.0,-0.0,0.0,0.04
2.360,0.0,0.0,0.0,-0.0,0.0,0.05
2.361,0.0,0.0,0.0,0.0,0.0,0.05
2.361,0.0,0.0,0.0,0.0,0.0,0.05
2.362,0.0,0.0,0.0,0.0,0.0,0.05
2.363,0.0,0.0,0.0,0.0,0.0,0.05
2.364,0.0,0.0,0.0,0.0,0.0,0.05
2.367,0.0,0.0,0.0,0.0,0.0,0.05
2.368,0.0,0.0,0.0,0.0,0.0,0.05
2.368,0.0,0.0,0.0,0.0,0.0,0.05
2.369,0.0,0.0,0.0,0.0,0.0,0.05
2.370,0.0,0.0,0.0,0.0,0.0,0.05
2.372,0.0,0.0,0.0,0.0,0.0,0.06
2.373,0.0,0.0,0.0,0.0,0.0,0.06
2.375,0.0,0.0,0.0,0.0,0.0,0.06
2.375,0.0,0.0,0.0,0.0,0.0,0.06
2.377,0.0,0.0,0.0,0.0,0.0,0.06
2.378,0.0,0.0,0.0,0.0,0.0,0.06
2.379,0.0,0.0,0.0,0.0,0.0,0.06
2.379,0.0,0.0,0.0,0.0,0.0,0.06
2.381,0.0,0.0,0.0,0.0,0.0,0.06
2.383,0.0,0.0,0.0,0.0,0.0,0.07
2.384,0.0,0.0,0.0,0.0,0.0,0.07
2.385,0.0,0.0,0.0,0.0,0.0,0.07
2.386,0.0,0.0,0.0,0.0,0.0,0.07
2.387,0.0,0.0,0.0,0.0,0.0,0.07
2.388,0.0,0.0,0.0,0.0,0.0,0.07
2.389,0.0,0.0,0.0,0.0,0.0,0.07
2.390,0.0,0.0,0.0,0.0,0.0,0.07
2.391,0.0,0.0,0.0,0.0,0.0,0.07
2.392,0.0,0.0,0.0,0.0,0.0,0.07
2.393,0.0,0.0,0.0,0.0,0.0,0.07
2.394,0.0,0.0,0.0,-0.0,0.0,0.07
2.395,0.0,0.0,0.0,-0.0,0.0,0.07
2.396,0.0,0.0,0.0,-0.0,0.0,0.08
2.397,0.0,0.0,0.0,-0.0,0.0,0.08
2.398,0.0,0.0,0.0,-0.0,0.0,0.08
2.399,0.0,0.0,0.0,-0.0,0.0,0.08
2.400,0.0,0.0,0.0,-0.0,0.0,0.08
2.401,0.0,0.0,0.0,-0.0,0.0,0.08
2.402,0.0,0.0,0.0,-0.0,0.0,0.08
2.405,0.0,0.0,0.0,-0.0,0.0,0.08
2.405,0.0,0.0,0.0,-0.0,0.0,0.08
2.406,0.0,0.0,0.0,-0.0,0.0,0.08
2.407,0.0,0.0,0.0,-0.0,0.0,0.08
2.408,0.0,0.0,0.0,-0.0,0.0,0.08
2.409,0.0,0.0,0.0,-0.0,0.0,0.09
2.410,0.0,0.0,0.0,-0.0,0.0,0.09
2.411,0.0,0.0,0.0,-0.0,0.0,0.09
2.412,0.0,0.0,0.0,-0.0,0.0,0.09
2.413,0.0,0.0,0.0,-0.0,0.0,0.09
2.413,0.0,0.0,0.01,-0.0,0.0,0.09
2.415,0.0,0.0,0.01,-0.0,0.0,0.09
2.415,0.0,0.0,0.01,-0.0,0.0,0.09
2.416,0.0,0.0,0.01,-0.0,0.0,0.09
2.418,0.0,0.0,0.01,-0.0,0.0,0.09
2.418,0.0,0.0,0.01,-0.0,0.0,0.09
2.419,0.0,0.0,0.01,-0.0,0.0,0.09
2.420,0.0,0.0,0.01,-0.0,0.0,0.09
2.421,0.0,0.0,0.01,-0.0,0.0,0.1
2.422,0.0,0.0,0.01,-0.0,0.0,0.1
2.423,0.0,0.0,0.01,-0.0,0.0,0.1
2.424,0.0,0.0,0.01,-0.0,0.0,0.1
2.426,0.0,0.0,0.01,-0.0,0.0,0.1
2.427,0.0,0.0,0.01,-0.0,0.0,0.1
2.428,0.0,0.0,0.01,-0.0,0.0,0.1
2.428,0.0,0.0,0.01,-0.0,0.0,0.1
2.429,0.0,0.0,0.01,-0.0,0.0,0.1
2.431,0.0,0.0,0.01,-0.0,0.0,0.1
2.432,0.0,0.0,0.01,-0.0,0.0,0.1
2.433,0.0,0.0,0.01,-0.0,0.0,0.1
2.434,0.0,0.0,0.01,-0.0,0.0,0.1
2.435,0.0,0.0,0.01,-0.0,0.0,0.11
2.436,0.0,0.0,0.01,-0.0,0.0,0.11
2.437,0.0,0.0,0.01,-0.0,0.0,0.11
2.437,0.0,0.0,0.01,-0.0,0.0,0.11
2.439,0.0,0.0,0.01,-0.0,0.0,0.11
2.443,0.0,0.0,0.01,-0.0,0.0,0.11
2.444,0.0,0.0,0.01,-0.0,0.0,0.11
2.445,0.0,0.0,0.01,-0.0,0.0,0.11
2.445,0.0,0.0,0.01,-0.0,0.0,0.11
2.445,0.0,0.0,0.01,-0.0,0.0,0.12
2.452,0.0,0.0,0.01,-0.0,0.0,0.12
2.452,0.0,0.0,0.01,-0.0,0.0,0.12
2.454,0.0,0.0,0.01,-0.0,0.0,0.12
2.455,0.0,0.0,0.01,-0.0,0.0,0.12
2.456,0.0,0.0,0.01,-0.0,0.0,0.12
2.457,0.0,0.0,0.01,-0.0,0.0,0.12
2.458,0.0,0.0,0.01,-0.0,0.0,0.12
2.459,0.0,0.0,0.01,-0.0,0.0,0.12
2.460,0.0,0.0,0.01,-0.0,0.0,0.12
2.461,0.0,0.0,0.01,-0.0,0.0,0.12
2.461,0.0,0.0,0.01,-0.0,0.0,0.13
2.463,0.0,0.0,0.01,-0.0,0.0,0.13
2.464,0.0,0.0,0.01,-0.0,0.0,0.13
2.465,0.0,0.0,0.01,-0.0,0.0,0.13
2.466,0.0,0.0,0.01,-0.0,0.0,0.13
2.467,0.0,0.0,0.01,-0.0,0.0,0.13
2.468,0.0,0.0,0.01,-0.0,0.0,0.13
2.469,0.0,0.0,0.01,-0.0,0.0,0.13
2.470,0.0,0.0,0.01,-0.0,0.0,0.13
2.471,0.0,0.0,0.01,-0.0,0.0,0.13
2.472,0.0,0.0,0.01,-0.0,0.0,0.13
2.476,0.0,0.0,0.01,-0.0,0.0,0.14
2.476,0.0,0.0,0.01,-0.0,0.0,0.14
2.477,0.0,0.0,0.01,-0.0,0.0,0.14
2.479,0.0,0.0,0.01,-0.0,0.0,0.14
2.480,0.0,0.0,0.01,-0.0,0.0,0.14
2.481,0.0,0.0,0.01,-0.0,0.0,0.14
2.481,0.0,0.0,0.01,-0.0,0.0,0.14
2.483,0.0,0.0,0.01,-0.0,0.0,0.14
2.484,0.0,0.0,0.01,-0.0,0.0,0.14
2.484,0.0,0.0,0.01,-0.0,0.0,0.14
2.486,0.0,0.0,0.01,-0.0,0.0,0.14
2.487,0.0,0.0,0.01,-0.0,0.0,0.14
2.488,0.0,0.0,0.01,-0.0,0.0,0.14
2.489,0.0,0.0,0.01,-0.0,0.0,0.15
2.490,0.0,0.0,0.01,-0.0,0.0,0.15
2.491,0.0,0.0,0.01,-0.0,0.0,0.15
2.492,0.0,0.0,0.01,-0.0,0.0,0.15
2.493,0.0,0.0,0.01,-0.0,0.0,0.15
2.494,0.0,0.0,0.01,-0.0,0.0,0.15
2.495,0.0,0.0,0.01,-0.0,0.0,0.15
2.496,0.0,0.0,0.01,-0.0,0.0,0.15
2.497,0.0,0.0,0.02,-0.0,0.0,0.15
2.498,0.0,0.0,0.02,-0.0,0.0,0.15
2.499,0.0,0.0,0.02,-0.0,0.0,0.15
2.500,0.0,0.0,0.02,-0.0,0.0,0.15
2.501,0.0,0.0,0.02,-0.0,0.0,0.15
2.502,0.0,0.0,0.02,-0.0,0.0,0.15
2.503,0.0,0.0,0.02,-0.0,0.0,0.16
2.504,0.0,0.0,0.02,-0.0,0.0,0.16
2.505,0.0,0.0,0.02,-0.0,0.0,0.16
2.505,0.0,0.0,0.02,-0.0,0.0,0.16
2.507,0.0,0.0,0.02,-0.0,0.0,0.16
2.507,0.0,0.0,0.02,-0.0,0.0,0.16
2.509,0.0,0.0,0.02,-0.0,0.0,0.16
2.509,0.0,0.0,0.02,-0.0,0.0,0.16
2.511,0.0,0.0,0.02,-0.0,0.0,0.16
2.511,0.0,0.0,0.02,-0.0,0.0,0.16
2.513,0.0,0.0,0.02,-0.0,0.0,0.16
2.514,0.0,0.0,0.02,-0.0,0.0,0.16
2.515,0.0,0.0,0.02,-0.0,0.0,0.16
2.516,0.0,0.0,0.02,-0.0,0.0,0.16
2.517,0.0,0.0,0.02,-0.0,0.0,0.16
2.518,0.0,0.0,0.02,-0.0,0.0,0.16
2.519,0.0,0.0,0.02,-0.0,0.0,0.17
2.520,0.0,0.0,0.02,-0.0,0.0,0.17
2.520,0.0,0.0,0.02,-0.0,0.0,0.17
2.523,0.0,0.0,0.02,-0.0,0.0,0.17
2.524,0.0,0.0,0.02,-0.0,0.0,0.17
2.525,0.0,0.0,0.02,-0.0,0.0,0.17
2.526,0.0,0.0,0.02,-0.0,0.0,0.17
2.527,0.0,0.0,0.02,-0.0,0.0,0.17
2.528,0.0,0.0,0.02,-0.0,0.0,0.17
2.529,0.0,0.0,0.02,-0.0,0.0,0.17
2.529,0.0,0.0,0.02,-0.0,0.0,0.17
2.531,0.0,0.0,0.02,-0.0,0.0,0.17
2.532,0.0,0.0,0.02,-0.0,0.0,0.18
2.537,0.0,0.0,0.02,-0.0,0.0,0.18
2.538,0.0,0.0,0.02,-0.0,0.0,0.18
2.539,0.0,0.0,0.02,-0.0,0.0,0.18
2.540,0.0,0.0,0.02,-0.0,0.0,0.18
2.540,0.0,0.0,0.02,-0.0,0.0,0.18
2.541,0.0,0.0,0.02,-0.0,0.0,0.18
2.543,0.0,0.0,0.02,-0.0,0.0,0.18
2.543,0.0,0.0,0.02,-0.0,0.0,0.18
2.545,0.0,0.0,0.02,-0.0,0.0,0.18
2.545,0.0,0.0,0.02,-0.0,0.0,0.19
2.547,0.0,0.0,0.02,-0.0,0.0,0.19
2.548,0.0,0.0,0.02,-0.0,0.0,0.19
2.548,0.0,0.0,0.02,-0.0,0.0,0.19
2.550,0.0,0.0,0.02,-0.0,0.0,0.19
2.551,0.0,0.0,0.02,-0.0,0.0,0.19
2.552,0.0,0.0,0.02,-0.0,0.0,0.19
2.553,0.0,0.0,0.02,-0.0,0.0,0.19
2.554,0.0,0.0,0.02,-0.0,0.0,0.19
2.555,0.0,0.0,0.02,-0.0,0.0,0.19
2.556,0.0,0.0,0.03,-0.0,0.0,0.19
2.557,0.0,0.0,0.03,-0.0,0.0,0.19
2.558,0.0,0.0,0.03,-0.0,0.0,0.19
2.559,0.0,0.0,0.03,-0.0,0.0,0.19
2.560,0.0,0.0,0.03,-0.0,0.0,0.19
2.561,0.0,0.0,0.03,-0.0,0.0,0.2
2.561,0.0,0.0,0.03,-0.0,0.0,0.2
2.563,0.0,0.0,0.03,-0.0,0.0,0.2
2.564,0.0,0.0,0.03,-0.0,0.0,0.2
2.565,0.0,0.0,0.03,-0.0,0.0,0.2
2.566,0.0,0.0,0.03,-0.0,0.0,0.2
2.568,0.0,0.0,0.03,-0.0,0.0,0.2
2.569,0.0,0.0,0.03,-0.0,0.0,0.2
2.570,0.0,0.0,0.03,-0.0,0.0,0.2
2.571,0.0,0.0,0.03,-0.0,0.0,0.2
2.572,0.0,0.0,0.03,-0.0,0.0,0.2
2.573,0.0,0.0,0.03,-0.0,0.0,0.2
2.574,0.0,0.0,0.03,-0.0,0.0,0.2
2.574,0.0,0.0,0.03,-0.0,0.0,0.2
2.576,0.0,0.0,0.03,-0.0,0.0,0.21
2.576,0.0,0.0,0.03,-0.0,0.0,0.21
2.576,0.0,0.0,0.03,-0.0,0.0,0.21
