t,x,y,z
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
0.000,0.0,0.0,0.0
2.344,0.0,0.0,0.0
2.382,0.0,0.0,0.0
2.415,0.0,0.0,0.0
2.439,0.0,0.0,0.0
2.469,0.0,0.0,0.0
2.500,0.0,0.0,0.0
2.517,0.0,0.0,0.0
2.543,0.0,0.0,0.0
2.576,0.0,0.0,0.0
2.607,0.0,0.0,0.0
2.651,0.0,0.0,0.0
2.681,0.0,0.0,0.0
2.712,0.0,0.0,0.0
2.748,0.0,0.0,0.0
2.784,0.0,0.0,0.0
2.824,0.0,0.0,0.0
2.861,0.0,0.0,0.0
