t,x,y,z,vx,vy,vz
0.051,10.0,-0.0,0.09,0.0,-0.0,0.0
0.061,10.0,-0.0,0.08,0.0,-0.0,0.0
0.070,10.0,-0.0,0.08,0.0,-0.0,0.0
0.081,10.0,-0.0,0.07,0.0,-0.0,0.0
0.091,10.0,-0.0,0.06,0.0,-0.0,0.0
0.094,10.0,-0.0,0.05,0.0,-0.0,0.0
0.109,10.0,-0.0,0.04,0.0,-0.0,0.0
0.121,10.0,-0.0,0.03,-0.0,-0.0,0.0
0.131,10.0,-0.0,0.02,-0.0,-0.0,0.0
0.141,10.0,-0.0,0.0,-0.0,-0.0,0.0
0.151,10.0,-0.0,-0.0,-0.0,0.0,0.0
0.161,10.0,-0.0,-0.0,-0.0,0.0,0.0
0.171,10.0,-0.0,-0.0,-0.0,0.0,0.0
0.181,10.0,-0.0,-0.0,-0.0,0.0,0.0
0.191,10.0,-0.0,0.0,-0.0,0.0,0.0
0.201,10.0,-0.0,0.0,-0.0,0.0,0.0
0.210,10.0,-0.0,0.0,-0.0,0.0,0.0
0.221,10.0,-0.0,0.0,-0.0,0.0,0.0
0.230,10.0,-0.0,0.0,-0.0,0.0,0.0
0.242,10.0,-0.0,0.0,-0.0,0.0,0.0
0.252,10.0,-0.0,0.0,-0.0,0.0,0.0
0.262,10.0,-0.0,0.0,0.0,-0.0,0.0
0.266,10.0,-0.0,0.0,0.0,-0.0,0.0
0.282,10.0,-0.0,0.0,0.0,-0.0,0.0
0.292,10.0,-0.0,0.0,0.0,-0.0,0.0
0.302,10.0,-0.0,0.0,0.0,-0.0,0.0
0.312,10.0,-0.0,-0.0,0.0,-0.0,0.0
0.322,10.0,-0.0,-0.0,0.0,-0.0,0.0
0.332,10.0,-0.0,-0.0,0.0,-0.0,0.0
0.341,10.0,-0.0,-0.0,0.0,-0.0,0.0
0.352,10.0,-0.0,-0.0,0.0,-0.0,0.0
0.361,10.0,-0.0,0.0,0.12,-0.01,0.0
0.372,10.0,-0.0,0.0,0.15,-0.01,0.0
0.381,10.0,-0.0,0.0,0.15,0.0,0.0
0.391,10.01,-0.0,-0.0,0.07,-0.0,0.0
0.401,10.01,-0.0,-0.0,0.02,-0.0,0.0
0.411,10.01,-0.0,-0.0,-0.0,-0.0,0.0
