t,x,y,z,vx,vy,vz
0.000,0.0,0.0,0.0,0.0,0.0,0.0
2.649,0.0,0.0,0.0,0.0,-0.0,0.01
2.652,0.0,0.0,0.0,0.0,-0.0,0.01
2.653,0.0,0.0,0.0,0.0,-0.0,0.02
2.654,0.0,0.0,0.0,0.0,-0.0,0.02
2.656,0.0,0.0,0.0,0.0,-0.0,0.02
2.657,0.0,0.0,0.0,0.0,-0.0,0.02
2.658,0.0,0.0,0.0,0.0,-0.0,0.02
2.659,0.0,0.0,0.0,0.0,-0.0,0.03
2.659,0.0,0.0,0.0,0.0,-0.0,0.03
2.661,0.0,0.0,0.0,0.0,-0.0,0.03
2.662,0.0,0.0,0.0,0.0,-0.0,0.03
2.663,0.0,0.0,0.0,0.0,-0.0,0.04
2.663,0.0,0.0,0.0,0.0,-0.0,0.04
2.664,0.0,0.0,0.0,0.0,-0.0,0.04
2.665,0.0,0.0,0.0,0.0,-0.0,0.04
2.667,0.0,0.0,0.0,0.0,-0.0,0.04
2.668,0.0,0.0,0.0,0.0,-0.0,0.05
2.669,0.0,0.0,0.0,0.0,-0.0,0.05
2.669,0.0,0.0,0.0,0.0,-0.0,0.05
2.670,0.0,0.0,0.0,0.0,-0.0,0.05
2.671,0.0,0.0,0.0,0.0,-0.0,0.06
2.672,0.0,0.0,0.0,0.0,-0.0,0.06
2.673,0.0,0.0,0.0,0.0,-0.0,0.06
2.674,0.0,0.0,0.0,0.0,0.0,0.06
2.675,0.0,0.0,0.0,0.0,0.0,0.06
2.676,0.0,0.0,0.0,0.0,0.0,0.07
2.677,0.0,0.0,0.0,0.0,0.0,0.07
2.678,0.0,0.0,0.0,0.0,0.0,0.07
2.679,0.0,0.0,0.0,0.0,0.0,0.07
2.681,0.0,0.0,0.0,0.0,0.0,0.08
2.681,0.0,0.0,0.0,-0.0,0.0,0.08
2.682,0.0,0.0,0.0,-0.0,0.0,0.08
2.683,0.0,0.0,0.0,-0.0,0.0,0.08
2.684,0.0,0.0,0.0,-0.0,0.0,0.08
2.685,0.0,0.0,0.0,-0.0,0.0,0.09
2.686,0.0,0.0,0.0,-0.0,0.0,0.09
2.687,0.0,0.0,0.0,-0.0,0.0,0.09
2.688,0.0,0.0,0.0,-0.0,0.0,0.09
2.690,0.0,0.0,0.0,-0.0,0.0,0.1
2.690,0.0,0.0,0.0,-0.0,0.0,0.1
2.692,0.0,0.0,0.0,-0.0,0.0,0.1
2.692,0.0,0.0,0.0,-0.0,0.0,0.1
2.693,0.0,0.0,0.0,-0.0,0.0,0.11
2.694,0.0,0.0,0.0,-0.0,0.0,0.11
2.695,0.0,0.0,0.0,-0.0,0.0,0.11
2.696,0.0,0.0,0.0,-0.0,0.0,0.11
2.697,0.0,0.0,0.0,-0.0,0.0,0.11
2.698,0.0,0.0,0.0,-0.0,0.0,0.12
2.699,0.0,0.0,0.0,-0.0,0.0,0.12
2.700,0.0,0.0,0.0,0.0,0.0,0.12
2.701,0.0,0.0,0.0,0.0,0.0,0.12
2.703,0.0,0.0,0.0,0.0,0.0,0.12
2.703,0.0,0.0,0.0,0.0,0.0,0.13
2.706,0.0,0.0,0.0,0.0,0.0,0.13
2.706,0.0,0.0,0.0,0.0,0.0,0.13
2.706,0.0,0.0,0.0,0.0,0.0,0.14
2.708,0.0,0.0,0.0,0.0,0.0,0.14
2.709,0.0,0.0,0.0,0.0,0.0,0.14
2.710,0.0,0.0,0.0,0.0,0.0,0.14
2.712,0.0,0.0,0.0,0.0,0.0,0.14
2.712,0.0,0.0,0.0,0.0,0.0,0.15
2.713,0.0,0.0,0.01,0.0,0.0,0.15
2.714,0.0,0.0,0.01,0.0,0.0,0.15
2.715,0.0,0.0,0.01,0.0,0.0,0.15
2.717,0.0,0.0,0.01,0.0,0.0,0.16
2.717,0.0,0.0,0.01,0.0,0.0,0.16
2.718,0.0,0.0,0.01,0.0,0.0,0.16
2.719,0.0,0.0,0.01,0.0,0.0,0.16
2.720,0.0,0.0,0.01,0.0,0.0,0.16
2.722,0.0,0.0,0.01,0.0,0.0,0.17
2.723,0.0,0.0,0.01,0.0,0.0,0.17
2.723,0.0,0.0,0.01,0.0,0.0,0.17
2.724,0.0,0.0,0.01,0.0,0.0,0.17
2.725,0.0,0.0,0.01,0.0,0.0,0.18
2.726,0.0,0.0,0.01,0.0,0.0,0.18
2.727,0.0,0.0,0.01,-0.0,0.0,0.18
2.728,0.0,0.0,0.01,-0.0,0.0,0.18
2.729,0.0,0.0,0.01,-0.0,0.0,0.18
2.730,0.0,0.0,0.01,-0.0,0.0,0.19
2.731,0.0,0.0,0.01,-0.0,0.0,0.19
2.732,0.0,0.0,0.01,-0.0,0.0,0.19
2.733,0.0,0.0,0.01,-0.0,0.0,0.19
2.734,0.0,0.0,0.01,-0.0,0.0,0.2
2.735,0.0,0.0,0.01,-0.0,0.0,0.2
2.737,0.0,0.0,0.01,-0.0,0.0,0.2
2.737,0.0,0.0,0.01,-0.0,0.0,0.2
2.738,0.0,0.0,0.01,-0.0,0.0,0.2
2.740,0.0,0.0,0.01,-0.0,0.0,0.21
2.740,0.0,0.0,0.01,-0.0,0.0,0.21
2.741,0.0,0.0,0.01,-0.0,0.0,0.21
2.743,0.0,0.0,0.01,-0.0,0.0,0.21
2.743,0.0,0.0,0.01,-0.0,0.0,0.21
2.744,0.0,0.0,0.01,-0.0,0.0,0.22
2.745,0.0,0.0,0.01,-0.0,0.0,0.22
2.746,0.0,0.0,0.01,-0.0,0.0,0.22
2.747,0.0,0.0,0.01,-0.0,0.0,0.22
2.748,0.0,0.0,0.01,-0.0,0.0,0.23
2.750,0.0,0.0,0.01,-0.0,0.0,0.23
2.750,0.0,0.0,0.01,-0.0,0.0,0.23
2.751,0.0,0.0,0.01,-0.0,0.0,0.23
2.752,0.0,0.0,0.01,-0.0,0.0,0.23
2.753,0.0,0.0,0.01,-0.0,0.0,0.24
2.754,0.0,0.0,0.01,-0.0,0.0,0.24
2.755,0.0,0.0,0.01,-0.0,0.0,0.24
2.756,0.0,0.0,0.01,-0.0,0.0,0.24
2.757,0.0,0.0,0.01,-0.0,0.0,0.24
2.758,0.0,0.0,0.01,-0.0,0.0,0.25
2.759,0.0,0.0,0.01,-0.0,0.0,0.25
2.760,0.0,0.0,0.01,-0.0,0.0,0.25
2.762,0.0,0.0,0.01,-0.0,0.0,0.25
2.763,0.0,0.0,0.02,-0.0,0.0,0.25
2.763,0.0,0.0,0.02,-0.0,0.0,0.26
2.764,0.0,0.0,0.02,-0.0,0.0,0.26
2.765,0.0,0.0,0.02,-0.0,0.0,0.26
2.766,0.0,0.0,0.02,-0.0,0.0,0.26
2.768,0.0,0.0,0.02,-0.0,0.0,0.27
2.769,0.0,0.0,0.02,-0.0,0.0,0.27
2.770,0.0,0.0,0.02,-0.0,0.0,0.27
2.772,0.0,0.0,0.02,-0.0,0.0,0.27
2.772,0.0,0.0,0.02,-0.0,0.0,0.28
2.773,0.0,0.0,0.02,-0.0,0.0,0.28
2.774,0.0,0.0,0.02,-0.0,0.0,0.28
2.775,0.0,0.0,0.02,-0.0,0.0,0.28
2.777,0.0,0.0,0.02,-0.0,0.0,0.28
2.777,0.0,0.0,0.02,-0.0,0.0,0.29
2.779,0.0,0.0,0.02,-0.0,0.0,0.29
2.779,0.0,0.0,0.02,-0.0,0.0,0.29
2.780,0.0,0.0,0.02,-0.0,0.0,0.29
2.781,0.0,0.0,0.02,-0.0,0.0,0.29
