t,x,y,z
3.565,0.0,0.0,0.0
3.598,0.0,0.0,0.0
3.624,0.0,0.0,0.0
3.653,0.0,0.0,0.0
3.684,0.0,0.0,0.0
3.729,0.0,0.0,0.0
3.759,0.0,0.0,0.0
3.789,0.0,0.0,0.0
3.822,0.0,0.0,0.0
3.853,0.0,0.0,0.0
3.876,0.0,0.0,0.0
3.906,0.0,0.0,0.0
3.937,0.0,0.0,0.0
3.962,0.0,0.0,0.0
3.995,0.0,0.0,0.0
4.041,0.0,0.0,0.0
4.075,0.0,0.0,0.0
4.114,0.0,0.0,0.0
4.155,0.0,0.0,0.0
4.189,0.0,0.0,0.0
4.222,0.0,0.0,0.0
4.241,0.0,0.0,0.0
4.288,0.0,0.0,0.0
4.322,0.0,0.0,0.0
4.352,0.0,0.0,0.0
4.393,0.0,0.0,0.0
4.426,0.0,0.0,0.0
4.466,0.0,0.0,0.0
4.504,0.0,0.0,0.0
4.544,0.0,0.0,0.0
4.589,0.0,0.0,0.0
4.633,0.0,0.0,0.0
4.671,0.0,0.0,0.0
4.694,0.0,0.0,0.0
4.725,0.0,0.0,0.0
4.762,0.0,0.0,0.0
4.805,0.0,0.0,0.0
4.840,0.0,0.0,0.0
4.876,0.0,0.0,0.0
4.917,0.0,0.0,0.0
4.961,0.0,0.0,0.0
5.001,0.0,0.0,0.0
5.049,0.0,0.0,0.0
5.079,0.0,0.0,0.0
5.123,0.0,0.0,0.0
5.161,0.0,0.0,0.0
5.199,0.0,0.0,0.0
5.243,0.0,0.0,0.0
5.284,0.0,0.0,0.0
5.327,0.0,0.0,0.0
5.357,0.0,0.0,0.0
5.381,0.0,0.0,0.0
5.446,0.0,0.0,0.0
5.486,0.0,0.0,0.0
5.521,0.0,0.0,0.0
5.558,0.0,0.0,0.0
5.608,0.0,0.0,0.0
5.657,0.0,0.0,0.0
5.682,0.0,0.0,0.0
5.714,0.0,0.0,0.0
5.751,0.0,0.0,0.0
5.792,0.0,0.0,0.0
5.821,0.0,0.0,0.0
5.856,0.0,0.0,0.0
5.895,0.0,0.0,0.0
5.933,0.0,0.0,0.0
5.972,0.0,0.0,0.0
6.003,0.0,0.0,0.0
6.029,0.0,0.0,0.0
6.069,0.0,0.0,0.0
6.111,0.0,0.0,0.0
6.154,0.0,0.0,0.0
6.199,0.0,0.0,0.0
6.239,0.0,0.0,0.0
6.285,0.0,0.0,0.0
6.328,0.0,0.0,0.0
6.367,0.0,0.0,0.0
6.410,0.0,0.0,0.0
6.453,0.0,0.0,0.0
6.489,0.0,0.0,0.0
6.528,0.0,0.0,0.0
6.569,0.0,0.0,0.0
6.602,0.0,0.0,0.0
6.638,0.0,0.0,0.0
6.677,0.0,0.0,0.0
6.720,0.0,0.0,0.0
6.764,0.0,0.0,0.0
6.794,0.0,0.0,0.0
6.831,0.0,0.0,0.0
6.876,0.0,0.0,0.0
6.922,0.0,0.0,0.0
6.963,0.0,0.0,0.0
7.006,0.0,0.0,0.0
7.041,0.0,0.0,0.0
7.077,0.0,0.0,0.0
7.107,0.0,0.0,0.0
7.145,0.0,0.0,0.0
7.183,0.0,0.0,0.0
7.225,0.0,0.0,0.0
7.258,0.0,0.0,0.0
7.299,0.0,0.0,0.0
7.337,0.0,0.0,0.0
7.371,0.0,0.0,0.0
7.413,0.0,0.0,0.0
7.455,0.0,0.0,0.0
7.492,0.0,0.0,0.0
7.534,0.0,0.0,0.0
7.562,0.0,0.0,0.0
7.611,0.0,0.0,0.0
7.647,0.0,0.0,0.0
7.682,0.0,0.0,0.0
7.714,0.0,0.0,0.0
7.750,0.0,0.0,0.0
7.786,0.0,0.0,0.0
7.824,0.0,0.0,0.0
7.850,0.0,0.0,0.0
7.886,0.0,0.0,0.0
7.925,0.0,0.0,0.0
7.966,0.0,0.0,0.0
8.002,0.0,0.0,0.0
8.033,0.0,0.0,0.0
8.063,0.0,0.0,0.0
8.099,0.0,0.0,0.0
8.132,0.0,0.0,0.0
8.170,0.0,0.0,0.0
8.203,0.0,0.0,0.0
8.241,0.0,0.0,0.0
8.280,0.0,0.0,0.0
8.321,0.0,0.0,0.0
8.360,0.0,0.0,0.0
8.398,0.0,0.0,0.0
8.439,0.0,0.0,0.0
8.482,0.0,0.0,0.0
8.517,0.0,0.0,0.0
8.547,0.0,0.0,0.0
8.588,0.0,0.0,0.0
8.620,0.0,0.0,0.0
8.664,0.0,0.0,0.0
8.691,0.0,0.0,0.0
8.727,0.0,0.0,0.0
8.764,0.0,0.0,0.0
8.801,0.0,0.0,0.0
8.832,0.0,0.0,0.0
8.866,0.0,0.0,0.0
8.912,0.0,0.0,0.0
8.952,0.0,0.0,0.0
8.987,0.0,0.0,0.0
9.014,0.0,0.0,0.0
9.060,0.0,0.0,0.0
9.101,0.0,0.0,0.0
9.143,0.0,0.0,0.0
9.172,0.0,0.0,0.0
9.213,0.0,0.0,0.0
9.254,0.0,0.0,0.0
9.297,0.0,0.0,0.0
9.335,0.0,0.0,0.0
9.364,0.0,0.0,0.0
9.401,0.0,0.0,0.0
9.439,0.0,0.0,0.0
9.471,0.0,0.0,0.0
9.500,0.0,0.0,0.0
9.531,0.0,0.0,0.0
9.563,0.0,0.0,0.0
9.609,0.0,0.0,0.0
9.649,0.0,0.0,0.0
9.683,0.0,0.0,0.0
9.721,0.0,0.0,0.0
9.759,0.0,0.0,0.0
9.797,0.0,0.0,0.0
9.833,0.0,0.0,0.0
9.870,0.0,0.0,0.0
9.903,0.0,0.0,0.0
9.939,0.0,0.0,0.0
9.962,0.0,0.0,0.0
9.982,0.0,0.0,0.0
10.011,0.0,0.0,0.0
10.042,0.0,0.0,0.0
10.071,0.0,0.0,0.0
10.107,0.0,0.0,0.0
10.147,0.0,0.0,0.0
10.170,0.0,0.0,0.0
10.207,0.0,0.0,0.0
10.239,0.0,0.0,0.0
10.260,0.0,0.0,0.0
10.291,0.0,0.0,0.0
10.326,0.0,0.0,0.0
10.364,0.0,0.0,0.0
10.388,0.0,0.0,0.0
10.426,0.0,0.0,0.0
10.462,0.0,0.0,0.0
10.491,0.0,0.0,0.0
10.515,0.0,0.0,0.0
10.541,0.0,0.0,0.0
10.569,0.0,0.0,0.0
10.597,0.0,0.0,0.0
10.621,0.0,0.0,0.0
10.653,0.0,0.0,0.0
10.691,0.0,0.0,0.0
10.723,0.0,0.0,0.0
10.750,0.0,0.0,0.0
10.785,0.0,0.0,0.0
10.823,0.0,0.0,0.0
10.857,0.0,0.0,0.0
10.892,0.0,0.0,0.0
10.929,0.0,0.0,0.0
10.973,0.0,0.0,0.0
11.011,0.0,0.0,0.0
11.052,0.0,0.0,0.0
11.098,0.0,0.0,0.0
11.137,0.0,0.0,0.0
11.166,0.0,0.0,0.0
11.197,0.0,0.0,0.0
11.231,0.0,0.0,0.0
11.273,0.0,0.0,0.0
11.306,0.0,-3.94,0.0
11.337,0.09,-265.18,0.0
11.380,0.49,-300.0,0.0
11.413,1.07,-300.0,0.0
11.451,1.96,-300.0,0.0
11.481,2.83,-300.0,0.0
11.518,4.09,-300.0,0.0
11.543,5.04,-300.0,0.0
11.576,6.41,-300.0,0.0
11.616,8.18,-300.0,0.0
11.645,9.5,-300.0,0.0
11.689,11.5,-300.0,0.0
11.710,12.42,-300.0,0.0
11.761,14.53,-300.0,0.0
11.801,15.64,-300.0,0.0
11.843,16.41,-300.0,0.0
11.882,17.29,300.0,0.0
11.914,16.22,300.0,0.0
11.953,14.91,300.0,0.0
11.995,12.66,206.07,0.0
12.040,9.72,118.21,0.0
12.082,7.56,78.08,0.0
12.102,7.5,67.37,0.0
12.139,10.11,54.81,0.0
12.176,15.98,46.09,0.0
12.213,22.39,37.14,0.0
12.255,26.89,26.6,0.0
12.286,27.84,19.62,0.0
12.331,26.45,11.45,0.0
12.367,23.98,7.02,0.0
12.394,21.59,4.5,0.0
12.434,17.65,1.93,0.0
12.458,15.2,0.93,0.0
12.498,11.15,-0.06,0.0
12.527,8.47,-0.38,0.0
12.552,6.26,-0.47,0.0
12.585,3.63,-0.41,0.0
12.614,1.85,-0.26,0.0
12.656,0.26,-0.04,0.0
12.691,0.0,0.0,0.0
12.731,0.0,0.0,0.0
12.770,0.0,0.0,0.0
12.798,0.0,0.0,0.0
12.836,0.0,0.0,0.0
