t,x,y,z
2.327,-0.0,-0.0,40.0
2.350,-0.0,0.0,39.83
2.382,-0.0,0.0,38.63
2.406,-0.0,-0.0,37.29
2.430,-0.0,-0.0,36.77
2.461,0.0,-0.01,34.29
2.483,0.0,-0.01,34.96
2.510,0.0,-0.01,32.8
2.544,0.0,-0.02,29.37
2.570,0.0,-0.02,30.25
2.596,0.0,-0.03,30.01
2.617,0.0,-0.03,30.8
2.632,0.0,-0.02,32.83
2.652,0.0,-0.03,30.1
2.670,0.0,-0.03,30.45
2.690,0.0,-0.04,28.89
2.712,0.0,-0.05,27.71
2.733,0.0,-0.05,26.46
2.758,0.0,-0.07,23.93
2.784,0.0,-0.08,22.43
2.804,0.0,-0.07,25.53
2.823,0.0,-0.07,25.66
2.842,0.0,-0.08,25.12
2.868,0.0,-0.11,19.5
2.909,0.0,-0.18,7.16
2.949,0.0,-0.19,6.36
2.991,0.0,-0.22,4.58
3.024,0.0,-0.21,9.39
3.053,0.0,-0.2,12.85
3.075,0.0,-0.17,18.07
3.090,0.0,-0.13,24.41
3.123,0.0,-0.26,6.57
3.159,0.01,-0.29,3.49
3.184,0.0,-0.29,5.46
3.227,0.01,-0.32,3.0
3.257,0.01,-0.29,6.98
3.288,0.01,-0.31,5.49
3.311,0.0,-0.25,13.45
3.342,0.01,-0.34,3.34
3.377,0.01,-0.38,-0.46
3.416,0.01,-0.43,-5.03
3.454,0.01,-0.44,-4.5
3.492,0.01,-0.45,-4.77
3.513,0.01,-0.31,11.69
3.575,0.01,-0.69,-29.05
3.614,0.01,-0.49,-7.17
3.656,0.01,-0.53,-9.46
3.693,0.01,-0.49,-4.72
3.731,0.01,-0.5,-5.78
3.769,0.01,-0.49,-5.07
3.810,0.01,-0.54,-10.01
3.848,0.01,-0.5,-6.38
3.891,0.01,-0.54,-11.06
3.936,0.01,-0.55,-12.9
3.974,0.01,-0.5,-7.2
4.000,0.01,-0.4,5.42
4.024,0.01,-0.39,6.05
4.058,0.01,-0.45,-3.49
4.093,0.01,-0.45,-4.94
4.135,0.01,-0.48,-11.64
4.175,0.01,-0.45,-10.11
4.209,0.01,-0.41,-4.74
4.237,0.01,-0.37,2.44
4.274,0.01,-0.41,-9.23
4.315,0.01,-0.4,-11.48
4.357,0.01,-0.38,-11.79
4.399,0.01,-0.36,-13.4
4.437,0.01,-0.33,-9.7
4.478,0.01,-0.32,-10.29
4.501,0.01,-0.29,4.09
4.540,0.01,-0.28,-9.2
4.569,0.0,-0.27,-1.18
4.594,0.0,-0.26,1.09
4.641,0.0,-0.22,-15.66
4.684,0.0,-0.2,-13.8
4.719,0.0,-0.2,-7.24
4.744,0.0,-0.2,0.28
4.766,0.0,-0.21,4.28
4.788,0.0,-0.2,2.5
4.818,0.0,-0.17,-2.7
4.834,0.0,-0.21,7.53
4.865,0.0,-0.14,-5.75
4.911,0.0,-0.07,-17.15
4.955,0.0,-0.06,-16.84
4.995,0.0,-0.06,-13.2
5.033,0.0,-0.05,-11.07
5.066,0.0,-0.06,-7.62
5.105,0.0,-0.03,-10.52
5.135,0.0,-0.06,-4.43
5.173,0.0,-0.01,-10.41
5.215,-0.0,0.03,-13.47
5.247,0.0,-0.02,-6.09
5.280,0.0,-0.01,-6.67
5.323,-0.0,0.06,-13.83
5.365,-0.0,0.06,-13.17
5.392,0.0,-0.03,-2.51
5.431,-0.0,0.05,-10.59
5.480,-0.0,0.11,-17.46
5.501,0.0,-0.05,1.43
5.521,0.0,-0.06,2.15
5.539,0.0,-0.07,3.41
5.560,0.0,-0.05,1.22
5.589,0.0,-0.0,-4.44
5.625,-0.0,0.03,-9.57
5.661,-0.0,0.03,-9.82
5.692,-0.0,0.01,-6.46
5.723,-0.0,0.01,-6.41
5.762,-0.0,0.04,-11.72
5.800,-0.0,0.03,-11.1
5.842,-0.0,0.04,-12.85
5.883,-0.0,0.05,-13.8
5.917,-0.0,0.0,-7.32
5.951,-0.0,0.0,-7.66
5.991,-0.0,0.02,-11.65
6.037,-0.0,0.02,-13.89
6.080,0.0,-0.0,-10.18
6.113,0.0,-0.01,-9.25
6.149,0.0,-0.03,-7.36
6.189,0.0,-0.02,-9.88
6.226,0.0,-0.04,-8.2
6.266,0.0,-0.04,-9.6
6.302,0.0,-0.05,-7.43
6.335,0.0,-0.06,-5.81
6.371,0.0,-0.06,-7.23
6.415,0.0,-0.06,-11.13
6.451,0.0,-0.07,-300.0
6.481,300.0,-300.0,-43.47
6.516,45.15,-15.22,-35.41
6.549,45.94,-15.99,-31.37
6.578,45.74,-15.36,-31.16
6.603,44.47,-13.93,-29.9
6.645,45.4,-14.71,-28.5
6.680,44.54,-13.89,-27.2
6.720,45.43,-14.68,-25.22
6.747,44.58,-14.16,-25.91
6.795,46.2,-15.5,-21.17
6.834,45.33,-14.85,-20.85
6.871,44.35,-14.18,-20.33
6.900,44.34,-14.41,-21.63
6.935,44.88,-15.28,-19.06
6.971,43.84,-14.5,-17.71
7.005,44.46,-15.48,-17.46
7.044,43.89,-15.45,-14.29
7.086,43.62,-15.65,-14.42
7.125,42.76,-15.66,-11.4
7.159,42.04,-15.0,-13.94
7.188,42.04,-15.09,-15.13
7.219,41.98,-15.98,-12.62
7.259,40.16,-15.11,-10.3
7.294,40.62,-16.1,-10.45
7.324,40.0,-15.3,-12.39
7.345,40.32,-14.59,-16.72
7.380,38.04,-15.26,-8.56
7.418,37.69,-16.06,-6.37
7.448,37.37,-15.32,-9.1
7.482,36.74,-16.09,-6.73
7.516,35.0,-15.21,-6.0
7.552,34.37,-15.93,-4.04
7.585,33.45,-15.11,-5.27
7.621,31.46,-14.87,-2.69
7.656,31.54,-15.66,-2.66
7.682,32.37,-14.22,-8.22
7.707,32.99,-15.04,-8.53
7.746,27.05,-15.06,1.89
7.782,27.1,-15.04,0.71
7.819,24.44,-13.87,2.04
7.858,22.87,-14.33,4.04
7.897,21.36,-13.99,4.55
7.937,19.24,-13.58,5.69
7.972,20.73,-13.71,2.28
7.998,23.38,-12.69,-4.21
8.033,19.19,-13.27,2.05
8.062,19.64,-11.88,-1.22
8.086,22.3,-13.01,-3.94
8.114,19.48,-12.42,-1.34
8.161,5.94,-10.15,13.84
8.182,22.19,-12.16,-6.64
8.205,19.48,-12.21,-3.45
8.239,11.37,-10.31,4.65
8.275,9.59,-10.42,6.7
8.312,7.4,-9.77,7.73
8.366,-7.02,-6.61,20.88
8.393,12.58,-10.09,-0.81
8.429,2.24,-7.3,7.05
8.461,5.58,-7.99,3.29
8.492,5.44,-8.47,3.27
8.538,-6.03,-5.01,11.83
8.579,-5.62,-4.87,10.23
8.619,-5.22,-4.75,8.3
8.656,-1.71,-5.62,4.46
8.688,-2.48,-4.62,3.51
8.710,6.96,-6.94,-4.28
8.742,-0.85,-5.4,2.11
8.769,1.42,-4.88,-0.91
8.801,-2.89,-3.87,2.26
8.830,-0.72,-4.46,0.45
8.857,-0.36,-4.5,-0.16
8.883,1.91,-5.21,-1.95
8.918,-12.88,0.34,7.92
8.950,-0.01,-4.26,-1.06
8.964,9.38,-7.27,-8.25
8.981,5.65,-5.29,-6.32
9.003,3.61,-5.5,-3.69
9.033,-5.47,-1.92,2.65
9.071,-5.89,-1.62,2.8
9.100,-11.48,0.8,6.41
9.134,-7.6,-1.19,3.96
9.173,-13.03,1.17,7.36
9.196,-0.87,-2.82,-2.67
9.232,-11.82,0.91,5.82
9.253,-0.73,-2.78,-3.29
9.288,-11.45,1.42,4.55
9.322,-9.96,0.4,4.05
9.350,-7.11,0.17,0.88
9.384,-10.25,0.68,4.1
9.418,-11.18,1.63,4.15
9.456,-13.38,2.21,6.34
9.493,-12.69,1.97,5.74
9.529,-12.89,2.58,5.11
9.579,-20.91,5.4,12.07
9.613,-10.68,1.12,3.83
9.651,-13.41,2.38,5.49
9.693,-15.9,3.51,7.13
9.738,-16.86,3.95,8.01
9.790,-21.32,5.53,11.75
9.828,-13.05,1.98,4.58
9.864,-12.43,1.62,3.73
9.885,-3.91,-1.53,-4.03
9.915,-10.34,0.97,1.34
9.935,-4.07,-1.53,-3.9
9.988,-19.64,4.16,10.34
10.023,-10.91,0.44,3.12
10.041,-4.84,-0.94,-3.83
10.080,-12.01,0.27,4.61
10.126,-15.49,2.09,7.2
10.161,-11.97,0.89,3.67
10.197,-11.26,-0.1,3.37
10.227,-9.42,-0.51,0.86
10.265,-12.17,-0.02,3.77
10.303,-12.64,-0.06,4.03
10.332,-8.79,-1.2,-0.06
10.373,-13.71,-0.03,4.38
10.410,-12.93,0.06,2.82
10.442,-10.13,-1.72,1.05
10.482,-14.07,-0.42,3.9
10.518,-12.69,-0.58,1.76
10.547,-10.43,-1.46,-0.34
10.579,-11.89,-1.1,0.47
10.613,-12.03,-1.73,1.01
10.646,-12.74,-1.07,0.66
10.682,-13.8,-1.41,1.75
10.717,-13.75,-0.97,0.78
10.751,-14.07,-0.95,0.68
10.781,-12.74,-1.48,-0.53
10.817,-14.69,-1.52,1.03
10.853,-15.03,-1.5,0.96
10.885,-14.58,-1.14,-0.15
10.916,-14.49,-1.19,-0.49
10.945,-14.41,-1.28,-0.79
10.986,-18.59,-0.6,1.9
11.013,-16.03,-0.84,-0.34
11.048,-15.09,-1.15,-1.12
11.086,-18.49,-0.66,0.94
11.127,-20.24,-0.16,1.59
11.155,-15.76,-0.95,-1.44
11.191,-19.73,0.3,0.27
11.226,-19.23,-0.44,0.2
11.259,-18.2,-0.15,-0.92
11.295,-20.42,0.03,0.29
11.319,-16.6,-0.09,-2.47
11.352,-19.65,0.41,-0.85
11.387,-20.91,0.37,-0.07
