t,x,y,z,vx,vy,vz
0.032,3.0,0.0,0.1,0.0,0.0,0.0
0.041,3.0,0.0,0.09,0.0,0.0,0.0
0.052,3.0,0.0,0.09,0.0,-0.0,0.0
0.061,3.0,0.0,0.08,0.0,-0.0,0.0
0.072,3.0,-0.0,0.08,0.0,-0.0,0.0
0.082,3.0,-0.0,0.07,0.0,-0.0,0.0
0.091,3.0,-0.0,0.06,0.0,-0.0,0.0
0.102,3.0,-0.0,0.05,0.0,-0.0,0.0
0.111,3.0,-0.0,0.04,0.0,-0.0,0.0
0.121,3.0,-0.0,0.03,-0.0,0.0,0.0
0.131,3.0,0.0,0.02,0.0,0.0,0.0
0.142,3.0,0.0,0.0,0.01,0.0,0.0
0.152,3.0,-0.0,-0.0,0.17,-0.0,0.0
0.161,3.0,-0.0,-0.0,0.2,-0.0,0.0
0.170,3.01,-0.0,-0.0,0.21,-0.0,0.0
0.174,3.01,-0.0,0.0,0.21,-0.0,0.0
0.174,3.01,-0.0,0.0,0.21,-0.0,0.0
0.211,3.01,-0.0,0.0,0.21,-0.0,0.0
0.221,3.02,-0.0,0.0,0.21,-0.0,0.0
0.231,3.02,-0.0,0.0,0.21,-0.0,0.0
0.241,3.02,-0.0,0.0,0.21,-0.0,0.0
0.252,3.02,-0.0,0.0,0.22,-0.0,0.0
0.262,3.02,-0.0,0.0,0.22,-0.0,0.0
0.272,3.03,-0.0,0.0,0.22,-0.0,0.0
0.282,3.03,-0.0,0.0,0.22,-0.0,0.0
0.292,3.03,-0.0,0.0,0.22,-0.0,0.0
0.302,3.03,-0.0,0.0,0.22,-0.0,0.0
0.312,3.04,-0.0,0.0,0.22,-0.0,0.0
0.321,3.04,-0.0,0.0,0.23,-0.0,0.0
0.332,3.04,-0.0,0.0,0.23,-0.0,0.0
0.342,3.04,-0.0,0.0,0.23,-0.0,0.0
0.352,3.04,-0.0,0.0,0.23,-0.0,0.0
0.362,3.05,-0.0,0.0,0.23,-0.0,0.0
0.372,3.05,-0.0,0.0,0.23,-0.0,0.0
0.382,3.05,-0.0,0.0,0.23,-0.0,0.0
