t,rd,pd,yd,r,p,y
0.231,0.0,0.0,0.0,0.0,-0.0,0.0
0.244,0.0,0.0,0.0,0.0,-0.0,0.0
0.254,0.0,0.0,0.0,0.0,0.0,0.0
0.26,0.0,0.0,0.0,0.0,0.0,0.0
0.272,0.0,0.0,0.0,0.0,-0.0,0.0
0.281,0.0,0.0,0.0,0.0,0.0,0.0
0.295,0.0,0.0,0.0,0.0,0.0,0.0
0.308,0.0,0.0,0.0,0.0,-0.0,0.0
0.317,0.0,0.0,0.0,0.0,0.0,0.0
0.328,0.0,0.0,0.0,0.0,0.0,0.0
0.352,0.0,0.0,0.0,0.0,0.0,0.0
0.377,0.0,0.0,0.0,0.0,-0.0,0.0
0.39,0.0,0.0,0.0,0.0,0.0,0.0
0.406,0.0,0.0,0.0,0.0,-0.0,0.0
0.431,0.0,0.0,0.0,0.0,0.0,0.0
0.453,0.0,0.0,0.0,0.0,0.0,0.0
0.469,0.0,0.0,0.0,0.0,-0.0,0.0
0.484,0.0,0.0,0.0,0.0,-0.0,0.0
0.504,0.0,0.0,0.0,0.0,-0.0,0.0
0.513,0.0,0.0,0.0,0.0,-0.0,0.0
0.524,0.0,0.0,0.0,0.0,0.0,0.0
0.541,0.0,0.0,0.0,0.0,-0.0,0.0
0.553,0.0,0.0,0.0,0.0,0.0,0.0
0.568,0.0,0.0,0.0,0.0,0.0,0.0
0.577,0.0,0.0,0.0,0.0,-0.0,0.0
0.591,0.0,0.0,0.0,0.0,0.0,0.0
0.611,0.0,0.0,0.0,0.0,-0.0,0.0
0.638,0.0,0.0,0.0,0.0,-0.0,0.0
0.653,0.0,0.0,0.0,0.0,-0.0,0.0
0.669,0.0,0.0,0.0,0.0,0.0,0.0
0.688,0.0,0.0,0.0,0.0,-0.0,0.0
0.705,0.0,0.0,0.0,0.0,0.0,0.0
0.729,0.0,0.0,0.0,0.0,0.0,0.0
0.764,0.0,0.0,0.0,0.0,0.0,0.0
0.784,0.0,0.0,0.0,0.0,-0.0,0.0
0.81,0.0,0.0,0.0,0.0,-0.0,0.0
0.829,0.0,0.0,0.0,0.0,0.0,0.0
0.863,0.0,0.0,0.0,0.0,0.0,0.0
0.894,0.0,0.0,0.0,0.0,0.0,0.0
0.924,0.0,0.0,0.0,0.0,-0.0,0.0
0.951,0.0,0.0,0.0,0.0,-0.0,0.0
0.979,0.0,0.0,0.0,0.0,-0.0,0.0
1.004,0.0,0.0,0.0,0.0,0.0,0.0
1.033,0.0,0.0,0.0,0.0,0.0,0.0
1.064,0.0,0.0,0.0,0.0,0.0,0.0
1.094,0.0,0.0,0.0,0.0,-0.0,0.0
1.126,0.0,0.0,0.0,0.0,-0.0,0.0
1.152,0.0,0.0,0.0,0.0,-0.0,0.0
1.175,0.0,0.0,0.0,0.0,0.0,0.0
1.202,0.0,0.0,0.0,0.0,0.0,0.0
1.229,0.0,0.0,0.0,0.0,-0.0,0.0
1.263,0.0,0.0,0.0,0.0,-0.0,0.0
1.301,0.0,0.0,0.0,0.0,-0.0,0.0
1.337,0.0,0.0,0.0,0.0,0.0,0.0
1.366,0.0,0.0,0.0,0.0,-0.0,0.0
1.393,0.0,0.0,0.0,0.0,-0.0,0.0
1.422,0.0,0.0,0.0,0.0,-0.0,0.0
1.459,0.0,0.0,0.0,0.0,-0.0,0.0
1.472,0.0,0.0,0.0,0.0,0.0,0.0
1.512,0.0,0.0,0.0,0.0,0.0,0.0
1.545,0.0,0.0,0.0,0.0,0.0,0.0
1.572,0.0,0.0,0.0,0.0,-0.0,0.0
1.591,0.0,0.0,0.0,0.0,-0.0,0.0
1.604,0.0,0.0,0.0,0.0,-0.0,0.0
1.613,0.0,0.0,0.0,0.0,0.0,0.0
1.6320000000000001,0.0,0.0,0.0,0.0,-0.0,0.0
1.651,0.0,0.0,0.0,0.0,0.0,0.0
1.675,0.0,0.0,0.0,0.0,0.0,0.0
1.696,0.0,0.0,0.0,0.0,-0.0,0.0
1.714,0.0,0.0,0.0,0.0,0.0,0.0
1.725,0.0,0.0,0.0,0.0,0.0,0.0
1.7429999999999999,0.0,0.0,0.0,0.0,0.0,0.0
1.7610000000000001,0.0,0.0,0.0,0.0,-0.0,0.0
1.776,0.0,0.0,0.0,0.0,-0.0,0.0
1.7970000000000002,0.0,0.0,0.0,0.0,-0.0,0.0
1.814,0.0,0.0,0.0,0.0,0.0,0.0
1.8279999999999998,0.0,0.0,0.0,0.0,0.0,0.0
1.8519999999999999,0.0,0.0,0.0,0.0,0.0,0.0
1.874,0.0,0.0,0.0,0.0,-0.0,0.0
1.895,0.0,0.0,0.0,0.0,0.0,0.0
1.912,0.0,0.0,0.0,0.0,-0.0,0.0
1.927,0.0,0.0,0.0,0.0,0.0,0.0
1.9489999999999998,0.0,0.0,0.0,0.0,0.0,0.0
1.9689999999999999,0.0,0.0,0.0,0.0,-0.0,0.0
1.987,0.0,0.0,0.0,0.0,0.0,0.0
2.012,0.0,0.0,0.0,0.0,-0.0,0.0
2.029,0.0,0.0,0.0,0.0,0.0,0.0
2.044,0.0,0.0,0.0,0.0,-0.0,0.0
2.064,0.0,0.0,0.0,0.0,0.0,0.0
2.087,0.0,0.0,0.0,0.0,0.0,0.0
2.105,0.0,0.0,0.0,0.0,-0.0,0.0
2.126,0.0,0.0,0.0,0.0,0.0,0.0
2.145,0.0,0.0,0.0,0.0,-0.0,0.0
2.161,0.0,0.0,0.0,0.0,0.0,0.0
2.176,0.0,0.0,0.0,0.0,-0.0,0.0
2.197,0.0,0.0,0.0,0.0,0.0,0.0
2.218,0.0,0.0,0.0,0.0,-0.0,0.0
2.247,0.0,0.0,0.0,0.0,-0.0,0.0
2.282,0.0,0.0,0.0,0.0,-0.0,0.0
2.309,0.0,0.0,0.0,0.0,-0.0,0.0
2.339,0.0,0.0,0.0,0.0,-0.0,0.0
2.362,0.0,0.0,0.0,-0.0,-0.0,0.0
2.391,0.0,0.0,0.0,-0.0,-0.0,0.0
2.412,0.0,0.0,0.0,-0.0,-0.0,0.0
2.439,0.0,0.0,0.0,-0.0,-0.0,0.0
2.466,0.0,0.0,0.0,-0.0,-0.0,0.0
2.488,0.0,0.0,0.0,-0.0,-0.0,0.0
2.518,0.0,0.0,0.0,-0.0,-0.0,0.0
2.549,0.0,0.0,0.0,-0.0,-0.0,0.0
2.575,0.0,0.0,0.0,-0.0,-0.0,0.0
2.604,0.0,0.0,0.0,-0.0,-0.0,0.0
2.62,0.0,0.0,0.0,-0.0,-0.0,0.0
2.632,0.0,0.0,0.0,-0.0,-0.0,0.0
2.657,0.0,0.0,0.0,-0.0,-0.0,0.0
2.673,0.0,0.0,0.0,-0.0,-0.0,0.0
2.693,0.0,0.0,0.0,-0.0,-0.0,0.0
2.715,0.0,0.0,0.0,-0.0,-0.0,0.0
2.737,0.0,0.0,0.0,-0.0,-0.0,0.0
2.761,0.0,0.0,0.0,-0.0,-0.0,0.0
2.787,0.0,0.0,0.0,-0.0,-0.0,0.0
2.806,0.0,0.0,0.0,-0.0,-0.0,0.0
2.826,0.0,0.0,0.0,-0.0,-0.0,0.0
2.8449999999999998,0.0,0.0,0.0,-0.0,-0.0,0.0
2.874,0.0,0.0,0.0,-0.0,-0.0,0.0
2.914,0.0,0.0,0.0,-0.0,-0.0,0.0
2.955,0.0,0.0,0.0,-0.0,-0.0,0.0
2.996,0.0,0.0,0.0,-0.0,-0.0,0.0
3.029,0.0,0.0,0.0,-0.0,-0.0,0.0
3.057,0.0,0.0,0.0,-0.0,-0.0,0.0
3.077,0.0,0.0,0.0,-0.0,-0.0,0.0
3.094,0.0,0.0,0.0,-0.0,-0.0,0.0
3.127,0.0,0.0,0.0,-0.0,-0.0,0.0
3.164,0.0,0.0,0.0,-0.0,-0.0,0.0
3.199,0.0,0.0,0.0,-0.0,-0.0,0.0
3.234,0.0,0.0,0.0,-0.0,-0.0,0.0
3.259,0.0,0.0,0.0,-0.0,-0.0,0.0
3.29,0.0,0.0,0.0,-0.0,-0.0,0.0
3.315,0.0,0.0,0.0,-0.0,-0.0,0.0
3.348,0.0,0.0,0.0,-0.0,-0.0,0.0
3.382,0.0,0.0,0.0,-0.0,-0.0,0.0
3.422,0.0,0.0,0.0,-0.0,-0.0,0.0
3.462,0.0,0.0,0.0,-0.0,-0.0,0.0
3.5,0.0,0.0,0.0,-0.0,-0.0,0.0
3.543,0.0,0.0,0.0,-0.0,-0.0,0.0
3.583,0.0,0.0,0.0,-0.0,0.0,0.0
3.616,0.0,0.0,0.0,0.0,0.0,0.0
3.658,0.0,0.0,0.0,0.0,0.0,0.0
3.694,0.0,0.0,0.0,0.0,0.0,0.0
3.733,0.0,0.0,0.0,0.0,0.0,0.0
3.77,0.0,0.0,0.0,0.0,0.0,0.0
3.8120000000000003,0.0,0.0,0.0,0.0,0.0,0.0
3.85,0.0,0.0,0.0,0.0,0.0,0.0
3.893,0.0,0.0,0.0,0.0,0.0,0.0
3.936,0.0,0.0,0.0,0.0,0.0,0.0
3.977,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0
4.026,0.0,0.0,0.0,0.0,0.0,0.0
4.058,0.0,0.0,0.0,0.0,0.0,0.0
4.094,0.0,0.0,0.0,0.0,0.0,0.0
4.134,0.0,0.0,0.0,0.0,0.0,0.0
4.174,0.0,0.0,0.0,0.0,0.0,0.0
4.208,0.0,0.0,0.0,0.0,0.0,0.0
4.235,0.0,0.0,0.0,0.0,0.0,0.0
4.272,0.0,0.0,0.0,0.0,0.0,0.0
4.312,0.0,0.0,0.0,0.0,0.0,0.0
4.354,0.0,0.0,0.0,0.0,0.0,0.0
4.395,0.0,0.0,0.0,0.0,0.0,0.0
4.434,0.0,0.0,0.0,0.0,0.0,0.0
4.476,0.0,0.0,0.0,0.0,0.0,0.0
4.501,0.0,0.0,0.0,0.0,0.0,0.0
4.538,0.0,0.0,0.0,0.0,0.0,0.0
4.564,0.0,0.0,0.0,0.0,0.0,0.0
4.592,0.0,0.0,0.0,0.0,0.0,0.0
4.632,0.0,0.0,0.0,0.0,0.0,0.0
4.681,0.0,0.0,0.0,0.0,0.0,0.0
4.718,0.0,0.0,0.0,0.0,0.0,0.0
4.743,0.0,0.0,0.0,0.0,0.0,0.0
4.765,0.0,0.0,0.0,0.0,0.0,0.0
4.784,0.0,0.0,0.0,0.0,0.0,0.0
4.813,0.0,0.0,0.0,0.0,0.0,0.0
4.832,0.0,0.0,0.0,0.0,0.0,0.0
4.861,0.0,0.0,0.0,0.0,0.0,0.0
4.9030000000000005,0.0,0.0,0.0,0.0,0.0,0.0
4.946,0.0,0.0,0.0,0.0,0.0,0.0
4.989,0.0,0.0,0.0,0.0,0.0,0.0
5.024,0.0,0.0,0.0,0.0,0.0,0.0
5.061,0.0,0.0,0.0,0.0,0.0,0.0
5.097,0.0,0.0,0.0,0.0,0.0,0.0
5.135,0.0,0.0,0.0,0.0,0.0,0.0
5.164,0.0,0.0,0.0,0.0,0.0,0.0
5.207,0.0,0.0,0.0,0.0,0.0,0.0
5.239,0.0,0.0,0.0,0.0,0.0,0.0
5.271,0.0,0.0,0.0,0.0,0.0,0.0
5.315,0.0,0.0,0.0,0.0,0.0,0.0
5.358,0.0,0.0,0.0,0.0,0.0,0.0
5.39,0.0,0.0,0.0,-0.0,-0.0,0.0
5.423,0.0,0.0,0.0,-0.0,-0.0,0.0
5.469,0.0,0.0,0.0,-0.0,-0.0,0.0
5.498,0.0,0.0,0.0,-0.0,-0.0,0.0
5.519,0.0,0.0,0.0,-0.0,-0.0,0.0
5.534,0.0,0.0,0.0,-0.0,-0.0,0.0
5.555,0.0,0.0,0.0,-0.0,-0.0,0.0
5.5809999999999995,0.0,0.0,0.0,-0.0,-0.0,0.0
5.616,0.0,0.0,0.0,-0.0,-0.0,0.0
5.652,0.0,0.0,0.0,-0.0,-0.0,0.0
5.6850000000000005,0.0,0.0,0.0,-0.0,-0.0,0.0
5.712,0.0,0.0,0.0,-0.0,-0.0,0.0
5.756,0.0,0.0,0.0,-0.0,-0.0,0.0
5.786,0.0,0.0,0.0,-0.0,-0.0,0.0
5.8309999999999995,0.0,0.0,0.0,-0.0,-0.0,0.0
5.874,0.0,0.0,0.0,-0.0,-0.0,0.0
5.911,0.0,0.0,0.0,-0.0,-0.0,0.0
5.9350000000000005,0.0,0.0,0.0,-0.0,-0.0,0.0
5.979,0.0,0.0,0.0,-0.0,-0.0,0.0
6.024,0.0,0.0,0.0,-0.0,-0.0,0.0
6.069,0.0,0.0,0.0,-0.0,-0.0,0.0
6.106,0.0,0.0,0.0,-0.0,-0.0,0.0
6.139,0.0,0.0,0.0,-0.0,-0.0,0.0
6.179,0.0,0.0,0.0,-0.0,-0.0,0.0
6.217,0.0,0.0,0.0,-0.0,-0.0,0.0
6.256,0.0,0.0,0.0,-0.0,-0.0,0.0
6.293,0.0,0.0,0.0,-0.0,-0.0,0.0
6.327,0.0,0.0,0.0,-0.0,-0.0,0.0
6.356,0.0,0.0,0.0,-0.0,-0.0,0.0
6.402,0.0,0.0,0.0,-0.0,-0.0,0.0
6.442,0.0,0.0,0.0,-0.0,-0.0,0.0
6.469,0.0,0.0,0.0,-0.0,-0.0,0.0
6.503,0.0,0.0,0.0,-0.0,-0.0,0.0
6.537,0.0,0.0,0.0,0.01,0.01,0.0
6.572,0.0,0.0,0.0,0.02,0.02,0.0
6.594,0.0,0.0,0.0,0.02,0.02,0.0
6.629,0.0,0.0,0.0,0.02,0.02,0.0
6.666,0.0,0.0,0.0,0.03,0.01,0.0
6.702,0.0,0.0,0.0,0.03,0.01,0.0
6.739,0.0,0.0,0.0,0.03,0.01,0.0
6.779,0.0,0.0,0.0,0.04,0.01,0.0
6.798,0.0,0.0,0.0,0.04,0.01,0.0
6.853,0.0,0.0,0.0,0.05,0.0,0.0
6.888,0.0,0.0,0.0,0.05,0.0,0.0
6.9190000000000005,0.0,0.0,0.0,0.06,0.0,0.0
6.957,0.0,0.0,0.0,0.06,0.0,0.0
6.9879999999999995,0.0,0.0,0.0,0.07,0.0,0.0
7.032,0.0,0.0,0.0,0.08,0.0,0.0
7.067,0.0,0.0,0.0,0.08,0.0,0.0
7.108,0.0,0.0,0.0,0.09,0.0,0.0
7.146,0.0,0.0,0.0,0.09,0.0,0.0
7.177,0.0,0.0,0.0,0.1,0.01,0.0
7.207,0.0,0.0,0.0,0.11,0.01,0.0
7.244,0.0,0.0,0.0,0.11,0.01,0.0
7.279,0.0,0.0,0.0,0.12,0.01,0.0
7.314,0.0,0.0,0.0,0.12,0.01,0.0
7.334,0.0,0.0,0.0,0.13,0.01,0.0
7.3629999999999995,0.0,0.0,0.0,0.13,0.01,0.0
7.402,0.0,0.0,0.0,0.13,0.02,0.0
7.432,0.0,0.0,0.0,0.14,0.02,0.0
7.467,0.0,0.0,0.0,0.14,0.02,0.0
7.502,0.0,0.0,0.0,0.15,0.02,0.0
7.532,0.0,0.0,0.0,0.15,0.03,0.0
7.568,0.0,0.0,0.0,0.15,0.03,0.0
7.608,0.0,0.0,0.0,0.16,0.03,0.0
7.64,0.0,0.0,0.0,0.16,0.03,0.0
7.667,0.0,0.0,0.0,0.16,0.04,0.0
7.694,0.0,0.0,0.0,0.16,0.04,0.0
7.729,0.0,0.0,0.0,0.16,0.04,0.0
7.767,0.0,0.0,0.0,0.16,0.04,0.0
7.802,0.0,0.0,0.0,0.16,0.05,0.0
7.84,0.0,0.0,0.0,0.16,0.05,0.0
7.879,0.0,0.0,0.0,0.16,0.05,0.0
7.92,0.0,0.0,0.0,0.16,0.05,0.0
7.9559999999999995,0.0,0.0,0.0,0.15,0.05,0.0
7.981,0.0,0.0,0.0,0.15,0.05,0.0
8.008,0.0,0.0,0.0,0.15,0.06,0.0
8.05,0.0,0.0,0.0,0.14,0.06,-0.0
8.072,0.0,0.0,0.0,0.14,0.06,-0.0
8.101,0.0,0.0,0.0,0.14,0.06,-0.0
8.14,0.0,0.0,0.0,0.13,0.06,-0.0
8.168,0.0,0.0,0.0,0.13,0.06,-0.0
8.19,0.0,0.0,0.0,0.13,0.06,-0.0
8.226,0.0,0.0,0.0,0.12,0.06,-0.0
8.257,0.0,0.0,0.0,0.12,0.06,-0.0
8.292,0.0,0.0,0.0,0.11,0.06,-0.0
8.339,0.0,0.0,0.0,0.1,0.06,-0.0
8.376,0.0,0.0,0.0,0.1,0.06,-0.0
8.414,0.0,0.0,0.0,0.09,0.06,-0.0
8.443,0.0,0.0,0.0,0.08,0.06,-0.0
8.475999999999999,0.0,0.0,0.0,0.07,0.06,-0.0
8.511,0.0,0.0,0.0,0.07,0.06,-0.0
8.554,0.0,0.0,0.0,0.06,0.06,-0.0
8.592,0.0,0.0,0.0,0.05,0.06,-0.0
8.626,0.0,0.0,0.0,0.04,0.05,-0.0
8.663,0.0,0.0,0.0,0.03,0.05,-0.01
8.688,0.0,0.0,0.0,0.02,0.05,-0.01
8.719,0.0,0.0,0.0,0.01,0.05,-0.01
8.746,0.0,0.0,0.0,0.01,0.04,-0.01
8.779,0.0,0.0,0.0,0.0,0.04,-0.01
8.81,0.0,0.0,0.0,-0.0,0.04,-0.01
8.84,0.0,0.0,0.0,-0.01,0.04,-0.01
8.867,0.0,0.0,0.0,-0.02,0.03,-0.01
8.889,0.0,0.0,0.0,-0.02,0.03,-0.01
8.929,0.0,0.0,0.0,-0.03,0.03,-0.01
8.952,0.0,0.0,0.0,-0.03,0.03,-0.01
8.964,0.0,0.0,0.0,-0.03,0.03,-0.01
8.981,0.0,0.0,0.0,-0.04,0.02,-0.01
9.004,0.0,0.0,0.0,-0.04,0.02,-0.01
9.033,0.0,0.0,0.0,-0.04,0.02,-0.01
9.073,0.0,0.0,0.0,-0.05,0.02,-0.01
9.101,0.0,0.0,0.0,-0.05,0.01,-0.01
9.134,0.0,0.0,0.0,-0.06,0.01,-0.0
9.173,0.0,0.0,0.0,-0.06,0.0,-0.0
9.196,0.0,0.0,0.0,-0.07,0.0,-0.0
9.232,0.0,0.0,0.0,-0.07,-0.0,-0.0
9.253,0.0,0.0,0.0,-0.07,-0.0,-0.0
9.288,0.0,0.0,0.0,-0.07,-0.01,-0.0
9.322,0.0,0.0,0.0,-0.08,-0.01,-0.0
9.35,0.0,0.0,0.0,-0.08,-0.01,-0.0
9.384,0.0,0.0,0.0,-0.08,-0.02,-0.0
9.418,0.0,0.0,0.0,-0.09,-0.02,-0.0
9.456,0.0,0.0,0.0,-0.09,-0.02,-0.0
9.492,0.0,0.0,0.0,-0.09,-0.02,-0.0
9.528,0.0,0.0,0.0,-0.09,-0.03,-0.0
9.578,0.0,0.0,0.0,-0.09,-0.03,-0.0
9.611,0.0,0.0,0.0,-0.09,-0.03,-0.0
9.65,0.0,0.0,0.0,-0.09,-0.04,-0.0
9.693,0.0,0.0,0.0,-0.09,-0.04,-0.0
9.735,0.0,0.0,0.0,-0.09,-0.04,-0.0
9.79,0.0,0.0,0.0,-0.09,-0.04,-0.0
9.828,0.0,0.0,0.0,-0.09,-0.05,-0.0
9.864,0.0,0.0,0.0,-0.09,-0.05,-0.0
9.884,0.0,0.0,0.0,-0.09,-0.05,-0.0
9.915,0.0,0.0,0.0,-0.09,-0.05,-0.0
9.943999999999999,0.0,0.0,0.0,-0.09,-0.05,-0.0
9.985,0.0,0.0,0.0,-0.08,-0.05,-0.0
10.022,0.0,0.0,0.0,-0.08,-0.05,-0.0
10.039,0.0,0.0,0.0,-0.08,-0.05,-0.0
10.081,0.0,0.0,0.0,-0.07,-0.05,-0.0
10.126,0.0,0.0,0.0,-0.07,-0.05,-0.0
10.16,0.0,0.0,0.0,-0.06,-0.04,-0.0
10.193,0.0,0.0,0.0,-0.06,-0.04,-0.0
10.225,0.0,0.0,0.0,-0.06,-0.04,-0.0
10.257,0.0,0.0,0.0,-0.05,-0.04,-0.0
10.304,0.0,0.0,0.0,-0.04,-0.04,-0.0
10.332,0.0,0.0,0.0,-0.04,-0.04,-0.0
10.361,0.0,0.0,0.0,-0.04,-0.03,-0.0
