t,x,y,z,vx,vy,vz
2.317,0.0,0.0,-0.0,0.0,0.0,-0.0
2.317,0.0,0.0,-0.0,-0.0,0.0,0.0
2.326,0.0,0.0,-0.0,0.0,-0.0,-0.0
2.333,0.0,0.0,-0.0,0.0,0.0,-0.0
2.334,0.0,0.0,-0.0,0.0,0.0,-0.0
2.339,0.0,0.0,-0.0,0.0,-0.0,-0.0
2.340,0.0,0.0,-0.0,-0.0,0.0,0.0
2.341,0.0,0.0,0.0,0.0,0.0,0.0
2.342,0.0,0.0,0.0,0.0,-0.0,0.0
2.343,0.0,0.0,0.0,0.0,-0.0,0.01
2.344,0.0,0.0,0.0,0.0,-0.0,0.01
2.344,0.0,0.0,0.0,0.0,-0.0,0.01
2.346,0.0,0.0,0.0,0.0,-0.0,0.01
2.348,0.0,0.0,0.0,0.0,-0.0,0.01
2.348,0.0,0.0,0.0,0.0,-0.0,0.01
2.350,0.0,0.0,0.0,0.0,-0.0,0.01
2.352,0.0,0.0,0.0,0.0,-0.0,0.01
2.353,0.0,0.0,0.0,0.0,-0.0,0.01
2.355,0.0,0.0,0.0,0.0,-0.0,0.02
2.356,0.0,0.0,0.0,0.0,-0.0,0.02
2.356,0.0,0.0,0.0,0.0,-0.0,0.02
2.358,0.0,0.0,0.0,0.0,-0.0,0.02
2.359,0.0,0.0,0.0,0.0,-0.0,0.02
2.361,0.0,0.0,0.0,0.0,-0.0,0.02
2.362,0.0,0.0,0.0,0.0,-0.0,0.02
2.362,0.0,0.0,0.0,0.0,-0.0,0.02
2.364,0.0,0.0,0.0,0.0,-0.0,0.02
2.365,0.0,0.0,0.0,0.0,-0.0,0.02
2.366,0.0,0.0,0.0,0.0,-0.0,0.02
2.367,0.0,0.0,0.0,0.0,-0.0,0.03
2.368,0.0,0.0,0.0,0.0,-0.0,0.03
2.368,0.0,0.0,0.0,0.0,0.0,0.03
2.370,0.0,0.0,0.0,0.0,0.0,0.03
2.371,0.0,0.0,0.0,0.0,0.0,0.03
2.371,0.0,0.0,0.0,0.0,0.0,0.03
2.374,0.0,0.0,0.0,0.0,0.0,0.03
2.375,0.0,0.0,0.0,0.0,0.0,0.03
2.376,0.0,0.0,0.0,0.0,0.0,0.03
2.376,0.0,0.0,0.0,-0.0,0.0,0.03
2.382,0.0,0.0,0.0,-0.0,0.0,0.04
2.383,0.0,0.0,0.0,-0.0,0.0,0.04
2.383,0.0,0.0,0.0,-0.0,0.0,0.04
2.384,0.0,0.0,0.0,-0.0,0.0,0.04
2.384,0.0,0.0,0.0,-0.0,0.0,0.04
2.386,0.0,0.0,0.0,-0.0,0.0,0.04
2.387,0.0,0.0,0.0,-0.0,0.0,0.04
2.389,0.0,0.0,0.0,-0.0,0.0,0.04
2.390,0.0,0.0,0.0,-0.0,0.0,0.04
2.390,0.0,0.0,0.0,-0.0,0.0,0.05
2.392,0.0,0.0,0.0,-0.0,0.0,0.05
2.393,0.0,0.0,0.0,-0.0,0.0,0.05
2.393,0.0,0.0,0.0,-0.0,0.0,0.05
2.394,0.0,0.0,0.0,-0.0,0.0,0.05
2.396,0.0,0.0,0.0,-0.0,0.0,0.05
2.397,0.0,0.0,0.0,-0.0,0.0,0.05
2.397,0.0,0.0,0.0,-0.0,0.0,0.05
2.398,0.0,0.0,0.0,-0.0,0.0,0.05
2.400,0.0,0.0,0.0,-0.0,0.0,0.05
2.400,0.0,0.0,0.0,-0.0,0.0,0.05
2.402,0.0,0.0,0.0,-0.0,0.0,0.05
2.402,0.0,0.0,0.0,-0.0,0.0,0.06
2.404,0.0,0.0,0.0,-0.0,0.0,0.06
2.405,0.0,0.0,0.0,-0.0,0.0,0.06
2.406,0.0,0.0,0.0,-0.0,0.0,0.06
2.406,0.0,0.0,0.0,-0.0,0.0,0.06
2.407,0.0,0.0,0.0,-0.0,0.0,0.06
2.409,0.0,0.0,0.0,-0.0,0.0,0.06
2.410,0.0,0.0,0.0,-0.0,0.0,0.06
2.411,0.0,0.0,0.0,-0.0,0.0,0.06
2.412,0.0,0.0,0.0,-0.0,0.0,0.06
2.413,0.0,0.0,0.0,-0.0,0.0,0.06
2.413,0.0,0.0,0.0,-0.0,0.0,0.06
2.415,0.0,0.0,0.0,-0.0,0.0,0.07
2.415,0.0,0.0,0.0,-0.0,0.0,0.07
2.417,0.0,0.0,0.0,-0.0,0.0,0.07
2.418,0.0,0.0,0.0,-0.0,0.0,0.07
2.419,0.0,0.0,0.0,-0.0,0.0,0.07
2.420,0.0,0.0,0.0,-0.0,0.0,0.07
2.420,0.0,0.0,0.0,-0.0,0.0,0.07
2.421,0.0,0.0,0.0,-0.0,0.0,0.07
2.422,0.0,0.0,0.0,-0.0,0.0,0.07
2.423,0.0,0.0,0.0,-0.0,0.0,0.07
2.424,0.0,0.0,0.0,-0.0,0.0,0.07
2.425,0.0,0.0,0.0,-0.0,0.0,0.07
2.426,0.0,0.0,0.0,-0.0,0.0,0.07
2.428,0.0,0.0,0.0,-0.0,0.0,0.08
2.428,0.0,0.0,0.0,-0.0,0.0,0.08
2.430,0.0,0.0,0.0,-0.0,0.0,0.08
2.433,0.0,0.0,0.0,-0.0,0.0,0.08
2.435,0.0,0.0,0.0,-0.0,0.0,0.08
2.435,0.0,0.0,0.0,-0.0,0.0,0.08
2.437,0.0,0.0,0.0,-0.0,0.0,0.08
2.437,0.0,0.0,0.0,-0.0,0.0,0.08
2.438,0.0,0.0,0.0,-0.0,0.0,0.08
2.440,0.0,0.0,0.0,-0.0,0.0,0.09
2.440,0.0,0.0,0.0,-0.0,0.0,0.09
2.443,0.0,0.0,0.0,-0.0,0.0,0.09
2.444,0.0,0.0,0.0,-0.0,0.0,0.09
2.444,0.0,0.0,0.0,-0.0,0.0,0.09
2.446,0.0,0.0,0.01,-0.0,0.0,0.09
2.446,0.0,0.0,0.01,-0.0,0.0,0.09
2.448,0.0,0.0,0.01,-0.0,0.0,0.09
2.449,0.0,0.0,0.01,-0.0,0.0,0.09
2.449,0.0,0.0,0.01,-0.0,0.0,0.09
2.450,0.0,0.0,0.01,-0.0,0.0,0.09
