t,x,y,z
2.327,0.0,0.0,0.0
2.350,0.0,0.0,0.0
2.382,0.0,0.0,0.0
2.406,0.0,0.0,0.0
2.430,0.0,0.0,0.0
2.461,0.0,0.0,0.0
2.483,0.0,0.0,0.0
2.510,0.0,0.0,0.0
2.544,0.0,0.0,0.0
2.570,0.0,0.0,0.0
2.596,0.0,0.0,0.0
2.617,0.0,0.0,0.0
2.632,0.0,0.0,0.0
2.652,0.0,0.0,0.0
2.670,0.0,0.0,0.0
2.690,0.0,0.0,0.0
2.712,0.0,0.0,0.0
2.733,0.0,0.0,0.0
2.758,0.0,0.0,0.0
2.784,0.0,0.0,0.0
2.804,0.0,0.0,0.0
2.823,0.0,0.0,0.0
2.842,0.0,0.0,0.0
2.868,0.0,0.0,0.0
2.909,0.0,0.0,0.0
2.949,0.0,0.0,0.0
2.991,0.0,0.0,0.0
3.024,0.0,0.0,0.0
3.053,0.0,0.0,0.0
3.075,0.0,0.0,0.0
3.090,0.0,0.0,0.0
3.123,0.0,0.0,0.0
3.159,0.0,0.0,0.0
3.184,0.0,0.0,0.0
3.227,0.0,0.0,0.0
3.257,0.0,0.0,0.0
3.288,0.0,0.0,0.0
3.311,0.0,0.0,0.0
3.342,0.0,0.0,0.0
3.377,0.0,0.0,0.0
3.416,0.0,0.0,0.0
3.454,0.0,0.0,0.0
3.492,0.0,0.0,0.0
3.513,0.0,0.0,0.0
3.575,0.0,0.0,0.0
3.614,0.0,0.0,0.0
3.656,0.0,0.0,0.0
3.693,0.0,0.0,0.0
3.731,0.0,0.0,0.0
3.769,0.0,0.0,0.0
3.810,0.0,0.0,0.0
3.848,0.0,0.0,0.0
3.891,0.0,0.0,0.0
3.936,0.0,0.0,0.0
3.974,0.0,0.0,0.0
4.000,0.0,0.0,0.0
4.024,0.0,0.0,0.0
4.058,0.0,0.0,0.0
4.093,0.0,0.0,0.0
4.135,0.0,0.0,0.0
4.175,0.0,0.0,0.0
4.209,0.0,0.0,0.0
4.236,0.0,0.0,0.0
4.274,0.0,0.0,0.0
4.315,0.0,0.0,0.0
4.357,0.0,0.0,0.0
4.399,0.0,0.0,0.0
4.437,0.0,0.0,0.0
4.478,0.0,0.0,0.0
4.501,0.0,0.0,0.0
4.540,0.0,0.0,0.0
4.569,0.0,0.0,0.0
4.594,0.0,0.0,0.0
4.641,0.0,0.0,0.0
4.684,0.0,0.0,0.0
4.719,0.0,0.0,0.0
4.744,0.0,0.0,0.0
4.766,0.0,0.0,0.0
4.788,0.0,0.0,0.0
4.818,0.0,0.0,0.0
4.834,0.0,0.0,0.0
4.865,0.0,0.0,0.0
4.911,0.0,0.0,0.0
4.955,0.0,0.0,0.0
4.995,0.0,0.0,0.0
5.033,0.0,0.0,0.0
5.066,0.0,0.0,0.0
5.105,0.0,0.0,0.0
5.135,0.0,0.0,0.0
5.173,0.0,0.0,0.0
5.215,0.0,0.0,0.0
5.247,0.0,0.0,0.0
5.280,0.0,0.0,0.0
5.323,0.0,0.0,0.0
5.365,0.0,0.0,0.0
5.392,0.0,0.0,0.0
5.431,0.0,0.0,0.0
5.480,0.0,0.0,0.0
5.501,0.0,0.0,0.0
5.521,0.0,0.0,0.0
5.539,0.0,0.0,0.0
5.560,0.0,0.0,0.0
5.589,0.0,0.0,0.0
5.625,0.0,0.0,0.0
5.661,0.0,0.0,0.0
5.692,0.0,0.0,0.0
5.723,0.0,0.0,0.0
5.762,0.0,0.0,0.0
5.800,0.0,0.0,0.0
5.842,0.0,0.0,0.0
5.883,0.0,0.0,0.0
5.917,0.0,0.0,0.0
5.951,0.0,0.0,0.0
5.991,0.0,0.0,0.0
6.037,0.0,0.0,0.0
6.080,0.0,0.0,0.0
6.113,0.0,0.0,0.0
6.149,0.0,0.0,0.0
6.189,0.0,0.0,0.0
6.226,0.0,0.0,0.0
6.266,0.0,0.0,0.0
6.302,0.0,0.0,0.0
6.335,0.0,0.0,0.0
6.371,0.0,0.0,0.0
6.415,0.0,0.0,0.0
6.451,0.07,0.0,0.0
6.481,0.0,-0.0,0.0
6.516,0.0,-0.0,0.0
6.549,0.0,-0.0,0.0
6.578,0.0,-0.0,0.0
6.603,0.0,-0.0,0.0
6.645,0.0,-0.0,0.0
6.680,0.0,-0.0,0.0
6.720,0.0,-0.0,0.0
6.747,0.0,-0.0,0.0
6.795,0.0,-0.0,0.0
6.834,0.0,-0.0,0.0
6.871,0.0,-0.0,0.0
6.900,0.0,-0.0,0.0
6.935,0.0,-0.0,0.0
6.971,0.0,-0.0,0.0
7.005,0.0,-0.0,0.0
7.044,0.0,-0.0,0.0
7.086,0.0,-0.0,0.0
7.125,0.0,-0.0,0.0
7.159,0.0,-0.0,0.0
7.188,0.0,-0.0,0.0
7.219,0.0,-0.0,0.0
7.259,0.0,-0.0,0.0
