t,x,y,z,vx,vy,vz
0.041,3.0,0.0,0.09,0.0,0.0,0.0
0.051,3.0,0.0,0.09,0.0,-0.0,0.0
0.061,3.0,0.0,0.08,0.0,-0.0,0.0
0.071,3.0,-0.0,0.08,0.0,-0.0,0.0
0.081,3.0,-0.0,0.07,0.0,-0.0,0.0
0.090,3.0,-0.0,0.06,0.0,-0.0,0.0
0.101,3.0,0.0,0.05,0.01,0.0,0.0
0.111,3.0,-0.0,0.04,0.01,-0.0,0.0
0.122,3.0,0.0,0.03,0.01,0.0,0.0
0.131,3.0,0.0,0.02,0.01,-0.0,0.0
0.141,3.0,-0.0,0.0,0.01,-0.0,0.0
0.151,3.0,0.0,0.0,0.21,0.0,0.0
0.162,3.0,0.0,0.0,0.24,-0.0,0.0
0.172,3.01,-0.0,0.0,0.27,-0.0,0.0
0.182,3.01,-0.0,0.0,0.29,-0.0,0.0
0.192,3.01,-0.0,0.0,0.32,-0.0,0.0
0.202,3.02,-0.0,0.0,0.35,-0.01,0.0
0.212,3.02,-0.0,0.0,0.29,-0.0,0.0
0.222,3.02,-0.0,-0.0,0.21,0.0,0.0
0.232,3.02,-0.0,-0.0,0.21,-0.0,0.0
0.242,3.03,-0.0,-0.0,0.21,0.0,0.0
0.252,3.03,-0.0,-0.0,0.21,0.0,0.0
0.262,3.03,-0.0,-0.0,0.22,0.0,0.0
0.272,3.03,-0.0,-0.0,0.22,0.0,0.0
0.282,3.03,-0.0,-0.0,0.22,0.0,0.0
0.292,3.04,-0.0,-0.0,0.22,0.0,0.0
0.302,3.04,-0.0,-0.0,0.22,-0.0,0.0
0.312,3.04,-0.0,-0.0,0.22,0.0,0.0
0.322,3.04,-0.0,-0.0,0.22,-0.0,0.0
0.332,3.04,-0.0,-0.0,0.22,-0.0,0.0
0.342,3.05,-0.0,-0.0,0.22,-0.0,0.0
0.352,3.05,-0.0,-0.0,0.22,-0.0,0.0
0.362,3.05,-0.0,-0.0,0.22,0.0,0.0
0.371,3.05,-0.0,-0.0,0.22,0.0,0.0
0.381,3.06,-0.0,-0.0,0.22,0.0,0.0
0.392,3.06,-0.0,-0.0,0.22,-0.0,0.0
0.402,3.06,-0.0,-0.0,0.22,0.0,0.0
0.412,3.06,-0.0,-0.0,0.22,-0.0,0.0
0.422,3.06,-0.0,-0.0,0.23,0.0,0.0
0.432,3.07,-0.0,-0.0,0.23,0.0,0.0
0.442,3.07,-0.0,-0.0,0.22,-0.0,0.0
0.452,3.07,-0.0,-0.0,0.23,0.0,0.0
0.462,3.07,-0.0,-0.0,0.23,-0.0,0.0
0.472,3.08,-0.0,-0.0,0.23,0.0,0.0
0.482,3.08,-0.0,-0.0,0.23,-0.0,0.0
0.492,3.08,-0.0,-0.0,0.23,0.0,0.0
0.502,3.08,-0.0,-0.0,0.23,0.0,0.0
0.512,3.09,-0.0,-0.0,0.23,-0.0,0.0
0.522,3.09,-0.01,-0.0,0.23,0.0,0.0
0.532,3.09,-0.01,-0.0,0.23,-0.0,0.0
0.542,3.09,-0.01,-0.0,0.23,0.0,0.0
0.552,3.09,-0.01,-0.0,0.23,-0.0,0.0
0.562,3.1,-0.01,-0.0,0.23,0.0,0.0
0.572,3.1,-0.01,-0.0,0.23,0.0,0.0
0.573,3.1,-0.01,-0.0,0.23,0.0,0.0
0.590,3.1,-0.01,-0.0,0.23,0.0,0.0
0.601,3.11,-0.01,-0.0,0.24,0.0,0.0
0.611,3.11,-0.01,-0.0,0.23,0.0,0.0
0.621,3.11,-0.01,-0.0,0.23,-0.0,0.0
0.631,3.11,-0.01,-0.0,0.24,0.0,0.0
0.641,3.12,-0.01,-0.0,0.24,0.0,0.0
0.651,3.12,-0.01,-0.0,0.24,0.0,0.0
0.661,3.12,-0.01,-0.0,0.24,0.0,0.0
0.671,3.12,-0.01,-0.0,0.24,0.0,0.0
0.681,3.12,-0.01,-0.0,0.24,0.0,0.0
0.692,3.13,-0.01,-0.0,0.24,0.0,0.0
0.701,3.13,-0.01,-0.0,0.24,0.0,0.0
0.711,3.13,-0.01,-0.0,0.24,0.0,0.0
0.722,3.13,-0.01,-0.0,0.24,0.0,0.0
0.731,3.14,-0.01,-0.0,0.24,-0.0,0.0
0.742,3.14,-0.01,-0.0,0.24,0.0,0.0
0.751,3.14,-0.01,-0.0,0.24,0.0,0.0
0.761,3.14,-0.01,-0.0,0.24,0.0,0.0
0.771,3.15,-0.01,-0.0,0.24,-0.0,0.0
0.780,3.15,-0.02,-0.0,0.24,0.0,0.0
0.791,3.15,-0.02,-0.0,0.24,0.0,0.0
0.801,3.15,-0.02,-0.0,0.24,-0.0,0.0
0.811,3.16,-0.02,-0.0,0.25,0.0,0.0
0.821,3.16,-0.02,-0.0,0.24,-0.0,0.0
0.831,3.16,-0.02,-0.0,0.24,0.0,0.0
0.840,3.16,-0.02,-0.0,0.24,0.0,0.0
0.851,3.16,-0.02,-0.0,0.24,0.0,0.0
0.861,3.17,-0.02,-0.0,0.24,-0.0,0.0
0.871,3.17,-0.02,-0.0,0.24,-0.0,0.0
0.881,3.17,-0.02,-0.0,0.25,0.0,0.0
0.891,3.17,-0.02,-0.0,0.25,0.0,0.0
0.901,3.18,-0.02,-0.0,0.25,0.0,0.0
0.911,3.18,-0.02,-0.0,0.25,0.0,0.0
0.921,3.18,-0.02,-0.0,0.25,-0.0,0.0
0.931,3.18,-0.02,-0.0,0.25,-0.0,0.0
0.941,3.19,-0.03,-0.0,0.25,0.0,0.0
0.951,3.19,-0.03,-0.0,0.25,0.0,0.0
0.961,3.19,-0.03,-0.0,0.25,-0.0,0.0
0.971,3.19,-0.03,-0.0,0.25,0.0,0.0
0.981,3.2,-0.03,-0.0,0.25,0.0,0.0
0.991,3.2,-0.03,-0.0,0.25,0.0,0.0
1.001,3.2,-0.03,-0.0,0.25,0.0,0.0
1.011,3.2,-0.03,-0.0,0.25,0.0,0.0
1.021,3.21,-0.03,-0.0,0.25,0.0,0.0
1.031,3.21,-0.03,-0.0,0.25,-0.0,0.0
1.041,3.21,-0.03,-0.0,0.25,0.0,0.0
1.051,3.21,-0.03,-0.0,0.26,0.0,0.0
1.062,3.21,-0.03,-0.0,0.26,0.0,0.0
1.071,3.22,-0.04,-0.0,0.26,0.0,0.0
1.081,3.22,-0.04,-0.0,0.26,0.0,0.0
1.091,3.22,-0.04,-0.0,0.26,0.0,0.0
1.101,3.22,-0.04,-0.0,0.26,0.0,0.0
1.111,3.23,-0.04,-0.0,0.26,0.0,0.0
1.121,3.23,-0.04,-0.0,0.26,0.0,0.0
1.131,3.23,-0.04,-0.0,0.26,0.0,0.0
1.141,3.23,-0.04,-0.0,0.26,0.0,0.0
1.151,3.24,-0.04,-0.0,0.26,0.0,0.0
1.161,3.24,-0.04,-0.0,0.26,0.0,0.0
1.171,3.24,-0.04,-0.0,0.26,-0.0,0.0
1.181,3.24,-0.05,-0.0,0.26,0.0,0.0
1.191,3.25,-0.05,-0.0,0.26,0.0,0.0
1.201,3.25,-0.05,-0.0,0.26,-0.0,0.0
1.211,3.25,-0.05,-0.0,0.26,0.0,0.0
1.221,3.25,-0.05,-0.0,0.26,-0.0,0.0
1.231,3.26,-0.05,-0.0,0.26,0.0,0.0
1.241,3.26,-0.05,-0.0,0.26,0.0,0.0
1.251,3.26,-0.05,-0.0,0.26,0.0,0.0
1.261,3.26,-0.05,-0.0,0.27,0.0,0.0
1.271,3.27,-0.06,-0.0,0.27,0.0,0.0
1.281,3.27,-0.06,-0.0,0.27,-0.0,0.0
1.291,3.27,-0.06,-0.0,0.27,0.0,0.0
1.301,3.27,-0.06,-0.0,0.27,0.0,0.0
1.311,3.28,-0.06,-0.0,0.27,-0.0,0.0
1.321,3.28,-0.06,-0.0,0.27,-0.0,0.0
1.331,3.28,-0.06,-0.0,0.27,0.0,0.0
1.341,3.28,-0.06,-0.0,0.27,-0.0,0.0
1.351,3.29,-0.06,-0.0,0.27,-0.0,0.0
1.361,3.29,-0.07,-0.0,0.27,0.0,0.0
1.371,3.29,-0.07,-0.0,0.27,-0.0,0.0
1.381,3.29,-0.07,-0.0,0.27,-0.0,0.0
1.391,3.29,-0.07,-0.0,0.27,0.0,0.0
1.401,3.3,-0.07,-0.0,0.27,-0.0,0.0
1.411,3.3,-0.07,-0.0,0.27,0.0,0.0
1.421,3.3,-0.07,-0.0,0.27,0.0,0.0
1.431,3.3,-0.07,-0.0,0.27,-0.0,0.0
1.442,3.31,-0.08,-0.0,0.27,0.0,0.0
1.451,3.31,-0.08,-0.0,0.27,0.0,0.0
1.461,3.31,-0.08,-0.0,0.27,-0.0,0.0
1.471,3.31,-0.08,-0.0,0.28,0.0,0.0
1.481,3.32,-0.08,-0.0,0.28,0.0,0.0
1.491,3.32,-0.08,-0.0,0.28,-0.0,0.0
1.501,3.32,-0.08,-0.0,0.28,0.0,0.0
1.511,3.32,-0.09,-0.0,0.28,-0.0,0.0
1.521,3.33,-0.09,-0.0,0.28,0.0,0.0
1.532,3.33,-0.09,-0.0,0.28,0.0,0.0
1.542,3.33,-0.09,-0.0,0.28,0.0,0.0
1.551,3.33,-0.09,-0.0,0.28,0.0,0.0
1.561,3.34,-0.09,-0.0,0.28,0.0,0.0
1.572,3.34,-0.09,-0.0,0.28,0.0,0.0
1.581,3.34,-0.1,-0.0,0.28,0.0,0.0
1.591,3.34,-0.1,-0.0,0.28,-0.0,0.0
1.601,3.34,-0.1,-0.0,0.28,0.0,0.0
1.611,3.35,-0.1,-0.0,0.28,0.0,0.0
1.621,3.35,-0.1,-0.0,0.28,0.0,0.0
1.631,3.35,-0.1,-0.0,0.28,0.0,0.0
1.642,3.35,-0.11,-0.0,0.28,-0.0,0.0
1.651,3.36,-0.11,-0.0,0.28,0.0,0.0
1.661,3.36,-0.11,-0.0,0.28,0.0,0.0
1.671,3.36,-0.11,-0.0,0.28,0.0,0.0
1.681,3.36,-0.11,-0.0,0.28,0.0,0.0
1.691,3.37,-0.11,-0.0,0.28,0.0,0.0
1.701,3.37,-0.12,-0.0,0.28,0.0,0.0
1.711,3.37,-0.12,-0.0,0.28,-0.0,0.0
1.721,3.37,-0.12,-0.0,0.28,0.0,0.0
1.731,3.37,-0.12,-0.0,0.29,0.0,0.0
1.741,3.38,-0.12,-0.0,0.29,0.0,0.0
1.751,3.38,-0.12,-0.0,0.29,0.0,0.0
1.761,3.38,-0.13,-0.0,0.29,0.0,0.0
1.771,3.38,-0.13,-0.0,0.29,0.0,0.0
1.781,3.39,-0.13,-0.0,0.29,0.0,0.0
1.788,3.39,-0.13,-0.0,0.29,0.0,0.0
1.801,3.39,-0.13,-0.0,0.29,-0.0,0.0
1.811,3.39,-0.13,-0.0,0.29,-0.0,0.0
1.821,3.4,-0.14,-0.0,0.29,0.0,0.0
1.826,3.4,-0.14,-0.0,0.29,-0.0,0.0
1.841,3.4,-0.14,-0.0,0.29,0.0,0.0
1.851,3.4,-0.14,-0.0,0.29,0.0,0.0
1.861,3.4,-0.14,-0.0,0.29,0.0,0.0
1.871,3.41,-0.15,-0.0,0.29,-0.0,0.0
1.881,3.41,-0.15,-0.0,0.29,0.0,0.0
1.891,3.41,-0.15,-0.0,0.29,0.0,0.0
1.901,3.41,-0.15,-0.0,0.29,0.0,0.0
1.912,3.42,-0.15,-0.0,0.29,0.0,0.0
1.921,3.42,-0.15,-0.0,0.29,-0.0,0.0
1.931,3.42,-0.16,-0.0,0.29,-0.0,0.0
1.941,3.42,-0.16,-0.0,0.3,0.0,0.0
1.951,3.42,-0.16,-0.0,0.3,0.0,0.0
1.961,3.43,-0.16,-0.0,0.3,0.0,0.0
1.971,3.43,-0.16,-0.0,0.3,0.0,0.0
1.981,3.43,-0.17,-0.0,0.3,0.0,0.0
1.991,3.43,-0.17,-0.0,0.3,0.0,0.0
2.001,3.44,-0.17,-0.0,0.29,0.0,0.0
2.012,3.44,-0.17,-0.0,0.29,0.0,0.0
2.021,3.44,-0.17,-0.0,0.3,0.0,0.0
2.031,3.44,-0.18,-0.0,0.3,0.0,0.0
2.041,3.44,-0.18,-0.0,0.3,0.0,0.0
2.051,3.45,-0.18,-0.0,0.29,-0.0,0.0
2.061,3.45,-0.18,-0.0,0.3,0.0,0.0
2.071,3.45,-0.18,-0.0,0.3,0.0,0.0
2.082,3.45,-0.19,-0.0,0.3,0.0,0.0
2.091,3.45,-0.19,-0.0,0.3,0.0,0.0
2.101,3.46,-0.19,-0.0,0.3,0.0,0.0
2.111,3.46,-0.19,-0.0,0.3,0.0,0.0
2.122,3.46,-0.2,-0.0,0.29,-0.0,0.0
2.131,3.46,-0.2,-0.0,0.3,0.0,0.0
2.141,3.47,-0.2,-0.0,0.3,0.0,0.0
2.151,3.47,-0.2,-0.0,0.3,0.0,0.0
2.161,3.47,-0.2,-0.0,0.3,0.0,0.0
2.171,3.47,-0.21,-0.0,0.3,-0.0,0.0
2.181,3.47,-0.21,-0.0,0.3,0.0,0.0
2.191,3.48,-0.21,-0.0,0.3,0.0,0.0
2.201,3.48,-0.21,-0.0,0.3,0.0,0.0
2.211,3.48,-0.21,-0.0,0.3,0.0,0.0
2.221,3.48,-0.22,-0.0,0.3,0.0,0.0
2.231,3.48,-0.22,-0.0,0.3,0.0,0.0
2.241,3.49,-0.22,-0.0,0.3,0.0,0.0
2.252,3.49,-0.22,-0.0,0.3,0.0,0.0
2.261,3.49,-0.23,-0.0,0.3,0.0,0.0
2.271,3.49,-0.23,-0.0,0.3,0.0,0.0
2.281,3.49,-0.23,-0.0,0.3,0.0,0.0
2.291,3.5,-0.23,-0.0,0.3,0.0,0.0
2.301,3.5,-0.23,-0.0,0.3,0.0,0.0
2.311,3.5,-0.24,-0.0,0.3,0.0,0.0
2.321,3.5,-0.24,-0.0,0.3,0.0,0.0
2.331,3.5,-0.24,-0.0,0.3,0.0,0.0
2.341,3.51,-0.24,-0.0,0.3,0.0,0.0
2.351,3.51,-0.25,-0.0,0.3,0.0,0.0
2.361,3.51,-0.25,-0.0,0.3,-0.0,0.0
2.370,3.51,-0.25,-0.0,0.3,-0.0,0.0
2.381,3.51,-0.25,-0.0,0.3,0.0,0.0
2.391,3.52,-0.25,-0.0,0.3,-0.0,0.0
2.401,3.52,-0.26,-0.0,0.3,0.0,0.0
2.411,3.52,-0.26,-0.0,0.3,-0.0,0.0
2.420,3.52,-0.26,-0.0,0.3,0.0,0.0
2.431,3.52,-0.26,-0.0,0.3,0.0,0.0
2.441,3.53,-0.27,-0.0,0.3,-0.0,0.0
2.450,3.53,-0.27,-0.0,0.3,0.0,0.0
2.461,3.53,-0.27,-0.0,0.3,0.0,0.0
2.471,3.53,-0.27,-0.0,0.3,0.0,0.0
2.481,3.53,-0.28,-0.0,0.3,0.0,0.0
2.491,3.53,-0.28,-0.0,0.3,0.0,0.0
2.501,3.54,-0.28,-0.0,0.3,0.0,0.0
2.511,3.54,-0.28,-0.0,0.3,0.0,0.0
2.521,3.54,-0.29,-0.0,0.3,-0.0,0.0
2.531,3.54,-0.29,-0.0,0.3,0.0,0.0
2.541,3.54,-0.29,-0.0,0.3,-0.0,0.0
2.551,3.55,-0.29,-0.0,0.3,0.0,0.0
2.561,3.55,-0.3,-0.0,0.3,0.0,0.0
2.571,3.55,-0.3,-0.0,0.3,-0.0,0.0
2.581,3.55,-0.3,-0.0,0.3,-0.0,0.0
2.592,3.55,-0.3,-0.0,0.3,-0.0,0.0
2.601,3.55,-0.31,-0.0,0.3,0.0,0.0
2.611,3.56,-0.31,-0.0,0.3,0.0,0.0
2.621,3.56,-0.31,-0.0,0.3,0.0,0.0
2.631,3.56,-0.31,-0.0,0.3,-0.0,0.0
2.641,3.56,-0.32,-0.0,0.3,-0.0,0.0
2.651,3.56,-0.32,-0.0,0.3,0.0,0.0
2.661,3.57,-0.32,-0.0,0.3,-0.0,0.0
2.671,3.57,-0.32,-0.0,0.3,0.0,0.0
2.681,3.57,-0.33,-0.0,0.3,0.0,0.0
2.691,3.57,-0.33,-0.0,0.3,-0.0,0.0
2.701,3.57,-0.33,-0.0,0.3,0.0,0.0
2.711,3.57,-0.33,-0.0,0.31,0.0,0.0
2.721,3.58,-0.34,-0.0,0.31,0.0,0.0
2.731,3.58,-0.34,-0.0,0.31,0.0,0.0
2.741,3.58,-0.34,-0.0,0.3,-0.0,0.0
2.751,3.58,-0.34,-0.0,0.3,0.0,0.0
2.761,3.58,-0.35,-0.0,0.3,0.0,0.0
2.771,3.58,-0.35,-0.0,0.3,-0.0,0.0
2.781,3.58,-0.35,-0.0,0.25,-0.01,0.0
2.791,3.59,-0.35,-0.0,0.26,-0.0,0.0
2.801,3.59,-0.35,-0.0,0.3,-0.0,0.0
2.811,3.59,-0.36,-0.0,0.3,-0.0,0.0
2.821,3.59,-0.36,-0.0,0.3,-0.0,0.0
2.831,3.59,-0.36,-0.0,0.3,0.0,0.0
2.841,3.59,-0.37,-0.0,0.3,-0.0,0.0
2.851,3.6,-0.37,-0.0,0.3,0.0,0.0
2.861,3.6,-0.37,-0.0,0.3,-0.0,0.0
2.871,3.6,-0.37,-0.0,0.3,-0.0,0.0
2.881,3.6,-0.38,-0.0,0.3,-0.0,0.0
2.891,3.6,-0.38,-0.0,0.3,0.0,0.0
2.901,3.6,-0.38,-0.0,0.3,-0.0,0.0
