t,rd,pd,yd,r,p,y
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.0,0.0,0.0,0.0,0.0,0.0
0.035,0.0,0.0,0.0,-0.0,-0.0,-0.0
0.075,0.0,0.0,0.0,-0.0,-0.0,0.0
0.113,0.0,0.0,0.0,-0.0,-0.0,0.0
0.143,0.0,0.0,0.0,-0.0,-0.0,0.0
0.17,0.0,0.0,0.0,-0.0,-0.0,0.0
0.19,0.0,0.0,0.0,-0.0,0.0,0.0
0.204,0.0,0.0,0.0,-0.0,-0.0,0.0
0.215,0.0,0.0,0.0,-0.0,-0.0,0.0
0.227,0.0,0.0,0.0,0.0,0.0,0.0
0.24,0.0,0.0,0.0,0.0,-0.0,0.0
0.249,0.0,0.0,0.0,0.0,-0.0,0.0
0.268,0.0,0.0,0.0,0.0,0.0,0.0
0.286,0.0,0.0,0.0,0.0,-0.0,0.0
0.309,0.0,0.0,0.0,0.0,-0.0,0.0
0.327,0.0,0.0,0.0,0.0,0.0,0.0
0.341,0.0,0.0,0.0,0.0,-0.0,0.0
0.353,0.0,0.0,0.0,0.0,0.0,0.0
0.371,0.0,0.0,0.0,0.0,0.0,0.0
0.38,0.0,0.0,0.0,0.0,-0.0,0.0
0.393,0.0,0.0,0.0,0.0,0.0,0.0
0.415,0.0,0.0,0.0,0.0,-0.0,0.0
0.442,0.0,0.0,0.0,0.0,-0.0,0.0
0.452,0.0,0.0,0.0,0.0,-0.0,0.0
0.471,0.0,0.0,0.0,0.0,0.0,0.0
0.492,0.0,0.0,0.0,0.0,-0.0,0.0
0.505,0.0,0.0,0.0,0.0,0.0,0.0
0.527,0.0,0.0,0.0,0.0,-0.0,0.0
0.538,0.0,0.0,0.0,0.0,0.0,0.0
0.562,0.0,0.0,0.0,0.0,0.0,0.0
0.579,0.0,0.0,0.0,0.0,-0.0,0.0
0.605,0.0,0.0,0.0,0.0,0.0,0.0
0.629,0.0,0.0,0.0,0.0,-0.0,0.0
0.651,0.0,0.0,0.0,0.0,-0.0,0.0
0.695,0.0,0.0,0.0,0.0,0.0,0.0
0.695,0.0,0.0,0.0,0.0,-0.0,0.0
0.746,0.0,0.0,0.0,0.0,0.0,0.0
0.772,0.0,0.0,0.0,0.0,0.0,0.0
0.778,0.0,0.0,0.0,0.0,0.0,0.0
0.82,0.0,0.0,0.0,0.0,-0.0,0.0
0.851,0.0,0.0,0.0,0.0,-0.0,0.0
0.882,0.0,0.0,0.0,0.0,0.0,0.0
0.909,0.0,0.0,0.0,0.0,0.0,0.0
0.937,0.0,0.0,0.0,0.0,0.0,0.0
0.975,0.0,0.0,0.0,0.0,0.0,0.0
1.003,0.0,0.0,0.0,0.0,0.0,0.0
1.048,0.0,0.0,0.0,0.0,0.0,0.0
1.091,0.0,0.0,0.0,0.0,-0.0,0.0
1.123,0.0,0.0,0.0,0.0,-0.0,0.0
1.162,0.0,0.0,0.0,0.0,-0.0,0.0
1.202,0.0,0.0,0.0,0.0,-0.0,0.0
1.244,0.0,0.0,0.0,0.0,0.0,0.0
1.286,0.0,0.0,0.0,0.0,0.0,0.0
1.329,0.0,0.0,0.0,0.0,-0.0,0.0
1.373,0.0,0.0,0.0,0.0,-0.0,0.0
1.413,0.0,0.0,0.0,0.0,0.0,0.0
1.451,0.0,0.0,0.0,0.0,0.0,0.0
1.487,0.0,0.0,0.0,0.0,0.0,0.0
1.5270000000000001,0.0,0.0,0.0,0.0,0.0,0.0
1.571,0.0,0.0,0.0,0.0,-0.0,0.0
1.6139999999999999,0.0,0.0,0.0,0.0,-0.0,0.0
1.658,0.0,0.0,0.0,0.0,0.0,0.0
1.698,0.0,0.0,0.0,0.0,0.0,0.0
1.733,0.0,0.0,0.0,0.0,0.0,0.0
1.766,0.0,0.0,0.0,0.0,0.0,0.0
1.79,0.0,0.0,0.0,0.0,0.0,0.0
1.822,0.0,0.0,0.0,0.0,0.0,0.0
1.8479999999999999,0.0,0.0,0.0,0.0,-0.0,0.0
1.866,0.0,0.0,0.0,0.0,0.0,0.0
1.888,0.0,0.0,0.0,0.0,0.0,0.0
1.9140000000000001,0.0,0.0,0.0,0.0,-0.0,0.0
1.938,0.0,0.0,0.0,0.0,-0.0,0.0
1.975,0.0,0.0,0.0,0.0,-0.0,0.0
1.995,0.0,0.0,0.0,0.0,0.0,0.0
2.034,0.0,0.0,0.0,0.0,0.0,0.0
2.063,0.0,0.0,0.0,0.0,0.0,0.0
2.087,0.0,0.0,0.0,0.0,-0.0,0.0
2.127,0.0,0.0,0.0,0.0,0.0,0.0
2.163,0.0,0.0,0.0,0.0,0.0,0.0
2.187,0.0,0.0,0.0,0.0,-0.0,0.0
2.206,0.0,0.0,0.0,0.0,0.0,0.0
2.228,0.0,0.0,0.0,0.0,0.0,0.0
2.246,0.0,0.0,0.0,0.0,-0.0,0.0
2.261,0.0,0.0,0.0,0.0,0.0,0.0
2.261,0.0,0.0,0.0,0.0,0.0,0.0
2.329,0.0,0.0,0.0,0.0,0.0,0.0
2.349,0.0,0.0,0.0,0.0,-0.0,0.0
2.376,0.0,0.0,0.0,0.0,0.0,0.0
2.402,0.0,0.0,0.0,0.0,0.0,0.0
2.43,0.0,0.0,0.0,0.0,-0.0,0.0
2.474,0.0,0.0,0.0,-0.0,-0.0,0.0
2.502,0.0,0.0,0.0,-0.0,-0.0,0.0
2.527,0.0,0.0,0.0,-0.0,-0.0,0.0
2.5540000000000003,0.0,0.0,0.0,-0.0,-0.0,0.0
2.572,0.0,0.0,0.0,-0.0,-0.0,0.0
2.607,0.0,0.0,0.0,-0.0,-0.0,0.0
2.637,0.0,0.0,0.0,-0.0,-0.0,0.0
2.667,0.0,0.0,0.0,-0.0,-0.0,0.0
2.693,0.0,0.0,0.0,-0.0,-0.0,0.0
2.731,0.0,0.0,0.0,-0.0,-0.0,0.0
2.759,0.0,0.0,0.0,-0.0,-0.0,0.0
2.803,0.0,0.0,0.0,-0.0,-0.0,0.0
