t,x,y,z,vx,vy,vz
3.624,0.0,0.0,0.0,0.0,0.0,0.0
3.625,0.0,0.0,0.0,0.0,0.0,0.0
3.625,0.0,0.0,0.0,0.0,-0.0,0.01
3.631,0.0,0.0,0.0,0.0,-0.0,0.01
3.631,0.0,0.0,0.0,0.0,-0.0,0.01
3.633,0.0,0.0,0.0,0.0,-0.0,0.01
3.634,0.0,0.0,0.0,0.0,-0.0,0.01
3.635,0.0,0.0,0.0,0.0,-0.0,0.01
3.635,0.0,0.0,0.0,0.0,-0.0,0.01
3.636,0.0,0.0,0.0,0.0,-0.0,0.01
3.638,0.0,0.0,0.0,0.0,-0.0,0.02
3.639,0.0,0.0,0.0,0.0,-0.0,0.02
3.639,0.0,0.0,0.0,0.0,-0.0,0.02
3.641,0.0,0.0,0.0,0.0,-0.0,0.02
3.642,0.0,0.0,0.0,0.0,-0.0,0.02
3.643,0.0,0.0,0.0,0.0,-0.0,0.02
3.644,0.0,0.0,0.0,0.0,-0.0,0.02
3.645,0.0,0.0,0.0,0.0,-0.0,0.02
3.646,0.0,0.0,0.0,0.0,-0.0,0.02
3.647,0.0,0.0,0.0,0.0,-0.0,0.02
3.648,0.0,0.0,0.0,0.0,-0.0,0.02
3.649,0.0,0.0,0.0,0.0,-0.0,0.02
3.650,0.0,0.0,0.0,0.0,-0.0,0.03
3.651,0.0,0.0,0.0,0.0,-0.0,0.03
3.652,0.0,0.0,0.0,0.0,-0.0,0.03
3.653,0.0,0.0,0.0,0.0,-0.0,0.03
3.654,0.0,0.0,0.0,0.0,-0.0,0.03
3.654,0.0,0.0,0.0,0.0,-0.0,0.03
3.656,0.0,0.0,0.0,0.0,-0.0,0.03
3.657,0.0,0.0,0.0,0.0,-0.0,0.03
3.658,0.0,0.0,0.0,0.0,-0.0,0.03
3.659,0.0,0.0,0.0,0.0,-0.0,0.03
3.660,0.0,0.0,0.0,0.0,-0.0,0.03
3.661,0.0,0.0,0.0,0.0,-0.0,0.03
3.661,0.0,0.0,0.0,0.0,-0.0,0.04
3.663,0.0,0.0,0.0,0.0,-0.0,0.04
3.664,0.0,0.0,0.0,0.0,0.0,0.04
3.665,0.0,0.0,0.0,0.0,0.0,0.04
3.666,0.0,0.0,0.0,0.0,0.0,0.04
3.667,0.0,0.0,0.0,0.0,0.0,0.04
3.668,0.0,0.0,0.0,0.0,0.0,0.04
3.669,0.0,0.0,0.0,0.0,0.0,0.04
3.670,0.0,0.0,0.0,0.0,0.0,0.04
3.671,0.0,0.0,0.0,0.0,0.0,0.04
3.672,0.0,0.0,0.0,0.0,0.0,0.04
3.673,0.0,0.0,0.0,0.0,0.0,0.04
3.674,0.0,0.0,0.0,0.0,0.0,0.05
