t,x,y,z,vx,vy,vz
3.571,0.0,0.0,0.0,0.0,0.0,0.0
3.590,0.0,0.0,0.0,0.0,0.0,0.0
3.598,0.0,0.0,0.0,0.0,0.0,0.0
3.601,0.0,0.0,0.0,0.0,0.0,0.0
3.602,0.0,0.0,0.0,0.0,0.0,0.0
3.603,0.0,0.0,0.0,0.0,0.0,0.0
3.604,0.0,0.0,0.0,0.0,0.0,0.0
3.605,0.0,0.0,0.0,0.0,0.0,0.0
3.606,0.0,0.0,0.0,0.0,0.0,0.0
3.607,0.0,0.0,0.0,0.0,0.0,0.0
3.608,0.0,0.0,0.0,0.0,0.0,0.0
3.609,0.0,0.0,0.0,0.0,0.0,0.0
3.610,0.0,0.0,0.0,0.0,0.0,0.0
3.611,0.0,0.0,0.0,0.0,0.0,0.0
3.612,0.0,0.0,0.0,0.0,0.0,0.0
3.613,0.0,0.0,0.0,0.0,0.0,0.0
3.614,0.0,0.0,0.0,0.0,0.0,0.0
3.615,0.0,0.0,0.0,0.0,0.0,0.0
3.616,0.0,0.0,0.0,0.0,0.0,0.0
3.617,0.0,0.0,0.0,0.0,0.0,0.0
3.618,0.0,0.0,0.0,0.0,0.0,0.0
3.621,0.0,0.0,0.0,0.0,0.0,0.0
3.621,0.0,0.0,0.0,0.0,0.0,0.0
3.621,0.0,0.0,0.0,0.0,0.0,0.0
3.623,0.0,0.0,0.0,0.0,0.0,0.0
3.624,0.0,0.0,0.0,0.0,0.0,0.0
3.626,0.0,0.0,0.0,0.0,0.0,0.0
3.626,0.0,0.0,0.0,0.0,0.0,0.0
3.627,0.0,0.0,0.0,0.0,0.0,0.0
3.628,0.0,0.0,0.01,0.0,0.0,0.01
3.629,0.0,0.0,0.01,0.0,0.0,0.01
3.630,0.0,0.0,0.01,0.0,0.0,0.01
3.631,0.0,0.0,0.01,0.0,0.0,0.01
3.632,0.0,0.0,0.01,0.0,0.0,0.01
3.633,0.0,0.0,0.01,0.0,0.0,0.01
3.634,0.0,0.0,0.01,0.0,0.0,0.01
3.635,0.0,0.0,0.01,0.0,0.0,0.01
3.636,0.0,0.0,0.01,0.0,0.0,0.01
3.637,0.0,0.0,0.01,0.0,0.0,0.01
3.638,0.0,0.0,0.01,0.0,0.0,0.01
3.639,0.0,0.0,0.01,0.0,0.0,0.01
3.640,0.0,0.0,0.01,0.0,0.0,0.01
3.641,0.0,0.0,0.01,0.0,0.0,0.01
3.642,0.0,0.0,0.01,0.0,0.0,0.01
3.643,0.0,0.0,0.01,0.0,0.0,0.01
3.644,0.0,0.0,0.01,0.0,0.0,0.01
3.645,0.0,0.0,0.01,0.0,0.0,0.01
3.646,0.0,0.0,0.01,0.0,0.0,0.01
3.647,0.0,0.0,0.01,0.0,0.0,0.01
3.648,0.0,0.0,0.01,0.0,0.0,0.01
3.649,0.0,0.0,0.01,0.0,0.0,0.01
3.650,0.0,0.0,0.01,0.0,0.0,0.01
3.651,0.0,0.0,0.01,0.0,0.0,0.01
3.652,0.0,0.0,0.01,0.0,0.0,0.01
