t,x,y,z
1.502,-0.0,-0.0,40.0
1.527,-0.0,0.0,39.8
1.546,-0.0,0.0,39.19
1.564,-0.0,0.0,38.66
1.589,-0.0,-0.0,37.35
1.607,-0.0,-0.0,37.2
1.625,-0.0,-0.0,36.78
1.647,-0.0,-0.0,35.34
1.675,-0.0,-0.01,32.95
1.702,-0.0,-0.01,32.3
1.724,-0.0,-0.01,32.28
1.751,-0.0,-0.01,29.96
1.773,-0.0,-0.01,31.31
1.787,-0.0,-0.01,33.22
1.808,-0.0,-0.01,30.6
1.826,-0.0,-0.02,29.95
1.844,-0.0,-0.01,31.84
1.856,-0.0,-0.01,31.99
1.873,-0.0,-0.02,30.02
1.893,-0.0,-0.02,27.83
1.914,-0.0,-0.03,26.6
1.938,-0.0,-0.04,24.06
1.960,-0.0,-0.04,24.55
1.984,-0.0,-0.04,22.53
2.003,-0.0,-0.04,25.25
2.024,-0.0,-0.05,23.31
2.045,-0.0,-0.05,22.68
2.062,-0.0,-0.04,25.11
2.090,-0.01,-0.07,16.06
2.106,-0.0,-0.05,24.76
2.126,-0.01,-0.06,21.12
2.151,-0.01,-0.08,16.3
2.171,-0.01,-0.07,19.86
2.195,-0.01,-0.09,15.83
2.222,-0.01,-0.1,12.39
2.237,-0.01,-0.07,22.7
2.259,-0.01,-0.09,15.87
2.280,-0.01,-0.09,16.18
2.299,-0.01,-0.09,17.59
2.324,-0.01,-0.12,11.2
2.353,-0.01,-0.14,6.45
2.381,-0.01,-0.14,6.75
2.398,-0.01,-0.1,17.48
2.422,-0.01,-0.14,9.87
2.454,-0.01,-0.16,4.98
2.477,-0.01,-0.16,5.37
2.503,-0.01,-0.16,5.92
2.525,-0.01,-0.15,9.76
2.543,-0.01,-0.13,13.73
2.565,-0.01,-0.16,8.93
2.583,-0.01,-0.14,12.89
2.616,-0.02,-0.22,-4.49
2.645,-0.02,-0.21,-0.67
2.678,-0.02,-0.23,-5.52
2.709,-0.02,-0.23,-3.62
2.731,-0.02,-0.19,6.33
2.753,-0.02,-0.19,6.04
2.776,-0.02,-0.2,4.47
2.800,-0.02,-0.21,2.86
2.829,-0.02,-0.24,-3.4
2.846,-0.02,-0.18,10.14
2.871,-0.02,-0.22,0.49
2.900,-0.02,-0.25,-5.97
2.937,-0.03,-0.29,-13.45
2.982,-0.03,-0.33,-24.09
3.013,-0.02,-0.27,-7.56
