t,x,y,z
2.474,0.0,0.0,0.0
2.504,0.0,0.0,0.0
2.532,0.0,0.0,0.0
2.557,0.0,0.0,0.0
2.579,0.0,0.0,0.0
2.612,0.0,0.0,0.0
2.642,0.0,0.0,0.0
2.668,0.0,0.0,0.0
2.698,0.0,0.0,0.0
2.735,0.0,0.0,0.0
2.770,0.0,0.0,0.0
2.805,0.0,0.0,0.0
2.836,0.0,0.0,0.0
2.869,0.0,0.0,0.0
2.887,0.0,0.0,0.0
2.923,0.0,0.0,0.0
2.941,0.0,0.0,0.0
2.974,0.0,0.0,0.0
3.008,0.0,0.0,0.0
3.033,0.0,0.0,0.0
3.061,0.0,0.0,0.0
3.096,0.0,0.0,0.0
3.129,0.0,0.0,0.0
3.152,0.0,0.0,0.0
3.179,0.0,0.0,0.0
3.207,0.0,0.0,0.0
3.226,0.0,0.0,0.0
3.250,0.0,0.0,0.0
3.271,0.0,0.0,0.0
3.304,0.0,0.0,0.0
3.329,0.0,0.0,0.0
3.350,0.0,0.0,0.0
3.376,0.0,0.0,0.0
3.401,0.0,0.0,0.0
3.421,0.0,0.0,0.0
3.438,0.0,0.0,0.0
3.461,0.0,0.0,0.0
3.493,0.0,0.0,0.0
3.515,0.0,0.0,0.0
3.527,0.0,0.0,0.0
3.562,0.0,0.0,0.0
3.582,0.0,0.0,0.0
3.606,0.0,0.0,0.0
3.625,0.0,0.0,0.0
3.636,0.0,0.0,0.0
3.659,0.0,0.0,0.0
3.689,0.0,0.0,0.0
3.724,0.0,0.0,0.0
3.756,0.0,0.0,0.0
3.799,0.0,0.0,0.0
3.827,0.0,0.0,0.0
3.845,0.0,0.0,0.0
3.878,0.0,0.0,0.0
3.905,0.0,0.0,0.0
3.929,0.0,0.0,0.0
3.947,0.0,0.0,0.0
3.960,0.0,0.0,0.0
3.990,0.0,0.0,0.0
4.033,0.0,0.0,0.0
4.050,0.0,0.0,0.0
4.074,0.0,0.0,0.0
4.105,0.0,0.0,0.0
4.137,0.0,0.0,0.0
4.152,0.0,0.0,0.0
4.172,0.0,0.0,0.0
4.195,0.0,0.0,0.0
4.220,0.0,0.0,0.0
4.257,0.0,0.0,0.0
4.280,0.0,0.0,0.0
4.294,0.0,0.0,0.0
4.318,0.0,0.0,0.0
4.341,0.0,0.0,0.0
4.367,0.0,0.0,0.0
4.388,0.0,0.0,0.0
4.409,0.0,0.0,0.0
4.429,0.0,0.0,0.0
4.447,0.0,0.0,0.0
4.471,0.0,0.0,0.0
4.505,0.0,0.0,0.0
4.537,0.0,0.0,0.0
4.572,0.0,0.0,0.0
4.598,0.0,0.0,0.0
4.628,0.0,0.0,0.0
4.656,0.0,0.0,0.0
4.687,0.0,0.0,0.0
4.716,0.0,0.0,0.0
4.744,0.0,0.0,0.0
4.780,0.0,0.0,0.0
4.807,0.0,0.0,0.0
4.839,0.0,0.0,0.0
4.874,0.0,0.0,0.0
4.912,0.0,0.0,0.0
4.944,0.0,0.0,0.0
4.997,0.0,0.0,0.0
5.021,0.0,0.0,0.0
5.069,0.0,0.0,0.0
5.115,0.0,0.0,0.0
5.144,0.0,0.0,0.0
5.162,0.0,0.0,0.0
5.176,0.0,0.0,0.0
5.187,0.0,0.0,0.0
5.200,0.0,0.0,0.0
5.211,0.0,0.0,0.0
5.236,0.0,0.0,0.0
5.261,0.0,0.0,0.0
5.292,0.0,0.0,0.0
5.309,0.0,0.0,0.0
5.344,0.0,0.0,0.0
5.364,0.0,0.0,0.0
5.381,0.0,0.0,0.0
5.399,0.0,0.0,0.0
5.413,0.0,0.0,0.0
5.439,0.0,0.0,0.0
5.460,0.0,0.0,0.0
5.495,0.0,0.0,0.0
5.520,0.0,0.0,0.0
5.543,0.0,0.0,0.0
5.570,0.0,0.0,0.0
5.592,0.0,0.0,0.0
5.615,0.0,0.0,0.0
5.658,0.0,0.0,0.0
5.670,0.0,0.0,0.0
5.726,0.0,0.0,0.0
5.766,0.0,0.0,0.0
5.796,0.0,-0.0,0.0
5.807,0.0,-0.0,0.0
5.826,0.0,-0.0,0.0
5.851,0.0,-0.0,0.0
5.871,0.0,-0.0,0.0
5.895,0.0,-0.0,0.0
5.929,0.0,-0.0,0.0
5.966,0.0,-0.0,0.0
5.983,0.0,-0.0,0.0
5.997,0.0,-0.0,0.0
6.009,0.0,-0.0,0.0
6.013,0.0,-0.0,0.0
6.033,0.0,-0.0,0.0
6.045,0.0,-0.0,0.0
6.059,0.0,-0.0,0.0
6.074,0.0,-0.0,0.0
6.085,0.0,-0.0,0.0
6.100,0.0,-0.0,0.0
6.123,0.0,-0.0,0.0
6.148,0.0,-0.0,0.0
6.169,0.0,-0.0,0.0
6.190,0.0,-0.0,0.0
6.204,0.0,-0.0,0.0
6.222,0.0,-0.0,0.0
6.235,0.0,-0.0,0.0
6.255,0.0,-0.0,0.0
6.282,0.0,-0.0,0.0
6.303,0.0,-0.0,0.0
6.337,0.0,-0.0,0.0
6.370,0.0,-0.0,0.0
6.413,0.0,-0.0,0.0
6.451,0.0,-0.0,0.0
6.478,0.0,-0.0,0.0
6.504,0.0,-0.0,0.0
6.537,0.0,-0.0,0.0
6.573,0.0,-0.0,0.0
6.611,0.0,-0.0,0.0
6.642,0.0,-0.0,0.0
6.677,0.0,-0.0,0.0
6.706,0.0,-0.0,0.0
6.728,0.0,-0.0,0.0
6.757,0.0,-0.0,0.0
6.783,0.0,-0.0,0.0
6.818,0.0,-0.0,0.0
6.846,0.0,-0.0,0.0
6.873,0.0,-0.0,0.0
6.891,0.0,-0.0,0.0
6.917,0.0,-0.0,0.0
6.951,0.0,-0.0,0.0
6.980,0.0,-0.0,0.0
7.012,0.0,-0.0,0.0
