t,x,y,z
3.032,-0.0,-0.0,40.01
3.063,-0.0,0.0,39.16
3.074,-0.0,0.0,39.3
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
3.074,-0.0,0.0,39.98
