t,x,y,z,vx,vy,vz
0.008,3.0,0.0,0.1,0.0,0.0,0.0
0.008,3.0,0.0,0.1,0.0,0.0,0.0
0.030,3.0,0.0,0.1,0.0,0.0,0.0
0.041,3.0,0.0,0.09,0.0,0.0,0.0
0.051,3.0,0.0,0.09,0.0,-0.0,0.0
0.060,3.0,0.0,0.08,0.0,-0.0,0.0
0.071,3.0,-0.0,0.08,0.0,-0.0,0.0
0.081,3.0,-0.0,0.07,0.0,-0.0,0.0
0.086,3.0,-0.0,0.06,0.0,-0.0,0.0
0.101,3.0,-0.0,0.05,0.0,-0.0,0.0
0.111,3.0,-0.0,0.04,0.0,-0.0,0.0
0.120,3.0,-0.0,0.03,-0.0,0.0,0.0
0.130,3.0,-0.0,0.02,-0.0,-0.0,0.0
0.137,3.0,-0.0,0.0,-0.0,-0.0,0.0
0.151,3.0,-0.0,-0.0,-0.0,0.0,0.0
0.156,3.0,-0.0,-0.0,-0.0,0.0,0.0
0.170,3.0,-0.0,-0.0,-0.0,0.0,0.0
0.181,3.0,-0.0,-0.0,-0.0,0.0,0.0
0.191,3.0,-0.0,0.0,-0.0,0.0,0.0
0.201,3.0,-0.0,0.0,-0.0,0.0,0.0
0.211,3.0,-0.0,0.0,0.05,0.0,0.0
0.221,3.0,-0.0,0.0,0.11,-0.0,0.0
0.231,3.0,-0.0,0.0,0.16,-0.0,0.0
0.241,3.01,-0.0,0.0,0.22,-0.0,0.0
0.251,3.01,-0.0,0.0,0.27,-0.0,0.0
0.261,3.01,-0.0,0.0,0.3,-0.0,0.0
0.271,3.01,-0.0,0.0,0.3,-0.0,0.0
0.281,3.02,-0.0,0.0,0.3,-0.0,0.0
0.291,3.02,-0.0,0.0,0.3,-0.0,0.0
0.301,3.02,-0.0,0.0,0.3,-0.0,0.0
0.310,3.03,-0.0,0.0,0.3,-0.0,0.0
0.321,3.03,-0.0,0.0,0.3,-0.0,0.0
0.331,3.03,-0.0,0.0,0.3,-0.0,0.0
0.341,3.04,-0.0,0.0,0.3,-0.0,0.0
0.351,3.04,-0.0,0.0,0.3,-0.0,0.0
0.361,3.04,-0.0,0.0,0.3,-0.0,0.0
0.371,3.04,-0.0,0.0,0.3,-0.0,0.0
0.379,3.05,-0.0,0.0,0.3,-0.0,0.0
0.391,3.05,-0.0,0.0,0.3,-0.0,0.0
0.401,3.05,-0.0,0.0,0.3,-0.0,0.0
0.409,3.06,-0.0,0.0,0.3,-0.0,0.0
0.421,3.06,-0.0,-0.0,0.3,-0.0,0.0
0.426,3.06,-0.0,-0.0,0.3,-0.0,0.0
0.441,3.07,-0.0,-0.0,0.3,-0.0,0.0
0.451,3.07,-0.0,-0.0,0.3,-0.0,0.0
0.461,3.07,-0.0,0.0,0.46,-0.01,0.0
0.471,3.08,-0.0,0.0,0.49,-0.01,0.0
0.481,3.08,-0.0,0.0,0.51,-0.01,0.0
0.491,3.09,-0.0,0.0,0.49,-0.0,0.0
0.501,3.09,-0.0,-0.0,0.37,-0.0,0.0
0.510,3.1,-0.0,-0.0,0.33,-0.0,0.0
0.519,3.1,-0.0,-0.0,0.3,0.0,0.0
0.530,3.1,-0.0,-0.0,0.3,0.0,0.0
0.541,3.1,-0.0,-0.0,0.3,0.0,0.0
0.551,3.11,-0.0,-0.0,0.3,-0.0,0.0
0.556,3.11,-0.0,-0.0,0.3,0.0,0.0
0.571,3.11,-0.0,-0.0,0.3,-0.0,0.0
0.581,3.12,-0.0,-0.0,0.3,-0.0,0.0
0.591,3.12,-0.0,-0.0,0.3,0.0,0.0
0.602,3.12,0.0,-0.0,0.3,0.0,0.0
0.611,3.13,0.0,-0.0,0.3,0.0,0.0
0.621,3.13,0.0,-0.0,0.3,0.0,0.0
0.631,3.13,0.0,-0.0,0.3,0.0,0.0
0.641,3.13,0.0,-0.0,0.3,-0.0,0.0
0.651,3.14,0.0,-0.0,0.3,0.0,0.0
0.661,3.14,0.0,-0.0,0.3,0.0,0.0
0.671,3.14,0.0,-0.0,0.3,0.0,0.0
0.681,3.15,0.0,-0.0,0.3,0.0,0.0
0.691,3.15,0.0,-0.0,0.3,0.0,0.0
0.701,3.15,0.0,-0.0,0.3,0.0,0.0
0.711,3.16,0.0,-0.0,0.3,0.0,0.0
0.721,3.16,0.0,-0.0,0.3,0.0,0.0
0.731,3.16,0.0,-0.0,0.3,-0.0,0.0
0.741,3.16,0.0,-0.0,0.3,0.0,0.0
0.751,3.17,0.0,-0.0,0.3,0.0,0.0
0.761,3.17,0.0,-0.0,0.3,0.0,0.0
0.771,3.17,0.0,-0.0,0.3,0.0,0.0
0.781,3.18,0.0,-0.0,0.3,0.0,0.0
0.791,3.18,0.0,-0.0,0.3,0.0,0.0
0.801,3.18,0.0,-0.0,0.3,0.0,0.0
0.811,3.19,0.0,-0.0,0.3,0.0,0.0
0.822,3.19,0.0,-0.0,0.3,0.0,0.0
0.831,3.19,0.0,-0.0,0.3,0.0,0.0
0.841,3.19,0.0,-0.0,0.3,-0.0,0.0
0.851,3.2,0.0,-0.0,0.3,0.0,0.0
0.861,3.2,0.0,-0.0,0.3,0.0,0.0
0.871,3.2,0.0,-0.0,0.3,0.0,0.0
0.882,3.21,0.0,-0.0,0.3,0.0,0.0
0.891,3.21,0.0,-0.0,0.3,0.0,0.0
0.901,3.21,0.0,-0.0,0.3,0.0,0.0
0.911,3.22,0.0,-0.0,0.3,0.0,0.0
0.921,3.22,0.0,-0.0,0.3,0.0,0.0
0.931,3.22,0.0,-0.0,0.3,0.0,0.0
0.941,3.22,0.0,-0.0,0.3,0.0,0.0
0.951,3.23,0.0,-0.0,0.3,-0.0,0.0
0.961,3.23,0.0,-0.0,0.3,0.0,0.0
0.970,3.23,0.0,-0.0,0.3,0.0,0.0
0.981,3.24,0.0,-0.0,0.3,0.0,0.0
0.991,3.24,0.0,-0.0,0.3,0.0,0.0
1.001,3.24,0.0,-0.0,0.3,0.0,0.0
1.011,3.25,0.0,-0.0,0.3,0.0,0.0
1.021,3.25,0.0,-0.0,0.3,0.0,0.0
1.031,3.25,0.0,-0.0,0.3,0.0,0.0
1.041,3.25,0.0,-0.0,0.3,0.0,0.0
1.051,3.26,0.0,-0.0,0.3,0.0,0.0
1.061,3.26,0.0,-0.0,0.3,0.0,0.0
1.071,3.26,0.0,-0.0,0.3,0.0,0.0
1.081,3.27,0.0,-0.0,0.3,0.0,0.0
1.091,3.27,0.0,-0.0,0.3,0.0,0.0
1.101,3.27,0.0,-0.0,0.3,0.0,0.0
1.109,3.28,0.0,-0.0,0.3,0.0,0.0
1.121,3.28,0.0,-0.0,0.3,0.0,0.0
1.131,3.28,0.0,-0.0,0.3,0.0,0.0
1.141,3.28,0.0,-0.0,0.3,0.0,0.0
1.151,3.29,0.0,-0.0,0.3,0.0,0.0
1.161,3.29,0.0,-0.0,0.3,0.0,0.0
1.171,3.29,0.0,-0.0,0.3,0.0,0.0
1.181,3.3,0.0,-0.0,0.3,0.0,0.0
1.191,3.3,0.0,-0.0,0.3,0.0,0.0
1.201,3.3,0.0,-0.0,0.3,0.0,0.0
1.211,3.31,0.0,-0.0,0.3,0.0,0.0
1.221,3.31,0.0,-0.0,0.3,0.0,0.0
1.229,3.31,0.0,-0.0,0.3,0.0,0.0
1.241,3.31,0.0,-0.0,0.3,0.0,0.0
1.251,3.32,0.0,-0.0,0.3,0.0,0.0
1.261,3.32,0.0,-0.0,0.3,0.0,0.0
1.271,3.32,0.0,-0.0,0.3,0.0,0.0
1.281,3.33,0.0,-0.0,0.3,0.0,0.0
1.291,3.33,0.0,-0.0,0.3,0.0,0.0
1.293,3.33,0.0,-0.0,0.3,0.0,0.0
1.311,3.34,0.0,-0.0,0.3,0.0,0.0
1.321,3.34,0.0,-0.0,0.3,0.0,0.0
1.331,3.34,0.0,-0.0,0.3,0.0,0.0
1.341,3.34,0.0,-0.0,0.3,0.0,0.0
1.351,3.35,0.0,-0.0,0.3,0.0,0.0
1.361,3.35,0.0,-0.0,0.3,0.0,0.0
1.371,3.35,0.0,-0.0,0.3,0.0,0.0
1.381,3.36,0.0,-0.0,0.3,0.0,0.0
1.391,3.36,0.0,-0.0,0.3,0.0,0.0
1.401,3.36,0.0,-0.0,0.3,-0.0,0.0
1.411,3.37,0.0,-0.0,0.3,0.0,0.0
1.416,3.37,0.0,-0.0,0.3,0.0,0.0
1.431,3.37,0.0,-0.0,0.3,0.0,0.0
1.441,3.37,0.0,-0.0,0.3,0.0,0.0
1.451,3.38,0.0,-0.0,0.3,0.0,0.0
1.461,3.38,0.0,-0.0,0.3,0.0,0.0
1.471,3.38,0.0,-0.0,0.3,0.0,0.0
1.481,3.39,0.0,-0.0,0.3,0.0,0.0
1.491,3.39,0.0,-0.0,0.3,-0.0,0.0
1.501,3.39,0.0,-0.0,0.3,0.0,0.0
1.511,3.4,0.0,-0.0,0.3,0.0,0.0
1.521,3.4,0.0,-0.0,0.3,0.0,0.0
1.531,3.4,0.0,-0.0,0.3,0.0,0.0
1.541,3.4,0.0,-0.0,0.3,0.0,0.0
1.551,3.41,0.0,-0.0,0.3,0.0,0.0
1.561,3.41,0.0,-0.0,0.3,0.0,0.0
1.571,3.41,0.0,-0.0,0.3,0.0,0.0
1.581,3.42,0.0,-0.0,0.3,0.0,0.0
1.591,3.42,0.0,-0.0,0.3,0.0,0.0
1.601,3.42,0.0,-0.0,0.3,0.0,0.0
1.611,3.43,0.0,-0.0,0.3,0.0,0.0
1.621,3.43,0.0,-0.0,0.3,0.0,0.0
1.631,3.43,0.0,-0.0,0.3,0.0,0.0
1.641,3.43,0.0,-0.0,0.3,0.0,0.0
1.651,3.44,0.0,-0.0,0.3,0.0,0.0
1.661,3.44,0.0,-0.0,0.3,0.0,0.0
1.671,3.44,0.0,-0.0,0.3,0.0,0.0
1.681,3.45,0.0,-0.0,0.3,0.0,0.0
1.691,3.45,0.0,-0.0,0.3,-0.0,0.0
1.701,3.45,0.0,-0.0,0.3,0.0,0.0
1.711,3.46,0.0,-0.0,0.3,0.0,0.0
1.721,3.46,0.0,-0.0,0.3,0.0,0.0
1.731,3.46,0.0,-0.0,0.3,0.0,0.0
1.741,3.46,0.0,-0.0,0.3,0.0,0.0
1.751,3.47,0.0,-0.0,0.3,0.0,0.0
1.761,3.47,0.0,-0.0,0.3,0.0,0.0
1.769,3.47,0.0,-0.0,0.3,0.0,0.0
1.781,3.48,0.0,-0.0,0.3,0.0,0.0
1.791,3.48,0.0,-0.0,0.3,0.0,0.0
1.801,3.48,0.0,-0.0,0.3,-0.0,0.0
1.809,3.49,0.0,-0.0,0.3,0.0,0.0
1.822,3.49,0.0,-0.0,0.3,0.0,0.0
1.831,3.49,0.0,-0.0,0.3,0.0,0.0
1.841,3.49,0.0,-0.0,0.3,0.0,0.0
1.851,3.5,0.0,-0.0,0.3,0.0,0.0
1.856,3.5,0.0,-0.0,0.3,0.0,0.0
1.871,3.5,0.0,-0.0,0.3,0.0,0.0
1.881,3.51,0.0,-0.0,0.3,0.0,0.0
1.891,3.51,0.0,-0.0,0.3,0.0,0.0
1.901,3.51,0.0,-0.0,0.3,0.0,0.0
1.911,3.52,0.0,-0.0,0.3,0.0,0.0
1.922,3.52,0.0,-0.0,0.3,0.0,0.0
1.931,3.52,0.0,-0.0,0.3,0.0,0.0
1.941,3.52,0.0,-0.0,0.3,0.0,0.0
1.951,3.53,0.0,-0.0,0.3,0.0,0.0
1.960,3.53,0.0,-0.0,0.3,0.0,0.0
1.971,3.53,0.0,-0.0,0.3,0.0,0.0
1.981,3.54,0.0,-0.0,0.3,0.0,0.0
1.991,3.54,0.0,-0.0,0.3,0.0,0.0
2.001,3.54,0.0,-0.0,0.3,0.0,0.0
2.012,3.55,0.0,-0.0,0.3,0.0,0.0
2.021,3.55,0.0,-0.0,0.3,0.0,0.0
2.031,3.55,0.0,-0.0,0.3,-0.0,0.0
2.033,3.55,0.0,-0.0,0.3,0.0,0.0
2.033,3.56,0.0,-0.0,0.3,0.0,0.0
2.061,3.56,0.0,-0.0,0.3,0.0,0.0
2.071,3.56,0.0,-0.0,0.3,0.0,0.0
2.081,3.57,0.0,-0.0,0.3,0.0,0.0
2.091,3.57,0.0,-0.0,0.3,0.0,0.0
2.101,3.57,0.0,-0.0,0.3,0.0,0.0
2.111,3.58,0.0,-0.0,0.3,0.0,0.0
2.112,3.58,0.0,-0.0,0.3,0.0,0.0
2.127,3.58,0.0,-0.0,0.3,0.0,0.0
2.142,3.58,0.0,-0.0,0.3,0.0,0.0
2.151,3.59,0.01,-0.0,0.3,0.0,0.0
2.161,3.59,0.01,-0.0,0.3,0.0,0.0
2.171,3.59,0.01,-0.0,0.3,0.0,0.0
2.181,3.6,0.01,-0.0,0.3,0.0,0.0
2.191,3.6,0.01,-0.0,0.3,0.0,0.0
2.201,3.6,0.01,-0.0,0.3,0.0,0.0
