t,rd,pd,yd,r,p,y
0.562,0.0,0.0,0.0,0.0,-0.0,0.0
0.592,0.0,0.0,0.0,0.0,-0.0,0.0
0.632,0.0,0.0,0.0,0.0,-0.0,0.0
0.673,0.0,0.0,0.0,0.0,0.0,0.0
0.716,0.0,0.0,0.0,0.0,0.0,0.0
0.763,0.0,0.0,0.0,0.0,-0.0,0.0
0.813,0.0,0.0,0.0,0.0,0.0,0.0
0.858,0.0,0.0,0.0,0.0,-0.0,0.0
0.908,0.0,0.0,0.0,0.0,0.0,0.0
0.956,0.0,0.0,0.0,0.0,0.0,0.0
1.001,0.0,0.0,0.0,0.0,-0.0,0.0
1.043,0.0,0.0,0.0,0.0,0.0,0.0
1.083,0.0,0.0,0.0,0.0,0.0,0.0
1.124,0.0,0.0,0.0,0.0,0.0,0.0
1.163,0.0,0.0,0.0,0.0,-0.0,0.0
1.199,0.0,0.0,0.0,0.0,-0.0,0.0
1.246,0.0,0.0,0.0,0.0,-0.0,0.0
1.287,0.0,0.0,0.0,0.0,0.0,0.0
1.333,0.0,0.0,0.0,0.0,-0.0,0.0
1.3719999999999999,0.0,0.0,0.0,0.0,-0.0,0.0
1.412,0.0,0.0,0.0,0.0,-0.0,0.0
1.457,0.0,0.0,0.0,0.0,0.0,0.0
1.5070000000000001,0.0,0.0,0.0,0.0,-0.0,0.0
1.545,0.0,0.0,0.0,0.0,-0.0,0.0
1.5819999999999999,0.0,0.0,0.0,0.0,-0.0,0.0
1.613,0.0,0.0,0.0,0.0,-0.0,0.0
1.653,0.0,0.0,0.0,0.0,-0.0,0.0
1.686,0.0,0.0,0.0,0.0,-0.0,0.0
1.732,0.0,0.0,0.0,0.0,0.0,0.0
1.7690000000000001,0.0,0.0,0.0,0.0,0.0,0.0
1.804,0.0,0.0,0.0,0.0,0.0,0.0
1.843,0.0,0.0,0.0,0.0,-0.0,0.0
1.881,0.0,0.0,0.0,0.0,-0.0,0.0
1.915,0.0,0.0,0.0,0.0,-0.0,0.0
1.947,0.0,0.0,0.0,0.0,-0.0,0.0
1.972,0.0,0.0,0.0,0.0,0.0,0.0
2.008,0.0,0.0,0.0,0.0,0.0,0.0
2.032,0.0,0.0,0.0,0.0,0.0,0.0
2.069,0.0,0.0,0.0,0.0,0.0,0.0
2.096,0.0,0.0,0.0,0.0,-0.0,0.0
2.127,0.0,0.0,0.0,0.0,0.0,0.0
2.161,0.0,0.0,0.0,0.0,-0.0,0.0
2.199,0.0,0.0,0.0,0.0,-0.0,0.0
2.237,0.0,0.0,0.0,0.0,0.0,0.0
2.278,0.0,0.0,0.0,0.0,0.0,0.0
2.311,0.0,0.0,0.0,0.0,0.0,0.0
2.342,0.0,0.0,0.0,0.0,0.0,0.0
2.386,0.0,0.0,0.0,0.0,-0.0,0.0
2.413,0.0,0.0,0.0,0.0,0.0,0.0
2.443,0.0,0.0,0.0,0.0,0.0,0.0
2.48,0.0,0.0,0.0,0.0,0.0,0.0
2.518,0.0,0.0,0.0,0.0,0.0,0.0
2.561,0.0,0.0,0.0,0.0,-0.0,0.0
2.605,0.0,0.0,0.0,0.0,-0.0,0.0
2.642,0.0,0.0,0.0,0.0,0.0,0.0
2.676,0.0,0.0,0.0,0.0,0.0,0.0
2.711,0.0,0.0,0.0,0.0,0.0,0.0
2.739,0.0,0.0,0.0,0.0,-0.0,0.0
2.765,0.0,0.0,0.0,0.0,-0.0,0.0
2.794,0.0,0.0,0.0,0.0,-0.0,0.0
2.832,0.0,0.0,0.0,0.0,-0.0,0.0
2.874,0.0,0.0,0.0,0.0,-0.0,0.0
2.912,0.0,0.0,0.0,0.0,-0.0,0.0
2.952,0.0,0.0,0.0,0.0,0.0,0.0
3.001,0.0,0.0,0.0,0.0,-0.0,0.0
3.041,0.0,0.0,0.0,0.0,-0.0,0.0
3.077,0.0,0.0,0.0,0.0,-0.0,0.0
3.114,0.0,0.0,0.0,0.0,-0.0,0.0
3.152,0.0,0.0,0.0,0.0,0.0,0.0
3.191,0.0,0.0,0.0,0.0,0.0,0.0
3.229,0.0,0.0,0.0,0.0,0.0,0.0
3.266,0.0,0.0,0.0,0.0,0.0,0.0
3.304,0.0,0.0,0.0,0.0,-0.0,0.0
3.342,0.0,0.0,0.0,0.0,-0.0,0.0
3.379,0.0,0.0,0.0,0.0,-0.0,0.0
3.414,0.0,0.0,0.0,0.0,-0.0,0.0
3.445,0.0,0.0,0.0,0.0,-0.0,0.0
3.48,0.0,0.0,0.0,0.0,-0.0,0.0
3.516,0.0,0.0,0.0,0.0,-0.0,0.0
3.555,0.0,0.0,0.0,0.0,-0.0,0.0
3.59,0.0,0.0,0.0,0.0,-0.0,0.0
3.633,0.0,0.0,0.0,0.0,0.0,0.0
3.667,0.0,0.0,0.0,0.0,0.0,0.0
3.705,0.0,0.0,0.0,0.0,0.0,0.0
3.734,0.0,0.0,0.0,0.0,0.0,0.0
3.766,0.0,0.0,0.0,0.0,0.0,0.0
3.791,0.0,0.0,0.0,0.0,-0.0,0.0
3.836,0.0,0.0,0.0,0.0,0.0,0.0
3.887,0.0,0.0,0.0,0.0,-0.0,0.0
3.93,0.0,0.0,0.0,0.0,-0.0,0.0
3.976,0.0,0.0,0.0,0.0,0.0,0.0
4.01,0.0,0.0,0.0,0.0,0.0,0.0
4.044,0.0,0.0,0.0,0.0,0.0,0.0
4.075,0.0,0.0,0.0,0.0,0.0,0.0
4.113,0.0,0.0,0.0,0.0,0.0,0.0
4.151,0.0,0.0,0.0,0.0,0.0,0.0
4.19,0.0,0.0,0.0,0.0,-0.0,0.0
4.221,0.0,0.0,0.0,0.0,0.0,0.0
4.245,0.0,0.0,0.0,0.0,0.0,0.0
4.27,0.0,0.0,0.0,0.0,-0.0,0.0
4.285,0.0,0.0,0.0,-0.0,-0.0,0.0
4.318,0.0,0.0,0.0,-0.0,-0.0,0.0
4.361,0.0,0.0,0.0,-0.0,-0.0,0.0
4.404,0.0,0.0,0.0,-0.0,-0.0,0.0
4.435,0.0,0.0,0.0,-0.0,-0.0,0.0
4.459,0.0,0.0,0.0,-0.0,-0.0,0.0
4.481,0.0,0.0,0.0,-0.0,-0.0,0.0
4.504,0.0,0.0,0.0,-0.0,-0.0,0.0
4.538,0.0,0.0,0.0,-0.0,-0.0,0.0
4.579,0.0,0.0,0.0,-0.0,-0.0,0.0
4.605,0.0,0.0,0.0,-0.0,-0.0,0.0
4.628,0.0,0.0,0.0,-0.0,-0.0,0.0
4.663,0.0,0.0,0.0,-0.0,-0.0,0.0
4.7059999999999995,0.0,0.0,0.0,-0.0,-0.0,0.0
4.733,0.0,0.0,0.0,-0.0,-0.0,0.0
4.761,0.0,0.0,0.0,-0.0,-0.0,0.0
4.784,0.0,0.0,0.0,-0.0,-0.0,0.0
4.8149999999999995,0.0,0.0,0.0,-0.0,-0.0,0.0
4.854,0.0,0.0,0.0,-0.0,-0.0,0.0
4.888,0.0,0.0,0.0,-0.0,-0.0,0.0
4.915,0.0,0.0,0.0,-0.0,-0.0,0.0
4.949,0.0,0.0,0.0,-0.0,-0.0,0.0
4.985,0.0,0.0,0.0,-0.0,-0.0,0.0
5.021,0.0,0.0,0.0,-0.0,-0.0,0.0
5.056,0.0,0.0,0.0,-0.0,-0.0,0.0
5.093,0.0,0.0,0.0,-0.0,-0.0,0.0
5.118,0.0,0.0,0.0,-0.0,-0.0,0.0
5.152,0.0,0.0,0.0,-0.0,-0.0,0.0
5.178,0.0,0.0,0.0,-0.0,-0.0,0.0
5.22,0.0,0.0,0.0,-0.0,-0.0,0.0
5.257,0.0,0.0,0.0,-0.0,-0.0,0.0
5.295,0.0,0.0,0.0,-0.0,-0.0,0.0
5.326,0.0,0.0,0.0,-0.0,-0.0,0.0
5.369,0.0,0.0,0.0,-0.0,-0.0,0.0
5.415,0.0,0.0,0.0,-0.0,-0.0,0.0
5.458,0.0,0.0,0.0,-0.0,-0.0,0.0
5.496,0.0,0.0,0.0,-0.0,-0.0,0.0
5.535,0.0,0.0,0.0,0.0,0.0,0.0
5.578,0.0,0.0,0.0,0.0,0.0,0.0
5.608,0.0,0.0,0.0,0.0,0.0,0.0
5.651,0.0,0.0,0.0,0.0,0.0,0.0
5.686,0.0,0.0,0.0,0.0,0.0,0.0
5.721,0.0,0.0,0.0,0.0,0.0,0.0
5.766,0.0,0.0,0.0,0.0,0.0,0.0
5.801,0.0,0.0,0.0,0.0,0.0,0.0
5.839,0.0,0.0,0.0,0.0,0.0,0.0
5.88,0.0,0.0,0.0,0.0,0.0,0.0
5.914,0.0,0.0,0.0,0.0,0.0,0.0
5.944,0.0,0.0,0.0,0.0,0.0,0.0
5.973,0.0,0.0,0.0,0.0,0.0,0.0
6.014,0.0,0.0,0.0,0.0,0.0,0.0
6.05,0.0,0.0,0.0,0.0,0.0,0.0
6.09,0.0,0.0,0.0,0.0,0.0,0.0
