t,x,y,z,vx,vy,vz
3.019,0.0,0.0,-0.0,0.0,-0.0,-0.0
3.020,0.0,0.0,-0.0,-0.0,0.0,0.0
3.021,0.0,0.0,-0.0,0.0,0.0,-0.0
3.022,0.0,0.0,0.0,-0.0,0.0,0.0
3.023,0.0,0.0,-0.0,0.0,-0.0,-0.0
3.024,0.0,0.0,-0.0,-0.0,0.0,0.0
3.025,0.0,0.0,-0.0,0.0,0.0,-0.0
3.026,0.0,0.0,0.0,-0.0,0.0,0.0
3.026,0.0,0.0,-0.0,0.0,-0.0,-0.0
3.028,0.0,0.0,-0.0,-0.0,0.0,0.0
3.029,0.0,0.0,-0.0,0.0,0.0,-0.0
3.030,0.0,0.0,0.0,-0.0,0.0,0.0
3.031,0.0,0.0,-0.0,0.0,-0.0,-0.0
3.032,0.0,0.0,-0.0,-0.0,0.0,0.0
3.032,0.0,0.0,-0.0,0.0,0.0,-0.0
3.036,0.0,0.0,0.0,0.0,-0.0,0.0
3.036,0.0,0.0,0.0,0.0,-0.0,0.0
3.038,0.0,0.0,0.0,0.0,-0.0,0.0
3.038,0.0,0.0,0.0,0.0,-0.0,0.01
3.040,0.0,0.0,0.0,0.0,-0.0,0.01
3.041,0.0,0.0,0.0,0.0,-0.0,0.01
3.041,0.0,0.0,0.0,0.0,-0.0,0.01
3.043,0.0,0.0,0.0,0.0,-0.0,0.01
3.045,0.0,0.0,0.0,0.0,-0.0,0.01
3.046,0.0,0.0,0.0,0.0,-0.0,0.01
3.047,0.0,0.0,0.0,0.0,-0.0,0.01
3.048,0.0,0.0,0.0,0.0,-0.0,0.01
3.049,0.0,0.0,0.0,0.0,-0.0,0.01
3.049,0.0,0.0,0.0,0.0,-0.0,0.02
3.051,0.0,0.0,0.0,0.0,-0.0,0.02
3.051,0.0,0.0,0.0,0.0,-0.0,0.02
3.052,0.0,0.0,0.0,0.0,-0.0,0.02
3.054,0.0,0.0,0.0,0.0,-0.0,0.02
3.054,0.0,0.0,0.0,0.0,-0.0,0.02
3.056,0.0,0.0,0.0,0.0,-0.0,0.02
3.058,0.0,0.0,0.0,0.0,-0.0,0.02
3.059,0.0,0.0,0.0,0.0,-0.0,0.02
3.061,0.0,0.0,0.0,0.0,-0.0,0.02
3.061,0.0,0.0,0.0,0.0,-0.0,0.02
3.061,0.0,0.0,0.0,0.0,-0.0,0.03
3.063,0.0,0.0,0.0,0.0,-0.0,0.03
3.063,0.0,0.0,0.0,0.0,-0.0,0.03
3.065,0.0,0.0,0.0,0.0,-0.0,0.03
3.066,0.0,0.0,0.0,0.0,-0.0,0.03
3.066,0.0,0.0,0.0,0.0,-0.0,0.03
3.068,0.0,0.0,0.0,0.0,-0.0,0.03
3.069,0.0,-0.0,0.0,0.0,-0.0,0.03
3.070,0.0,-0.0,0.0,0.0,-0.0,0.03
3.071,0.0,-0.0,0.0,0.0,-0.0,0.03
3.072,0.0,-0.0,0.0,0.0,-0.0,0.03
3.073,0.0,-0.0,0.0,0.0,-0.0,0.03
3.074,0.0,-0.0,0.0,0.0,-0.0,0.04
3.074,0.0,-0.0,0.0,0.0,-0.0,0.04
3.074,0.0,-0.0,0.0,0.0,-0.0,0.04
3.077,0.0,-0.0,0.0,0.0,-0.0,0.04
3.079,0.0,-0.0,0.0,0.0,-0.0,0.04
3.080,0.0,-0.0,0.0,0.0,-0.0,0.04
3.081,0.0,-0.0,0.0,0.0,0.0,0.04
3.082,0.0,-0.0,0.0,0.0,0.0,0.04
3.083,0.0,-0.0,0.0,0.0,0.0,0.04
3.084,0.0,-0.0,0.0,0.0,0.0,0.04
3.085,0.0,-0.0,0.0,0.0,0.0,0.04
3.086,0.0,-0.0,0.0,0.0,0.0,0.05
3.087,0.0,-0.0,0.0,0.0,0.0,0.05
3.088,0.0,-0.0,0.0,0.0,0.0,0.05
3.089,0.0,-0.0,0.0,0.0,0.0,0.05
3.090,0.0,-0.0,0.0,0.0,0.0,0.05
3.091,0.0,-0.0,0.0,0.0,0.0,0.05
3.092,0.0,0.0,0.0,0.0,0.0,0.05
3.093,0.0,0.0,0.0,0.0,0.0,0.05
3.094,0.0,0.0,0.0,0.0,0.0,0.05
3.094,0.0,0.0,0.0,0.0,0.0,0.05
3.096,0.0,0.0,0.0,0.0,0.0,0.05
3.099,0.0,0.0,0.0,0.0,0.0,0.05
3.099,0.0,0.0,0.0,0.0,0.0,0.06
3.099,0.0,0.0,0.0,0.0,0.0,0.06
3.100,0.0,0.0,0.0,0.0,0.0,0.06
3.101,0.0,0.0,0.0,0.0,0.0,0.06
3.102,0.0,0.0,0.0,0.0,0.0,0.06
3.103,0.0,0.0,0.0,0.0,0.0,0.06
3.104,0.0,0.0,0.0,0.0,0.0,0.06
3.105,0.0,0.0,0.0,0.0,0.0,0.06
3.106,0.0,0.0,0.0,0.0,0.0,0.06
3.107,0.0,0.0,0.0,0.0,0.0,0.06
3.108,0.0,0.0,0.0,0.0,0.0,0.06
3.109,0.0,0.0,0.0,0.0,0.0,0.06
3.110,0.0,0.0,0.0,0.0,0.0,0.07
3.111,0.0,0.0,0.0,0.0,0.0,0.07
3.112,0.0,0.0,0.0,0.0,0.0,0.07
3.113,0.0,0.0,0.0,0.0,0.0,0.07
3.114,0.0,0.0,0.0,0.0,0.0,0.07
3.115,0.0,0.0,0.0,0.0,0.0,0.07
3.116,0.0,0.0,0.0,0.0,0.0,0.07
3.117,0.0,0.0,0.0,0.0,0.0,0.07
3.118,0.0,0.0,0.0,0.0,0.0,0.07
3.119,0.0,0.0,0.0,0.0,0.0,0.07
3.120,0.0,0.0,0.0,0.0,0.0,0.07
3.121,0.0,0.0,0.0,0.0,0.0,0.07
3.122,0.0,0.0,0.0,0.0,0.0,0.08
3.123,0.0,0.0,0.0,0.0,0.0,0.08
3.124,0.0,0.0,0.0,0.0,0.0,0.08
3.125,0.0,0.0,0.0,0.0,0.0,0.08
3.126,0.0,0.0,0.0,0.0,0.0,0.08
3.127,0.0,0.0,0.0,0.0,0.0,0.08
3.128,0.0,0.0,0.0,0.0,0.0,0.08
3.129,0.0,0.0,0.0,0.0,0.0,0.08
3.130,0.0,0.0,0.0,0.0,0.0,0.08
3.132,0.0,0.0,0.0,0.0,0.0,0.08
3.133,0.0,0.0,0.0,0.0,0.0,0.08
3.134,0.0,0.0,0.0,0.0,0.0,0.09
3.135,0.0,0.0,0.0,0.0,0.0,0.09
3.136,0.0,0.0,0.0,0.0,0.0,0.09
3.137,0.0,0.0,0.0,0.0,0.0,0.09
3.138,0.0,0.0,0.0,0.0,0.0,0.09
3.139,0.0,0.0,0.0,0.0,0.0,0.09
3.139,0.0,0.0,0.0,0.0,0.0,0.09
3.139,0.0,0.0,0.01,0.0,0.0,0.09
3.139,0.0,0.0,0.01,0.0,0.0,0.09
3.139,0.0,0.0,0.01,0.0,0.0,0.09
3.143,0.0,0.0,0.01,0.0,0.0,0.09
3.143,0.0,0.0,0.01,0.0,0.0,0.09
3.145,0.0,0.0,0.01,0.0,0.0,0.09
3.147,0.0,0.0,0.01,0.0,0.0,0.1
3.148,0.0,0.0,0.01,0.0,0.0,0.1
3.151,0.0,0.0,0.01,0.0,0.0,0.1
3.151,0.0,0.0,0.01,0.0,0.0,0.1
3.151,0.0,0.0,0.01,0.0,0.0,0.1
3.152,0.0,0.0,0.01,0.0,0.0,0.1
3.153,0.0,0.0,0.01,0.0,0.0,0.1
3.154,0.0,0.0,0.01,0.0,0.0,0.1
3.155,0.0,0.0,0.01,0.0,0.0,0.1
3.156,0.0,0.0,0.01,0.0,0.0,0.1
3.157,0.0,0.0,0.01,0.0,0.0,0.1
3.158,0.0,0.0,0.01,0.0,0.0,0.1
3.159,0.0,0.0,0.01,0.0,0.0,0.1
3.160,0.0,0.0,0.01,0.0,0.0,0.11
3.161,0.0,0.0,0.01,0.0,0.0,0.11
3.165,0.0,0.0,0.01,0.0,0.0,0.11
3.166,0.0,0.0,0.01,0.0,0.0,0.11
3.167,0.0,0.0,0.01,0.0,0.0,0.11
3.168,0.0,0.0,0.01,0.0,0.0,0.11
3.169,0.0,0.0,0.01,0.0,0.0,0.11
3.170,0.0,0.0,0.01,0.0,0.0,0.11
3.171,0.0,0.0,0.01,0.0,0.0,0.11
3.172,0.0,0.0,0.01,0.0,0.0,0.11
3.173,0.0,0.0,0.01,0.0,0.0,0.12
3.174,0.0,0.0,0.01,0.0,0.0,0.12
3.175,0.0,0.0,0.01,0.0,0.0,0.12
3.176,0.0,0.0,0.01,0.0,0.0,0.12
3.177,0.0,0.0,0.01,0.0,0.0,0.12
3.178,0.0,0.0,0.01,0.0,0.0,0.12
3.179,0.0,0.0,0.01,0.0,0.0,0.12
3.180,0.0,0.0,0.01,0.0,0.0,0.12
3.181,0.0,0.0,0.01,0.0,0.0,0.12
3.182,0.0,0.0,0.01,0.0,0.0,0.12
3.183,0.0,0.0,0.01,0.0,0.0,0.12
3.184,0.0,0.0,0.01,0.0,0.0,0.12
3.185,0.0,0.0,0.01,0.0,0.0,0.12
3.186,0.0,0.0,0.01,0.0,0.0,0.12
3.187,0.0,0.0,0.01,0.0,0.0,0.13
3.188,0.0,0.0,0.01,0.0,0.0,0.13
3.189,0.0,0.0,0.01,0.0,0.0,0.13
3.190,0.0,0.0,0.01,0.0,0.0,0.13
3.191,0.0,0.0,0.01,0.0,0.0,0.13
3.192,0.0,0.0,0.01,0.0,0.0,0.13
3.193,0.0,0.0,0.01,0.0,0.0,0.13
3.194,0.0,0.0,0.01,0.0,0.0,0.13
3.203,0.0,0.0,0.01,0.0,0.0,0.13
3.203,0.0,0.0,0.01,0.0,0.0,0.14
3.204,0.0,0.0,0.01,0.0,0.0,0.14
3.205,0.0,0.0,0.01,0.0,0.0,0.14
3.206,0.0,0.0,0.01,0.0,0.0,0.14
3.207,0.0,0.0,0.01,0.0,0.0,0.14
3.208,0.0,0.0,0.01,0.0,0.0,0.14
3.209,0.0,0.0,0.01,0.0,0.0,0.14
3.211,0.0,0.0,0.01,0.0,0.0,0.14
3.212,0.0,0.0,0.01,0.0,0.0,0.14
3.213,0.0,0.0,0.01,0.0,0.0,0.14
3.214,0.0,0.0,0.01,0.0,0.0,0.15
3.215,0.0,0.0,0.01,0.0,0.0,0.15
3.216,0.0,0.0,0.01,0.0,0.0,0.15
3.217,0.0,0.0,0.01,0.0,0.0,0.15
3.218,0.0,0.0,0.01,0.0,0.0,0.15
3.219,0.0,0.0,0.01,0.0,0.0,0.15
3.220,0.0,0.0,0.01,0.0,0.0,0.15
3.221,0.0,0.0,0.01,0.0,0.0,0.15
3.222,0.0,0.0,0.01,0.0,0.0,0.15
3.223,0.0,0.0,0.02,0.0,0.0,0.15
3.224,0.0,0.0,0.02,0.0,0.0,0.15
3.225,0.0,0.0,0.02,0.0,0.0,0.15
3.226,0.0,0.0,0.02,0.0,0.0,0.15
3.227,0.0,0.0,0.02,0.0,0.0,0.15
3.228,0.0,0.0,0.02,0.0,0.0,0.15
3.229,0.0,0.0,0.02,0.0,0.0,0.16
3.230,0.0,0.0,0.02,0.0,0.0,0.16
3.231,0.0,0.0,0.02,0.0,0.0,0.16
3.232,0.0,0.0,0.02,0.0,0.0,0.16
3.233,0.0,0.0,0.02,0.0,0.0,0.16
3.234,0.0,0.0,0.02,0.0,0.0,0.16
3.235,0.0,0.0,0.02,0.0,0.0,0.16
