t,x,y,z
4.254,0.0,0.0,0.0
4.276,0.0,0.0,0.0
4.301,0.0,0.0,0.0
4.337,0.0,0.0,0.0
4.377,0.0,0.0,0.0
4.418,0.0,0.0,0.0
4.446,0.0,0.0,0.0
4.469,0.0,0.0,0.0
4.489,0.0,0.0,0.0
4.515,0.0,0.0,0.0
4.553,0.0,0.0,0.0
4.589,0.0,0.0,0.0
4.613,0.0,0.0,0.0
4.642,0.0,0.0,0.0
4.678,0.0,0.0,0.0
4.718,0.0,0.0,0.0
4.738,0.0,0.0,0.0
4.774,0.0,0.0,0.0
4.802,0.0,0.0,0.0
4.832,0.0,0.0,0.0
4.868,0.0,0.0,0.0
4.899,0.0,0.0,0.0
4.928,0.0,0.0,0.0
4.967,0.0,0.0,0.0
5.004,0.0,0.0,0.0
5.039,0.0,0.0,0.0
5.076,0.0,0.0,0.0
5.109,0.0,0.0,0.0
5.129,0.0,0.0,0.0
5.160,0.0,0.0,0.0
5.197,0.0,0.0,0.0
5.236,0.0,0.0,0.0
5.273,0.0,0.0,0.0
5.311,0.0,0.0,0.0
5.346,0.0,0.0,0.0
5.391,0.0,0.0,0.0
5.434,0.0,0.0,0.0
5.480,0.0,0.0,0.0
5.515,0.0,0.0,0.0
5.555,0.0,0.0,0.0
5.596,0.0,0.0,0.0
5.628,0.0,0.0,0.0
5.664,0.0,0.0,0.0
5.698,0.0,0.0,0.0
5.741,0.0,0.0,0.0
5.782,0.0,0.0,0.0
5.817,0.0,0.0,0.0
5.856,0.0,0.0,0.0
5.899,0.0,0.0,0.0
5.929,0.0,0.0,0.0
5.955,0.0,0.0,0.0
5.994,0.0,0.0,0.0
6.032,0.0,0.0,0.0
6.071,0.0,0.0,0.0
6.107,0.0,0.0,0.0
6.141,0.0,0.0,0.0
6.179,0.0,0.0,0.0
6.218,0.0,0.0,0.0
6.260,0.0,0.0,0.0
6.297,0.0,0.0,0.0
6.337,0.0,0.0,0.0
6.376,0.0,0.0,0.0
6.409,0.0,0.0,0.0
6.446,0.0,0.0,0.0
6.481,0.0,0.0,0.0
6.513,0.0,0.0,0.0
6.555,0.0,0.0,0.0
6.593,0.0,0.0,0.0
6.628,0.0,0.0,0.0
6.663,0.0,0.0,0.0
6.701,0.0,0.0,0.0
6.742,0.0,0.0,0.0
6.780,0.0,0.0,0.0
6.825,0.0,0.0,0.0
6.862,0.0,0.0,0.0
6.893,0.0,0.0,0.0
6.931,0.0,0.0,0.0
6.967,0.0,0.0,0.0
7.000,0.0,0.0,0.0
7.032,0.0,0.0,0.0
7.058,0.0,0.0,0.0
7.078,0.0,0.0,0.0
7.115,0.0,0.0,0.0
7.155,0.0,0.0,0.0
7.195,0.0,0.0,0.0
7.223,0.0,0.0,0.0
7.265,0.0,0.0,0.0
7.303,0.0,0.0,0.0
7.337,0.0,0.0,0.0
7.375,0.0,0.0,0.0
7.400,0.0,0.0,0.0
7.441,0.0,0.0,0.0
7.477,0.0,0.0,0.0
7.513,0.0,0.0,0.0
7.558,0.0,0.0,0.0
7.591,0.0,0.0,0.0
7.621,0.0,0.0,0.0
7.651,0.0,0.0,0.0
7.685,0.0,0.0,0.0
7.725,0.0,0.0,0.0
7.761,0.0,0.0,0.0
7.799,0.0,0.0,0.0
7.834,0.0,0.0,0.0
7.870,0.0,0.0,0.0
7.907,0.0,0.0,0.0
7.952,0.0,0.0,0.0
7.978,0.0,0.0,0.0
8.028,0.0,0.0,0.0
8.066,0.0,0.0,0.0
8.091,0.0,0.0,0.0
8.132,0.0,0.0,0.0
8.169,0.0,0.0,0.0
8.210,0.0,0.0,0.0
8.251,0.0,0.0,0.0
8.292,0.0,0.0,0.0
8.325,0.0,0.0,0.0
8.351,0.0,0.0,0.0
8.378,0.0,0.0,0.0
8.426,0.0,0.0,0.0
8.467,0.0,0.0,0.0
8.509,0.0,0.0,0.0
8.549,0.0,0.0,0.0
8.579,0.0,0.0,0.0
8.615,0.0,0.0,0.0
8.650,0.0,0.0,0.0
8.683,0.0,0.0,0.0
8.720,0.0,0.0,0.0
8.767,0.0,0.0,0.0
8.810,0.0,0.0,0.0
8.842,0.0,0.0,0.0
8.875,0.0,0.0,0.0
8.903,0.0,0.0,0.0
8.936,0.0,0.0,0.0
8.976,0.0,0.0,0.0
9.015,0.0,0.0,0.0
9.050,0.0,0.0,0.0
9.087,0.0,0.0,0.0
9.123,0.0,0.0,0.0
9.158,0.0,0.0,0.0
9.183,0.0,0.0,0.0
9.211,0.0,0.0,0.0
9.248,0.0,0.0,0.0
9.279,0.0,0.0,0.0
9.307,0.0,0.0,0.0
9.343,0.0,0.0,0.0
9.382,0.0,0.0,0.0
9.421,0.0,0.0,0.0
9.457,0.0,0.0,0.0
9.491,0.0,0.0,0.0
9.532,0.0,0.0,0.0
9.570,0.0,0.0,0.0
9.611,0.0,0.0,0.0
9.651,0.0,0.0,0.0
9.684,0.0,0.0,0.0
9.723,0.0,0.0,0.0
9.769,0.0,0.0,0.0
9.808,0.0,0.0,0.0
9.843,0.0,0.0,0.0
9.891,0.0,0.0,0.0
9.937,0.0,0.0,0.0
9.959,0.0,0.0,0.0
10.000,0.0,0.0,0.0
10.029,0.0,0.0,0.0
10.049,0.0,0.0,0.0
10.072,0.0,0.0,0.0
10.100,0.0,0.0,0.0
10.132,0.0,0.0,0.0
10.166,0.0,0.0,0.0
10.196,0.0,0.0,0.0
10.231,0.0,0.0,0.0
10.261,0.0,0.0,0.0
10.295,0.0,0.0,0.0
10.332,0.0,0.0,0.0
10.360,0.0,0.0,0.0
10.391,0.0,0.0,0.0
10.429,0.0,0.0,0.0
10.467,0.0,0.0,0.0
10.507,0.0,0.0,0.0
10.553,0.0,0.0,0.0
10.594,0.0,0.0,0.0
10.634,0.0,0.0,0.0
10.674,0.0,0.0,0.0
10.715,5.21,0.59,0.0
10.749,5.21,0.59,0.0
10.789,5.21,0.59,0.0
10.831,5.21,0.59,0.0
10.880,5.21,0.59,0.0
10.927,5.21,0.59,0.0
10.964,5.21,0.59,0.0
10.997,5.21,0.59,0.0
11.032,5.21,0.59,0.0
11.074,5.21,0.59,0.0
11.118,5.21,0.59,0.0
11.167,5.21,0.59,0.0
11.211,5.21,0.59,0.0
11.253,5.21,0.59,0.0
11.297,5.21,0.59,0.0
11.341,5.21,0.59,0.0
11.380,5.21,0.59,0.0
11.427,5.21,0.59,0.0
11.471,5.21,0.59,0.0
11.504,5.21,0.59,0.0
11.539,5.21,0.59,0.0
11.588,5.21,0.59,0.0
11.624,5.21,0.59,0.0
11.647,5.21,0.59,0.0
11.692,5.21,0.59,0.0
11.734,5.21,0.59,0.0
11.773,5.21,0.59,0.0
11.804,5.21,0.59,0.0
11.844,5.21,0.59,0.0
11.885,5.21,0.59,0.0
11.929,5.21,0.59,0.0
11.967,5.21,0.59,0.0
12.009,5.25,0.66,0.0
12.051,5.25,0.66,0.0
12.088,5.25,0.68,0.0
12.132,5.26,0.69,0.0
12.174,5.27,0.7,0.0
12.205,5.27,0.71,0.0
