t,x,y,z
2.023,-0.0,-0.0,40.0
2.049,-0.0,0.0,39.45
2.075,-0.0,-0.0,38.19
2.106,-0.0,-0.0,36.55
2.138,-0.0,-0.0,34.68
2.166,-0.0,-0.01,33.97
2.194,0.0,-0.01,32.7
2.222,0.0,-0.01,31.46
2.250,0.0,-0.01,30.6
2.282,0.0,-0.02,27.51
2.310,0.0,-0.02,27.32
2.340,0.0,-0.03,25.65
2.372,0.0,-0.04,23.91
2.396,0.0,-0.04,25.89
2.419,0.0,-0.04,26.2
2.448,0.0,-0.05,21.92
2.478,0.0,-0.06,20.15
2.502,0.0,-0.05,22.96
2.527,0.0,-0.06,20.89
2.550,0.0,-0.06,22.88
2.576,0.0,-0.08,19.34
2.595,0.0,-0.06,23.74
2.619,0.0,-0.08,19.42
2.646,0.0,-0.09,18.66
2.661,0.0,-0.07,22.82
2.686,0.0,-0.1,17.41
2.709,0.0,-0.1,16.65
2.734,0.0,-0.11,15.08
2.769,0.0,-0.14,8.98
2.801,0.0,-0.17,3.37
2.825,0.0,-0.13,14.52
2.846,0.0,-0.13,16.01
2.868,0.0,-0.14,13.66
2.897,0.0,-0.17,7.19
2.932,0.0,-0.21,0.33
2.973,0.01,-0.26,-6.68
3.006,0.01,-0.23,0.73
3.037,0.01,-0.22,3.49
3.070,0.01,-0.25,-0.94
3.100,0.01,-0.24,2.57
3.131,0.01,-0.25,1.11
3.159,0.01,-0.24,3.73
3.189,0.01,-0.26,1.22
3.218,0.01,-0.25,2.79
3.245,0.01,-0.26,2.34
3.275,0.01,-0.27,-0.24
3.303,0.01,-0.26,1.39
3.334,0.01,-0.29,-2.22
3.364,0.01,-0.28,-0.55
3.398,0.01,-0.32,-7.38
3.428,0.01,-0.29,-2.44
3.459,0.01,-0.29,-2.66
3.486,0.01,-0.28,-0.81
3.513,0.01,-0.27,1.03
3.554,0.01,-0.36,-16.55
3.584,0.01,-0.3,-4.19
3.607,0.01,-0.26,3.27
3.634,0.01,-0.28,-1.15
3.668,0.01,-0.32,-9.09
3.697,0.01,-0.29,-4.17
3.732,0.01,-0.31,-9.69
3.769,0.01,-0.32,-14.21
3.802,0.01,-0.29,-7.94
3.837,0.01,-0.31,-12.04
3.875,0.01,-0.31,-14.18
3.917,0.01,-0.31,-18.15
3.960,0.01,-0.3,-18.78
4.004,0.01,-0.29,-19.11
4.046,0.01,-0.27,-16.45
4.088,0.01,-0.26,-15.74
4.127,0.01,-0.24,-12.48
4.159,0.01,-0.22,-5.92
4.159,0.0,-0.19,22.16
4.159,0.0,-0.19,22.16
