t,rd,pd,yd,r,p,y
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.016,0.0,0.0,0.0,0.0,0.0,0.0
0.053,0.0,0.0,0.0,-0.0,0.0,0.0
0.091,0.0,0.0,0.0,-0.0,0.0,0.0
0.126,0.0,0.0,0.0,-0.0,0.0,0.0
0.163,0.0,0.0,0.0,-0.0,0.0,0.0
0.207,0.0,0.0,0.0,-0.0,-0.0,0.0
0.232,0.0,0.0,0.0,0.0,0.0,0.0
0.253,0.0,0.0,0.0,0.0,-0.0,0.0
0.267,0.0,0.0,0.0,0.0,0.0,0.0
0.287,0.0,0.0,0.0,0.0,-0.0,0.0
0.307,0.0,0.0,0.0,0.0,-0.0,0.0
0.339,0.0,0.0,0.0,0.0,0.0,0.0
0.371,0.0,0.0,0.0,0.0,0.0,0.0
0.393,0.0,0.0,0.0,0.0,0.0,0.0
0.413,0.0,0.0,0.0,0.0,-0.0,0.0
0.444,0.0,0.0,0.0,0.0,-0.0,0.0
0.471,0.0,0.0,0.0,0.0,0.0,0.0
0.501,0.0,0.0,0.0,0.0,0.0,0.0
0.525,0.0,0.0,0.0,0.0,-0.0,0.0
0.562,0.0,0.0,0.0,0.0,0.0,0.0
0.586,0.0,0.0,0.0,0.0,-0.0,0.0
0.619,0.0,0.0,0.0,0.0,-0.0,0.0
0.652,0.0,0.0,0.0,0.0,-0.0,0.0
0.686,0.0,0.0,0.0,0.0,-0.0,0.0
0.7,0.0,0.0,0.0,0.0,0.0,0.0
0.73,0.0,0.0,0.0,0.0,-0.0,0.0
0.756,0.0,0.0,0.0,0.0,-0.0,0.0
0.784,0.0,0.0,0.0,0.0,-0.0,0.0
0.817,0.0,0.0,0.0,0.0,-0.0,0.0
0.838,0.0,0.0,0.0,0.0,0.0,0.0
0.865,0.0,0.0,0.0,0.0,-0.0,0.0
0.897,0.0,0.0,0.0,0.0,-0.0,0.0
0.921,0.0,0.0,0.0,0.0,-0.0,0.0
0.956,0.0,0.0,0.0,0.0,-0.0,0.0
0.972,0.0,0.0,0.0,0.0,0.0,0.0
0.988,0.0,0.0,0.0,0.0,-0.0,0.0
1.007,0.0,0.0,0.0,0.0,0.0,0.0
1.03,0.0,0.0,0.0,0.0,-0.0,0.0
1.066,0.0,0.0,0.0,0.0,-0.0,0.0
1.105,0.0,0.0,0.0,0.0,0.0,0.0
1.143,0.0,0.0,0.0,0.0,0.0,0.0
1.19,0.0,0.0,0.0,0.0,-0.0,0.0
1.226,0.0,0.0,0.0,0.0,-0.0,0.0
1.271,0.0,0.0,0.0,0.0,-0.0,0.0
1.306,0.0,0.0,0.0,0.0,-0.0,0.0
1.341,0.0,0.0,0.0,0.0,-0.0,0.0
1.379,0.0,0.0,0.0,0.0,0.0,0.0
1.407,0.0,0.0,0.0,0.0,-0.0,0.0
1.449,0.0,0.0,0.0,0.0,0.0,0.0
1.4809999999999999,0.0,0.0,0.0,0.0,0.0,0.0
1.499,0.0,0.0,0.0,0.0,-0.0,0.0
1.541,0.0,0.0,0.0,0.0,-0.0,0.0
1.5819999999999999,0.0,0.0,0.0,0.0,0.0,0.0
1.621,0.0,0.0,0.0,0.0,0.0,0.0
1.666,0.0,0.0,0.0,0.0,-0.0,0.0
1.702,0.0,0.0,0.0,0.0,-0.0,0.0
1.751,0.0,0.0,0.0,0.0,0.0,0.0
1.7930000000000001,0.0,0.0,0.0,0.0,0.0,0.0
1.827,0.0,0.0,0.0,0.0,0.0,0.0
1.866,0.0,0.0,0.0,0.0,0.0,0.0
1.907,0.0,0.0,0.0,0.0,-0.0,0.0
1.935,0.0,0.0,0.0,0.0,0.0,0.0
1.97,0.0,0.0,0.0,0.0,0.0,0.0
2.006,0.0,0.0,0.0,0.0,-0.0,0.0
2.034,0.0,0.0,0.0,0.0,0.0,0.0
2.071,0.0,0.0,0.0,0.0,0.0,0.0
2.091,0.0,0.0,0.0,0.0,0.0,0.0
2.125,0.0,0.0,0.0,0.0,-0.0,0.0
2.159,0.0,0.0,0.0,0.0,0.0,0.0
2.196,0.0,0.0,0.0,0.0,0.0,0.0
2.235,0.0,0.0,0.0,0.0,0.0,0.0
2.273,0.0,0.0,0.0,0.0,0.0,0.0
2.313,0.0,0.0,0.0,0.0,-0.0,0.0
2.354,0.0,0.0,0.0,0.0,-0.0,0.0
2.396,0.0,0.0,0.0,0.0,-0.0,0.0
2.435,0.0,0.0,0.0,0.0,0.0,0.0
2.467,0.0,0.0,0.0,0.0,0.0,0.0
2.507,0.0,0.0,0.0,0.0,0.0,0.0
2.543,0.0,0.0,0.0,0.0,0.0,0.0
2.574,0.0,0.0,0.0,0.0,0.0,0.0
2.614,0.0,0.0,0.0,0.0,0.0,0.0
2.658,0.0,0.0,0.0,0.0,-0.0,0.0
2.697,0.0,0.0,0.0,0.0,-0.0,0.0
2.734,0.0,0.0,0.0,0.0,-0.0,0.0
2.769,0.0,0.0,0.0,0.0,-0.0,0.0
2.806,0.0,0.0,0.0,0.0,0.0,0.0
2.843,0.0,0.0,0.0,0.0,0.0,0.0
2.875,0.0,0.0,0.0,0.0,0.0,0.0
2.904,0.0,0.0,0.0,0.0,-0.0,0.0
2.934,0.0,0.0,0.0,0.0,-0.0,0.0
2.965,0.0,0.0,0.0,0.0,-0.0,0.0
2.995,0.0,0.0,0.0,0.0,-0.0,0.0
3.033,0.0,0.0,0.0,0.0,-0.0,0.0
3.071,0.0,0.0,0.0,0.0,-0.0,0.0
3.108,0.0,0.0,0.0,0.0,-0.0,0.0
3.136,0.0,0.0,0.0,0.0,-0.0,0.0
3.163,0.0,0.0,0.0,0.0,-0.0,0.0
3.2,0.0,0.0,0.0,0.0,-0.0,0.0
3.231,0.0,0.0,0.0,0.0,-0.0,0.0
3.265,0.0,0.0,0.0,0.0,-0.0,0.0
3.298,0.0,0.0,0.0,0.0,-0.0,0.0
3.34,0.0,0.0,0.0,0.0,-0.0,0.0
3.387,0.0,0.0,0.0,0.0,-0.0,0.0
3.422,0.0,0.0,0.0,0.0,-0.0,0.0
3.45,0.0,0.0,0.0,0.0,-0.0,0.0
3.483,0.0,0.0,0.0,0.0,-0.0,0.0
