t,x,y,z,vx,vy,vz
3.041,0.0,0.0,-0.0,-0.0,0.0,0.0
3.056,0.0,0.0,-0.0,-0.0,0.0,0.0
3.059,0.0,0.0,-0.0,0.0,0.0,-0.0
3.060,0.0,0.0,0.0,-0.0,0.0,0.0
3.064,0.0,0.0,-0.0,0.0,-0.0,-0.0
3.065,0.0,0.0,-0.0,0.0,0.0,-0.0
3.066,0.0,0.0,0.0,-0.0,0.0,0.0
3.069,0.0,0.0,-0.0,0.0,0.0,-0.0
3.070,0.0,0.0,0.0,-0.0,0.0,0.0
3.072,0.0,0.0,-0.0,-0.0,0.0,0.0
3.073,0.0,0.0,-0.0,0.0,0.0,-0.0
3.074,0.0,0.0,0.0,-0.0,-0.0,0.0
3.075,0.0,0.0,0.0,0.0,-0.0,0.0
3.077,0.0,0.0,0.0,0.0,-0.0,0.0
3.079,0.0,0.0,0.0,0.0,-0.0,0.01
3.082,0.0,0.0,0.0,0.0,-0.0,0.01
3.083,0.0,0.0,0.0,0.0,-0.0,0.01
3.085,0.0,0.0,0.0,0.0,-0.0,0.01
3.086,0.0,0.0,0.0,0.0,-0.0,0.01
3.087,0.0,0.0,0.0,0.0,-0.0,0.01
3.089,0.0,0.0,0.0,0.0,-0.0,0.01
3.089,0.0,0.0,0.0,0.0,-0.0,0.02
3.089,0.0,0.0,0.0,0.0,-0.0,0.02
3.089,0.0,0.0,0.0,0.0,-0.0,0.02
3.094,0.0,0.0,0.0,0.0,-0.0,0.02
3.095,0.0,0.0,0.0,0.0,-0.0,0.02
3.096,0.0,0.0,0.0,0.0,-0.0,0.02
3.097,0.0,0.0,0.0,0.0,-0.0,0.02
3.098,0.0,0.0,0.0,0.0,-0.0,0.02
3.099,0.0,0.0,0.0,0.0,-0.0,0.02
3.100,0.0,0.0,0.0,0.0,-0.0,0.02
3.100,0.0,0.0,0.0,0.0,-0.0,0.02
3.102,0.0,0.0,0.0,0.0,-0.0,0.03
3.102,0.0,0.0,0.0,0.0,-0.0,0.03
3.103,0.0,0.0,0.0,0.0,-0.0,0.03
3.104,0.0,0.0,0.0,0.0,-0.0,0.03
3.105,0.0,-0.0,0.0,0.0,-0.0,0.03
3.107,0.0,-0.0,0.0,0.0,-0.0,0.03
3.111,0.0,-0.0,0.0,0.0,-0.0,0.03
3.112,0.0,-0.0,0.0,0.0,-0.0,0.04
